|Title|Description
0|Business Analyst|"The Business Analyst will review, analyze and evaluate business systems and user needs. Document requirements, define scope and objectives and formulate systems to parallel overall business strategies. Business analysts will achieve goals through projects that translate customer needs into new products, services, and profits. The business analyst’s primary objective is helping businesses implement technology solutions in a cost-effective way by determining the requirements of a project or program, and communicating them clearly to stakeholders, facilitators and partners.

Responsibilities
The essential functions include, but are not limited to the following:
Work closely with business partners in assigned area to map processes, flow of information through these processes and system requirements to ensure clear requirements for software applications, including:
Organizing and executing customer interviews and workshops to determine functional needs
Create use cases, scenarios, tasks and workflow analysis
Proactively communicate with colleagues on various teams, systems maintenance or external key users/end users to understand their needs, issues and problem
Provide assistance to business partner customers and key users to understand, troubleshoot and resolve basic and moderately complex systems problems issues as second line
Ensure process and process improvement documentation is kept current to provide framework for business change discussion including
Collecting feedback to describe business processes
Develop user manuals and work instructions
Maintain updates as systems/processes evolve over time
Collaborate with programmers and software developers to analyze requirements and convert them into a user story including detailed functional specifications and acceptance criteria for use by the development team

Measures of Success
Stakeholder satisfaction
Quality of Scope Document and Requirements and Anal¬ysis Documents
Improvement in Productivity for the client as a result of solution of BA
End user satisfaction
Team Satisfaction
Rework due to gap in requirements

Requirements
Bachelor's degree from a four-year college or university in Business, Information Technology, Management, Business Administration, or another applicable field
Must possess a minimum of two years’ work experience performing a substantially similar role.
Must possess a minimum of two years’ project management experience with a proven track record in planning, implementing and communicating technical information
Experience, training, or experience working within an Agile/Scrum framework
Demonstrates knowledge and understanding of the software development lifecycle
Demonstrated ability to read and understand code
Demonstrated understanding BI tools and effective use of them
Demonstrates a strong understanding and commitment to processes and methods.
Demonstrated attention to detail with proficient organization and time management skills"
1|Business Analyst (Full Time) - United States|"WHAT YOU’ LL DO
As a Business Analyst New Graduate for Cisco you will develop creative solutions for real business challenges. You will collaborate on multi-functional projects to identify areas for improvement. You will analyze internal processes, data, and problems and identify benefits from enabling new capabilities. Ultimately you will improve how Cisco operates and how we work together.

WHO YOU'LL WORK WITH
Let's change the world together. You will find a diverse group of people tackling business issues. We work with multi-functional teams to facilitate new business models and process improvements. You'll learn from industry professionals and we will value your ideas and perspective.

WHO YOU ARE
You are a recent graduate or on your final year of studies toward a bachelor’s or master's degree in Business, Management, Finance, Math, Accounting, Information Systems or a related field from an accredited institution.
You have a minimum of a 3.0 GPA or equivalent
You have excellent analytical, problem-solving and decision-making skills
You possess a high level of customer focus and service excellence as you seek practical solutions
You have strong collaboration skills with internal/external customers and multi-functional teams
You have superb social skills, “can do” attitude and team player in global environment
You possess effective time-management skills and the ability to prioritize work assignments
WHY CISCO
#WeAreCisco, where each person is unique, but we bring our talents to work as a team and make a difference. Here’s how we do it.
We embrace digital, and help our customers implement change in their digital businesses. Some may think we’re “old” (30 years strong!) and only about hardware, but we’re also a software company. And a security company. A blockchain company. An AI/Machine Learning company. We even invented an intuitive network that adapts, predicts, learns and protects. No other company can do what we do – you can’t put us in a box.
But “Digital Transformation” is an empty buzz phrase without a culture that allows for innovation, creativity, and yes, even failure (if you learn from it.)
Day to day, we focus on the give and take. We give our best, we give our egos a break and we give of ourselves (because giving back is built into our DNA.) We take accountability, we take bold steps, and we take difference to heart. Because without diversity of thought and a commitment to equality for all, there is no moving forward.
So, you have colorful hair? Don’t care. Tattoos? Show off your ink. Like polka dots? That’s cool. Pop culture geek? Many of us are. Passion for technology and world changing? Be you, with us!"
2|Business Analyst I|"Position Purpose: Perform various analysis and interpretation to link business needs and objectives for assigned function
Support business initiatives through data analysis, identification of implementation barriers and user acceptance testing of new systems
Identify and analyze user requirements, procedures, and problems to improve existing processes
Perform detailed analysis on assigned projects, recommend potential business solutions and assist with implementation"
3|2020 Intern: Global Business Services, Business Analyst|"Position Summary...
What you'll do...
Minimum Qualifications...
Outlined below are the required minimum qualifications for this position. If none are listed, there are no minimum qualifications.
Preferred Qualifications...
Outlined below are the optional preferred qualifications for this position. If none are listed, there are no preferred qualifications."
4|Entry Level Business Analyst – FAA|"Job Description
Description
SAIC is seeking an Entry Level Business Analyst. This hire will analyze business and technical processes to formulate and develop new and modified business information processing systems, such as production and inventory control systems, financial tracking systems, marketing and human resources systems. Represents the business unit to define requirements and business cases for technology development. Coordinates with business and technology teams to develop system requirements; such as, program functions, output requirements, input data acquisition, and system techniques and controls. Requires knowledge of e-commerce tools, computer system capabilities, business processes, and work flow.
Conduct research and coordination on actions and issues identified by FAA
Participate in the development, maintenance and management of Standardized Operational Procedure (SOP) documents
Support security monitoring, access control, mail distribution and other communication media distribution
Provide recommendations, resolutions, and updates to office records, databases, and files for assigned programs
Develop, prepare, and coordinate with customers on program related correspondence, upon FAA approval
Support the development of a tracking/record keeping system for the maintenance of confidential files, presentations, and other similar documents
Research, interpret, and accurately apply written procedures and regulations or policies pertaining to travel, time, attendance, and other office logistics programs
Provide resources and support for conferences, workshops, and technical meetings through the development of presentations, agendas, minutes, and technical notes
Design and prepare briefings and special presentations, and prepare customized or special graphics, reports, charts, and media to enhance the effectiveness of communications regarding the customer’s mission for FAA approval
Prepare support materials and briefing books for FAA approval
Facilitate FAA activities, including coordinating and attending meetings, preparing minutes, memos and reports
Develop, originate, maintain and manage SOP libraries or depositories
Provide strategic communications planning and development, including print and digital content, together with designing, writing, producing, and distributing communications materials
Qualifications

Relevant (BS/BA) degree
Proficient in MS Office suite including Word, PowerPoint, Outlook, and Excel
US Citizenship required with the ability to obtain and maintain a Public Trust clearance
Desired Qualifications

Highly-efficient, knowledgeable professional that enjoys being part of a team while offering responsive support
Previous experience with the Federal Aviation Administration (FAA)



Overview
SAIC is a premier technology integrator solving our nation's most complex modernization and readiness challenges. Our robust portfolio of offerings across the defense, space, civilian, and intelligence markets includes high-end solutions in engineering, IT, and mission solutions. Using our expertise in existing and emerging technologies, we integrate the best components from our own portfolio and our partner ecosystem to deliver innovative, effective, and efficient solutions. We are 23,000 strong; driven by mission, united by purpose, and inspired by opportunities. Headquartered in Reston, Virginia, SAIC has pro forma annual revenues of nearly $6.5 billion. For more information, visit saic.com. For ongoing news, please visit our newsroom. For SAIC benefits information, see Working at SAIC. EOE AA M/F/Vet/Disability"
5|Business Analyst (Intern) - United States|"WHAT YOU’LL DO
As a Business Analyst Intern for Cisco you will develop creative solutions for real business challenges. You will collaborate on multi-functional projects to identify areas for improvement. You will analyze internal processes, data, and problems and identify benefits from enabling new capabilities. Ultimately you will improve how Cisco operates and how we work together.

WHO YOU'LL WORK WITH
At Cisco you will find a diverse group of people tackling business issues. We work with multi-functional teams to facilitate new business models and process improvements. Cisco employs the best so you will be surrounded by others as ambitious and dedicated as yourself.

WHO YOU ARE
You are pursuing a bachelor’s or master's degree in Business, Management, Finance, Math, Accounting, Information Systems or related field
You have a minimum of a 3.0 GPA or equivalent
You have excellent analytical, problem-solving and decision-making skills
You have a high level of customer focus and service excellence as you seek practical and creative solutions
You have strong collaboration skills with internal/external customers and multi-functional teams
You have superb communication skills, “can do” attitude and a great teammate in global environment
You have effective time-management skills and the ability to prioritize work assignments
WHY CISCO
#WeAreCisco, where each person is unique, but we bring our talents to work as a team and make a difference. Here’s how we do it.
We embrace digital, and help our customers implement change in their digital businesses. Some may think we’re “old” (30 years strong!) and only about hardware, but we’re also a software company. And a security company. A blockchain company. An AI/Machine Learning company. We even invented an intuitive network that adapts, predicts, learns and protects. No other company can do what we do – you can’t put us in a box.
But “Digital Transformation” is an empty buzz phrase without a culture that allows for innovation, creativity, and yes, even failure (if you learn from it.)
Day to day, we focus on the give and take. We give our best, we give our egos a break and we give of ourselves (because giving back is built into our DNA.) We take accountability, we take bold steps, and we take difference to heart. Because without diversity of thought and a commitment to equality for all, there is no moving forward.
So, you have colorful hair? Don’t care. Tattoos? Show off your ink. Like polka dots? That’s cool. Pop culture geek? Many of us are. Passion for technology and world changing? Be you, with us!"
6|Business Analyst Rotation Program - Richmond, Va|"8901 - Corp Office West Crk - 12800 Tuckahoe Creek Parkway, Richmond, Virginia, 23238

CarMax, the way your career should be!
Disrupting the marketplace more than 25 years ago, CarMax became the largest used car retailer in the US. However, our goals as a company aren’t just to be the best in the industry but a leading retailer across all industries. To achieve this goal, CarMax has spent the last several years investing heavily in modernizing our digital and analytical infrastructure to support our customer-centric experience. Whether that be through building machine learning vehicle recommendation models in Python, or constructing Tableau visualizations to influence strategic decision making, CarMax is committed to equipping our analysts with industry-best tools and techniques to enable our continued success.

As a Business Analyst, you’ll play a key part in driving this success for the future. This entry-level 24-month rotational position will provide the opportunity to apply strategic thinking, problem solving, and data analytics to unique and complex problems, influencing company performance and success from Day 1.

How you’ll impact CarMax:
Research & Analytics – Business analysts are the analytical authorities at CarMax. Apply your analytical skillset to CarMax’s proprietary, industry-leading data to formulate and test theories about specific business areas. Leverage your new understandings to translate large datasets into insightful metrics and predictive models.

Strategy Consulting - Business analysts are key collaborators driving major corporate functions and initiatives. They work closely with leadership in field execution, technology, marketing, and other business areas, to inform our strategy and execution. They help CarMax create powerful, compelling narratives and influence corporate decision-making at the most senior levels.

What we offer:
Rotational Program: To maximize professional development and career growth, new analysts will join a 2-year rotation program that provides three 8-month rotations on different teams across the CarMax analyst community. This enables you to develop the breadth of skills and experiences necessary to further your success.
Career Progression: CarMax is seeking analysts with high potential and will invest heavily in your growth and development. Focusing on results rather than tenure, CarMax has many career opportunities for internal progression at a fast-growing, best-of-breed company.
Best in class training opportunities: CarMax offers hands-on training from Day 1, focusing on areas such as Statistics and Test Design, Communication and Influence, and SQL. Our community is also committed to your success, offering knowledge and support along every step of the journey.
Unique community: We pride ourselves on offering a great company culture with great work-life balance and a diverse community. CarMax has been named one of the ‘100 Best Places to Work’ by FORTUNE magazine each year since 2005 and was recognized recently by FlexJobs & Forbes as a top company for millennials seeking work-life balance.
Competitive benefits: CarMax offers highly competitive benefits including but not limited to: Flexible time away, work-life balance, employee stock purchase, 401k matching, company-sponsored healthcare

What you need to succeed:
Passion for problem-solving and desire to develop into a strong business leader
Top-caliber critical thinking skills and intensely curious personality
Highly organized and proven ability to multitask
Excellent verbal, written and interpersonal skills
Dedication to continuous improvement and innovation
Passion for growth, development and learning new things

To be eligible:
Must be legally authorized to work for any U.S. employer on a full-time basis without the need for sponsorship now or in the future

CarMax is an equal opportunity employer, and all qualified candidates will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, genetic information, national origin, protected veteran status, disability status, or any other characteristic protected by law.

Upon an applicant's request, CarMax will consider reasonable accommodation to complete the CarMax Job Application .

If you have technical problems when submitting your application, please contact us by phone (888) 922-7629 ext. 3888 or email recruiting_net@carmax.com."
7|Product Business Analyst|"Are you looking for an opportunity to accelerate your career and work with a team of friendly, creative people? Upland Software offers a collaborative work environment full of smart, positive, and passionate people who are respected for their unique talents and empowered to do their jobs well. As a member of this close-knit team, you are encouraged to take good ideas and run with them, pursuing the best outcome for our customers while having fun along the way. If these things are important to you and you're driven by delighting customers, we want to talk with you!
Opportunity Summary:
Across three product lines and reporting to the Director of R&D, the Business Analysts is responsible for facilitating active and effective collaboration with stakeholders, development teams and product managers across these teams. The Business Analyst will ensure an aligned understanding of business needs and objectives consistent with understanding of the business value to be delivered, and common understanding of release schedules and impacts. The ideal candidate will be self-motivated, resourceful, and have impeccable communication & leadership skills.
Primary Responsibilities:
Organize and project manage release cycles and other assigned projects that directly affect the success of the organization.
Document product features directed by Product Management into user stories that are actionable by R&D.
Manage agile sprints across multiple teams to drive timelines and initiatives.
Utilize data from different sources, including R&D, product, support and sales to identify usage patterns and behaviors of the products assigned. Results of this work will be used to make more strategic decisions in new product directions.
Create, update and maintain a dashboard of relevant insights that show project status, customer health and R&D trajectories.
Manage and execute organization processes that are required to deliver on the organizations mission and goals.
Work with the Documentation team to ensure documentation is clear and concise for customers and partners and adheres the developed use-case.
Perform additional roles and responsibilities as assigned by management.
Bridge gap between business operations and technical operations to deliver business objectives and increase revenue.
Requirements:
Bachelor's Degree in Business Administration, Computer Science, Information Systems or a related technical field, or an equivalent combination of education and work experience.
2-4 years working as a Business Analyst and/or Project Management Experience.
Ability to provide thoughtful analysis and organize it any an easily digestible form.
Ability to set priorities for scope, risk and quality of technology solutions to meet business needs.
Ability to effectively communicate issues and solutions across all levels of the organization.
Strong organizational, planning and project management skills with a history of successful execution of plans.
Ability to communicate highly technical ideas and information to general audiences.
Strong problem-solving and decision-making skills.
Effective time management, organization, and leadership skills
Bring a fun approach to the AccuRoute workplace

Upland Software (Nasdaq: UPLD) is a leader in cloud-based enterprise work management software. Upland provides seven enterprise cloud solution suites that enable more than one million users at over 9,000 accounts to win and engage customers, automate business operations, manage projects and IT costs, and share knowledge throughout the enterprise. All of Upland’s solutions are backed by a 100 percent customer success commitment and the UplandOne platform, which puts customers at the center of everything we do. To learn more, visit uplandsoftware.com.
Upland Software is an Equal Employment Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identify, national origin, disability, veteran status or other legally protected status."
8|Business Analyst|"Job Summary:
Who we are.
We’re fans who help fans everywhere get in to the live events they love. A proud division of Live Nation Entertainment, Ticketmaster has changed the way the world connects with their favorite artists, teams, and shows, and we continue to shape innovation every day. We’re not just a ticketing and technology platform, we’re the dedicated team members who work to enrich lives one amazing experience at a time. And we think that’s pretty amazing. If you’re passionate about the magic of live entertainment like we are, and you want to work at a company dedicated to helping millions of fans experience it, we want to hear from you.
Why you should work with us.
Our biggest investment is in our people. We intentionally strive to cultivate, create and celebrate a culture of belonging where our employees feel respected and empowered. That is why we're committed to increasing the diversity of our workforce by fostering a truly inclusive community.
We offer comprehensive health benefits, 401k matching and student loan assistance, plus career-boosting opportunities like tuition reimbursement and targeted development sessions to help all eligible employees thrive. At Ticketmaster, expect the fast-paced excitement of a startup with the rock-solid support from an industry leader – with plenty of ticket perks on the side.
See what it’s like working at Ticketmaster.
The Role:
Across the Live Nation and Ticketmaster ecosystems our Fans are coming to expect a better, more personalized experience. We are looking for a strong Product Analyst who can thrive in a fast-paced environment focused on helping us to grow our reporting and analytic capabilities. This person will assist the Business Intelligence product lead in gathering requirements, as well as liaising with development team to identify shortfalls in existing requirements. We are seeking candidates who are proactive, self-starters and have a proven track record of data and business analysis in online / ecommerce businesses. They should also have experience in bridging the gap between initial client requests and fully developed requirements that can be presented to development teams. The ideal candidate should be an accomplished professional who possesses the passion, experience, skills and abilities to help support our expanding BI services reach.
Responsibilities:
Planning, coordinating, scheduling, and executing assignments on functional/non-functional requirements and specifications
Meeting and collaborating with stakeholders, subject matter experts (SME), developers, system testers, and QA/UAT testers
Leading and facilitating meetings to compile, and document functional/non-functional requirements and specifications
Collaborate with division business analysts, data services and other functional teams as needed to understand the impact of analysis across multiple areas of the business
Ideal Personal Characteristics:
Exceptional quantitative, analytical and problem-solving skills with the ability to draw insights and recommendations from analysis and present well-developed product requirement documents (PRDs) to internal stakeholders
Strong communication and presentation skills with technical, non-technical audiences and executive audiences
Detail oriented with strong time management and organizational skills
Excellent problem solving and critical thinking skills
Flexible and responsive to changing situations and capable of reacting quickly to changes in a fluid environment
Comfortable with ambiguity and deadline pressures
Ability to work independently and as part of a team
Able to manage competing priorities with little supervisory input
Able to work quickly, able to experiment and amend approach based on data analysis and results
Innate willingness to roll up your sleeves
Qualifications:
Bachelor’s degree or equivalent work experience
Minimum experience of 2-3 years of business experience in online/digital companies handling and analyzing large data sets to successfully drive conclusions
Preferred, 2-3 years in an Agile environment
Preferred, experience with Atlassian products (Jira/Confluence)
Required, abilities to write and run complex SQL queries to pull data
Strong Excel skills - must be comfortable analyzing large quantities of data utilizing Excel, create complex formulas, pivots and develop models
Equal Employment Opportunity
Ticketmaster strongly supports equal employment opportunity for all applicants regardless of age (40 and over), ancestry, color, religious creed (including religious dress and grooming practices), family and medical care leave or the denial of family and medical care leave, mental or physical disability (including HIV and AIDS), marital status, domestic partner status, medical condition (including cancer and genetic characteristics), genetic information, military and veteran status, political affiliation, national origin (including language use restrictions), citizenship, race, sex (including pregnancy, childbirth, breastfeeding and medical conditions related to pregnancy, childbirth or breastfeeding), gender, gender identity, and gender expression, sexual orientation, or any other basis protected by applicable federal, state or local law, rule, ordinance or regulation.
We will consider qualified applicants with criminal histories in a manner consistent with the requirements of the Los Angeles Fair Chance Ordinance, for applicants in Los Angeles, California, and consistent with applicable laws in other areas.
Hiring Practices
The preceding job description has been designed to indicate the general nature and level of work performed by employees within this classification. It is not designed to contain or be interpreted as a comprehensive inventory of all duties, responsibilities, and qualifications required of employees assigned to this job.
Ticketmaster recruitment policies are designed to place the most highly qualified persons available in a timely and efficient manner. Ticketmaster may pursue all avenues available, including promotion from within, employee referrals, outside advertising, employment agencies, internet recruiting, job fairs, college recruiting and search firms."
9|Business Analyst|"Duties:
With limited supervision, will be responsible for the following: Understanding of Software development and Testing lifecycle; Assuring Quality of Software application by finding defects / bugs before it goes to production; Reporting defect / bugs details to business and development teams; Reporting status of tasks / action items and creating detailed test scenarios; Analysis of Defect and possible Root Cause. Requires travel/relocation to unanticipated client sites throughout the U.S."
