|Title|Description
0|Senior Business Intelligence Developer (Power BI)|"What will you contribute?
Reporting to the Senior Manager, Development, the role of Senior BI Developer is to ensure the effective design and d of the CSLP reporting solution. This role serves as a Technical Lead for the Business Analytics and Reporting team providing technical guidance, review and support. This role promote clarity and efficiency in using data to drive decision-making.
Responsibilities & Deliverables:
Your deliverables as a Senior BI Developer will include, but not limited to, the following:
Develop and deliver a robust Reporting and Business Analytics framework, well aligned with the company’s long-term strategic goals for data architecture vision.
Ensure the solutions supports the Student Lending client data needs and can be easily extended to newly acquired clients and their standards.
Liaise with vendors and service providers to select the products or services that best meet company cost and performance goals related to data architecture and analytics
Work with cross-functional groups to understand reporting requirements and solution design.
Translate project requirements into functional and non-functional specifications for BI reports and applications.
Develop and implement BI solutions. Develop, enhance and maintain reporting solutions including (but not limited to) self-service reporting environments, corporate dashboards, reporting cubes and direct database access environment for BI “power users”.
Prepare all necessary documentation that clearly describes solution and Meta data. Monitor, tune up and administer BI Environments for quality and optimal performance purpose.
Debug, monitor and troubleshoot BI solutions.
Be aware of and comply with all corporate and department policies, procedures and standards that apply to your work area.
Lead conceptual and physical design, development and implementation of enterprise level BI and ETL framework, conforming to well defined business, technical rules and SLAs, preserving reusability of artefacts, single version of truth, centralization of logic, testability and well-designed error handling
Working closely with both enterprise level and project level team - data owners, stewards, users, business analysts, developers, quality analysts, department managers, architects and other stakeholders to ensure strategic goals and tactical implementation are in alignment.
Ensure that Reporting and Business Analytics strategies and architectures are in regulatory compliance .
Required Skills & Experience:
Hands-on experience developing Report with BI Tools i.e. Microsoft Reporting Tools ( SSRS, Power BI).
Experience with business requirements analysis, entity relationship planning, database design, reporting structures.
Knowledge with MDX, DAX, M Language, SSAS, Tabular.
Direct experience in implementing enterprise data management processes, procedures, and support on data monitoring.
Expert level SQL, PL/SQL
Experience with data processing flowcharting techniques.
Experience developing and maintaining ETL tools and platforms such as SSIS, Informatica
Experience with data architecting, large-scale data modeling, and business requirements gathering/analysis.
Understanding of large scale DB and reporting solution design, Source to Target Mappings, distributed DB design, multi environment structures, logical DB partitioning strategy, data archiving and retention, design and development of reporting semantic layer and view objects and logic
Strong understanding of BI Reporting & ETL technologies, relational and dimensional data structures, Big Data hands-on experience, principles, and best practices.
#LI-MG1
*************************************************************************************************************
The above statements describe the general nature and level of work being performed by people assigned to this job. They are not intended to be an exhaustive list of all responsibilities, duties, and skills required. Reasonable accommodations may be made to enable qualified individuals with disabilities to perform the essential job functions. If you need assistance or an accommodation due to disability please contact your recruitment partner.
*************************************************************************************************************"
1|Data Analytics & Business Intelligence Developer|"*Applications are accepted electronically ONLY at www.cu.edu/cu-careers.*

University of Colorado l Anschutz Medical Campus
School of Medicine, Department of Emergency Medicine
Data Analytics & Business Intelligence Developer (IT Senior Professional)
Position #762472 – Requisition 16430

The University of Colorado Denver l Anschutz Medical Campus seeks individuals with demonstrated commitment to creating an inclusive learning and working environment. We value the ability to engage effectively with students, faculty and staff of diverse backgrounds.

The Department of Emergency Medicine has an opening for a full-time, University Staff (unclassified) Data Analytics & Business Intelligence Developer (IT Senior Professional) position.

The University of Colorado Anschutz Medical Campus ranks among the top institutions nationally in clinical care, education and research. Its 230-acre campus, designed to enhance collaboration and interprofessional education, hosts the College of Nursing; the Schools of Dental Medicine, Medicine, Pharmacy, and Public Health; the Graduate School; a Health Sciences Library; and two hospitals. Strategically located contiguous to the campus are a biosciences research park and the soon-to-be-completed Veterans Hospital. CU Anschutz offers two undergraduate degrees, 35 graduate degrees, and five first-professional programs. More than 4,000 students learn alongside faculty members who also make meaningful medical discoveries and provide expert clinical care through 1.5 million patient-visits annually. A hub for research and innovation, CU Anschutz receives over $400 million in research awards each year and has filed 1,300 patent applications and formed 53 new companies since 2002. Read CU Anschutz Quick Facts here.

Nature of Work:
The Department of Emergency Medicine’s Analytics Center of Excellence has an opening for a Data Analytics and Business Intelligence (BI) Developer (primary focus on financial data) to manage and evolve our portfolio of analytic solutions that turn data into insights. Primarily focused on finance related analytics and processes, you will use your skills to collaborate, collect, analyze, abstract, design, develop, deploy and innovate a broad range of analytical tools that also support clinical / operational processes and departmental / organizational initiatives. If you have experience with Microsoft SQL Server, SSRS, SSAS, SSIS or other leading data visualization tools, then we would like to speak with you about this exciting job opportunity.

Senior Professionals are responsible for exercising discretion, analytical skill, personal accountability and responsibility in a wide range of areas including academic, administrative, managerial and student services functions. Work involves creating, integrating, applying and sharing knowledge directly related to a professional field. Work is performed fully independently, or with minimal supervision.

Examples of Work Performed:
Collaborate with the School of Medicine Emergency Department Finance Team, staff, faculty, as well as other teams, institutions and resources to design, develop, implement and support high quality and meaningful insights.
Translate complex business needs to technical specifications.
Perform extracts, validate, analyze and report on data from a variety of systems (e.g. Epic) and data sources.
Develop and execute SQL database queries and conduct analyses.
Present analytical insights through reports and visualization tools (e.g. Power BI, PowerPivot, Excel, etc.).
Leverage best in class processes and techniques to design, develop, test and deploy the highest quality analytical product.
Design, develop and update technical and user level training and documentation.
Manage multiple projects and competing priorities.
Participate with and contribute to our Analytics’ Center of Excellence team.
Accountable for the successful implementation of our Business Intelligence Strategy.
This description is a summary only and is describing the general level of work being performed, it is not intended to be all-inclusive. The duties of this position may change from time to time and/or based on business need. We reserve the right to add or delete duties and responsibilities at the discretion of the supervisor and/or hiring authority.
PLEASE NOTE: Candidates will be responsible for travel expenses related to the interview process and any relocation expenses, if applicable

Salary and Benefits:
The starting salary for this position as been established at $65,000. This position is not eligible for overtime compensation.

Your total compensation goes beyond the number on your paycheck. The University of Colorado provides generous leave, health plans and retirement contributions that add to your bottom line.

Benefits: https://www.cu.edu/employee-services/benefits.
Total Compensation Calculator: https://www.cu.edu/employee-services/total-compensation

Qualifications

Minimum Qualifications:
A bachelor’s degree in finance, computer science, management/computer information systems, computer engineering, information technology, or a directly related field from an accredited institution.
Experience working with financial terms and processes.
Two (2) years of experience working as a Business Intelligence Developer or Data Analysist.
Substitution: A combination of education and related technical/paraprofessional experience may be substituted for the bachelor’s degree on a year for year basis, but not for the specific experience.

Preferred Qualifications:
A master’s degree in finance, computer science, engineering, mathematics or related field from an accredited College.
3 – 5 years financial data analyst experience.
This position requires extensive, diverse and progressively responsible experience with data warehouse design and data mining.
Experience working with Epic or any other Electronic Health Record System.
Experience working with Python, R or other statistical modeling tools.
Competencies/Knowledge, Skills and Abilities:
Intermediate to Advanced working knowledge of SQL.
Familiarity with data warehouse design and data mining and in-depth understanding of database management systems and online analytical processing.
Ability to communicate effectively, both in writing and orally.
Ability to establish and maintain effective working relationships with employees at all levels throughout the institution.
Outstanding customer service skills.
Demonstrated commitment and leadership ability to advance diversity and inclusion.
Analytical mind with a problem-solving aptitude.
Proven ability to take initiative and work independently.
Diversity and Equity:
Please click here for information on disability accommodations: http://www.ucdenver.edu/about/departments/HR/jobs/Pages/JobsatCUDenver.aspx

The University of Colorado Denver | Anschutz Medical Campus is committed to recruiting and supporting a diverse student body, faculty and administrative staff. The university strives to promote a culture of inclusiveness, respect, communication and understanding. We encourage applications from women, ethnic minorities, persons with disabilities and all veterans. The University of Colorado is committed to diversity and equality in education and employment.

The University of Colorado Denver | Anschutz Medical Campus is dedicated to ensuring a safe and secure environment for our faculty, staff, students and visitors. To assist in achieving that goal, we conduct background investigations for all prospective employees.

Special Instructions to Applicants: Required Application Materials: To apply, please visit: http://www.cu.edu/cu-careers and attach: 1. A letter of application which specifically addresses the job requirements and outlines qualifications 2. A current CV/resume 3. List of three to five professional references (we will notify you prior to contacting both on and off-list references) Questions should be directed to: [Frances Schulz at Frances.Schulz@ucdenver.edu]
Reference checks are a standard step in our hiring process. You may be asked to provide contact information, including e-mail addresses, for up to 5 references if you are referred to the Hiring Authority for an interview. We will notify you prior to contacting both on and off-list references.

Application Materials Required: Cover Letter, Resume/CV, List of References
Application Materials Instructions: Application Deadline: Applications are accepted electronically ONLY at www.cu.edu/cu-careers. Applications will be accepted until finalists are identified, but preference will be given to complete applications received by June 10, 2019. Those who do not apply by this date may or may not be considered."
2|Business Intelligence Developer|"Business Intelligence (BI) Developer
Position Summary
Reporting to the Manager of Business Intelligence and Data Analytics, this Business Intelligence Developer (BID) will primarily work with Epic’s Clarity and Caboodle data. Business Intelligence solutions include Crystal reports, SQL data extracts, data visualizations, KPIs, Slicer Dicer solutions and Epic-based Dashboards. This resource will work closely with the organization’s business analysts as well as clinical and administrative staff to ensure that business intelligence solutions deliver actionable insights to SSHS staff.




Qualifications

EpicCare Ambulatory Report writing experience required. Candidates with pre-existing Epic BID certifications strongly preferred. Epic Certification required for applications supported by this position within 9-12 months of hire if candidate does not already possess the necessary certification. This certification training may require travel to Verona, WI.

Bachelor's degree required. BS in Computer Science, Business Management or Healthcare–related field strongly preferred. Two (2) to five (5) years of experience working with data extraction methodologies and reporting tools in a variety of healthcare information systems.

Epic report writing skills required. Two (2) to five (5) years of experience working with T-SQL language including knowledge of principles of database design, data acquisition and data access. Knowledge of stored procedure writing, query optimization, and indexes required.

Demonstrates proficiency working with Epic data structures, data analysis/interpretation and transforming raw Epic data into finished business intelligence products.

Possesses knowledge of multiple data analytic and reporting tools such as Crystal Reports, T-SQL, Cubes, SAP Web Intelligence, PowerBI, etc. Knowledge of Qlik data visualization tools a plus. Experience working with and/or supporting Epic’s data warehouse and data universes preferred. Ability to interpret and write SQL queries. Ability to develop and test SSIS packages preferred. Familiarity with various types and sources of health care information including financial and patient-level data files. Strong working knowledge of hospital operations and healthcare industry drivers. Proficiency with MS Office Suite required."
3|Business Intelligence Specialist|"The Specialist-Business Intelligence & Analytics will leverage big data and analytical tools to generate actionable insights, identify strategic opportunities, and drive actions that optimize commercial and operational cargo performance.

Responsibilities include:
Develops and implements reporting tools and performance management systems that generate actionable insights, drive cross-divisional accountability, and improve cargo flight performance oversight
Develops, implements and refines forecasting engines, inputs and methodologies in collaboration with internal and external subject matter experts
Performs analysis for competitive benchmarking, business case development, and strategy recommendations in coordination with broader cargo teams, JV partners, and vendors
Works closely with Passenger Commercial, ACS, Load Control, Flight Dispatch, Performance Engineering, Operations Research, IT, and JV partners to drive data and process alignment
Leads through demonstration of Delta's core values as outlined in Rules of the Road
Practices safety conscious behaviors in all processes and procedures"
4|Business Intelligence (BI) Developer|"Description
Work where every moment matters.

Every day, almost 25,000 Hartford HealthCare employees come to work with one thing in common: Pride in what we do, knowing every moment matters here. We invite you to become part of Connecticut’s most comprehensive healthcare network.

The creation of the HHC System Support Office recognizes the work of a large and growing group of employees whose responsibilities are continually evolving so that we and our departments now work on behalf of the system as a whole, rather than a single member organization.

The ITS Analytics department is responsible for the development and support of analytic solutions aimed at improving outcomes, efficiencies, costs and the patient experience.
The Visual Analytics team works to turn data into timely, accurate and actionable information facilitated by interactive, visual interfaces. The team works directly with other ITS departments, HHC’s acute and ambulatory facilities, and key stakeholders throughout the system on key initiatives and daily support needs.

Position Summary/Responsibilities:

We are seeking an applicant with extensive Visual Analytics Software skills, healthcare analytics experience and a passion for turning rich data-sets into actionable, interactive information! We are looking for a key member of our young and growing team that will:
Develop, design and support interactive Tableau/QlikView dashboards and reports utilizing all of Tableau/QlikView’s features and capabilities and platform technologies.
Partner with ITS analysts to interact with business users across the enterprise and understand their requirements.
Ensure design quality by creating, conducting, and documenting testing. Identifies technical roadblocks and troubleshoots and resolves functional and performance related issues.
Work closely with teams to identify and advise strategic development decisions.
Provides application support by analyzing reported defects and replicating/fixing the defects.
Acts as a resource for team members in translating business needs into technical designs. #HHC
Qualifications

Education Requirements: Bachelor's degree in Management Information Systems Management, Computer Science or a quantitative-related field required.



Licensure/Certification Requirements:
Tableau and/or QlikView Certification is required within 12 months of hire date.
Epic certification is required within 12 months of hire date.

Professional Experience Requirements:
Minimum 5 years’ experience in delivering analytic and standardized reports as developer/lead
Minimum 3 years’ experience developing visualization solutions using Tableau
Prior experience analyzing healthcare-related clinical, financial, and/or administrative data and experience in developing complex reports
Knowledge of principles of design and best practices of data visualization
High proficiency in T-SQL or PL/SQL Query programming concepts such as stored procedures, functions, temporary tables, parameterization, complex joins and groupings.
Minimum 2 years’ experience with batch extract, transform, load (ETL) tools such as Informatica PowerCenter or Microsoft SQL Server Integration Services (SSIS)

Key Accountabilities:
Conducts themselves according to Hartford Healthcare values: Caring, Excellence, Safety and Integrity.
Proponent for change and demonstrates a continuous improvement mindset, ingenuity and innovative thinking and organizational skills.
Strong communication and organizational skills with ability to influence others within their sub-team in addition to the broader Analytics team, while maintaining a strong focus on achieving results.
Strong data visualization concepts and techniques.
Excellent analytical, conceptual and problem-solving abilities.
Highly self-motivated, self-directed with attention to detail.
Strong knowledge in data warehousing concepts.
We take great care of careers.

With locations around the state, Hartford HealthCare offers exciting opportunities for career development and growth. Here, you are part of an organization on the cutting edge – helping to bring new technologies, breakthrough treatments and community education to countless men, women and children. We know that a thriving organization starts with thriving employees- we provide a competitive benefits program designed to ensure work/life balance. Every moment matters. And this is your moment."
5|Business Intelligence Developer|"Company Description
ClientSolv Technologies is an IT solution firm with over a decade of experience serving Fortune 1000 companies, public sector and small to medium sized companies. ClientSolv Technologies is a woman-owned and operated company that is certified as a WMBE, 8a firm by the Federal government's Small Business Administration.

Job Description
ClientSolv Technologies is an IT solution firm with over a decade of experience serving Fortune 1000 companies, public sector and small to medium sized companies. ClientSolv Technologies is a woman-owned and operated company that is certified as a WMBE, 8a firm by the Federal government's Small Business Administration.
Job Summary:
Job Title: Business Intelligence Analyst / Developer
Location: Allen, TX
Duration : 6+ months contract
We are seeking a Business Intelligence Analyst / Developer preferably with some experience with Tibco Spotfire
Job Summary
In this newly created role, BI ANALYST/DEVELOPER will maintain the company BI infrastructure to achieve optimum Reporting, Designing, developing and maintaining BI solutions. Crafting and executing queries upon request for data. Presenting information through reports and visualization. Working with managers and users on our products internally and provide training, ensuring a positive internal reporting experience.
Job Duties
Strong communication skills as would be required to work directly with Business Units and Senior Management
Translate business needs to technical specifications
Collaborate with teams to integrate systems
Develop and execute database queries and conduct analyses
Create visualizations and reports for requested projects
Ability to work in project managed environment with definitive timelines
Ability to work in multiple sites (onsite, offshore etc…)
Understanding of ERP environments
Strong sense of discretion and ability to maintain confidentiality required
Effective time-management skills; able to plan work and meet deadlines
Strong initiative and accountability, requiring minimal direction and supervision
Willingness to travel on occasion or work extra if needed
Must be able to work productively on a repetitive basis
Commitment to quality - a consistent and proactive commitment to the principles and practices that result in quality products and services, satisfied customers, and continual improvement

Qualifications
Experience in Gathering and finalizing requirements
Proven experience as a BI Developer
Background in data warehouse design (e.g. dimensional modeling) and data mining
In-depth understanding of database management systems, online analytical processing (OLAP)
Perform application study and provide inputs for the development estimation
Creating design document to outline the implementation and develop the code
Creating test scripts for the Unit testing and execution
Knowledge of SQL queries, SQL Server Reporting Services (SSRS) and SQL
Min 6 Years Exp. in maintaining TIBCO Spotfire or related BI systems.
Ability to work with Large volume databases
Ability to understand data models
Design, build and deploy BI solutions (e.g. reporting tools)
Maintain and support data analytics platforms (e.g. MicroStrategy)
Create tools to store data (e.g. OLAP cubes)
Conduct unit testing and troubleshooting
Evaluate and improve existing BI systems
Writing technical reporting specifications and design documents

Additional Information
Bachelor's degree in Computer Science, Engineering or related field
6 months Contract
Team player
Initiative taker and out of the box thinker"
6|Senior Data Analytics and Business Intelligence Developer (T...|"The Senior Data Analytics and Business Intelligence Developer will join a team of highly motivated and skilled individuals focused on the development and maintenance of multiple applications supporting Risk Management for ICE global Clearing Houses. We develop and support applications that monitor the trading activities of our clearing members in near real-time to evaluate risk and allow our risk analysts to make decisions on collecting more collateral during the day. We also develop and support applications that calculate stress gains/losses, determine if a member is highly concentrated in an asset, and a complex set of asset price movements over many years to predict potential movements in the future and hold capital from our members to ensure the clearing house is insulated from a potential member going defunct. Lastly, the group is highly engaged in providing and supporting tools and applications for business analytics and data management (Tableau and others). The environment is fast paced, exciting, and demanding.

We are looking for a highly motivated and passionate Data Analytics and Business Intelligence developer to join our team to evolve our analytic capabilities and business intelligence platforms. The successful candidate will be familiar with data engineering with considerable experience using Oracle and other SQL and No-SQL databases. This role will focus on understanding the data available in the clearing systems and providing interfaces to our risk analysts and other users to utilize analytic tools, such as Tableau, Python, and Business Objects. The role will also assist our end users in requests for analytics by building and maintaining visualizations of the data, engineering database views and tables with the purpose of consumption by end users without impacting our online database and/or transferring data to other data stores to be made readily available for analysis.

Excellent written and verbal communication skills are necessary as the position requires authoring of data models, system designs and diagrams as well as user and technical documentation. Additionally, the candidate will directly interface with our technical risk analysts and risk managers to understand requirements and implement reports, views, tables, that support the requests of the analysts.

At ICE, we are on a mission as a team. We are problem solvers and partners, always starting with our customers to solve their challenges and create opportunities. Our start-up roots keep us nimble, flexible and fast moving. We take ownership and make decisions. We all work for one company, and work together to drive growth across the business. We engage in robust debates to find the best path, and then we move forward as one team. We take pride in what we do, acting with integrity and passion, so that our customers can perform better. We are experts and enthusiasts - combining ever-expanding knowledge with leading technology to consistently deliver results, solutions and opportunities for our customers and stakeholders. Every day we face forward, make progress, and work together to transform global markets.

Responsibilities
Exercise judgement within defined standard practices and procedures to analyze, test, design, program, debug, modify and implement system requirements
Design and develop end to end scalable analytical solutions within Oracle, Tableau, and Business Objects
Work closely with business units on gathering requirements into implementable designs, reports, and visualizations
Create operations and technical documentation for developed systems and applications
Perform hands-on design, development, configuration, testing of reports and dashboards for analytics
Analyze impacts of changes on existing metadata, exposed database views, data sources, to ensure compatibility of system releases with business analytics
Harmonize implementations across multiple clearing houses by working with analysts to create configurable and common reports and dashboards
Plan and estimate for system enhancements including design, testing, and rollout
Work in an agile environment, planning and executing unit test cases to ensure developed code is free of functional defects
Conduct root cause analysis and resolve production problems and data issues, this includes regular support of analytics users
Willing to participate some weekends in disaster recover/failover testing with analytics

Knowledge and Experience
Excellent communication skills
Understanding of SDLC process and tools, agile program management concepts and version control
Ability to work productively under pressure, and multi-task effectively
String self-management skills and ability to juggle multiple projects
Strong interpersonal skills and the ability to work well in a team environment
Exposure in the financial services technologies, particularly in futures and options
Preferred
Oracle 11g, 12c and RAC experience
Tableau and Python experience
Experience working in Unix/Linux environment

Intercontinental Exchange, Inc. is an Equal Opportunity and Affirmative Action Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, sexual orientation, gender identity, national origin or ancestry, age, disability or veteran status, or other protected status.

Additional Information
Job Type: Standard
Schedule: Full-time"
7|Business Intelligence Developer|"Department Description: Beth Israel Deaconess HealthCare is a network of more than 100 highly-skilled primary care physicians and specialists who are affiliated with the renowned Beth Israel Deaconess Medical Center in Boston, Beth Israel Deaconess Hospital-Needham, Beth Israel Deaconess Hospital-Milton and Beth Israel Deaconess Hospital-Plymouth. Our Central Office is located in Needham, MA.

Job Location: Needham, MA

Req ID: 33649BR

Job Summary: Reporting to the Business Intelligence (BI) Manager, the BI Developer is responsible for managing the enterprise wide database for Beth Israel Deaconess HealthCare (BIDHC) and the integration and integrity of data from various sources. The BI Developer will be responsible for creating packages that capture the business and data requirements within BIDHC's technical environment. The BI Developer is responsible for managing the overall data and reporting life cycle.

Essential Responsibilities:
Implement and support BIDHC database models and data warehousing projects in a Microsoft environment using SQL Server 2012/2014/2016 and newer technologies adopted by BIDHC.
Design and document data algorithms, report design requirements and flowcharts. Creates database structures, procedures, triggers and appropriate indexing methods to optimize data storage and retrieval processes.
Design, develop and optimize ETL data transformations and SSIS packages. Debugs and troubleshoots databases and database objects performance and data quality issues. Document error logs and solutions. Monitor SSIS packages and ETL processes to ensure accuracy and data quality. Provide assistance to others in topics related to data management.
Create and modify existing databases and database objects according to needs of the organization. Perform thorough testing on all database objects and data queries to ensure results meet designed specification.
Support all assigned BIDHC reporting needs by producing daily, weekly and monthly reporting deliverables.
Develop and maintain Business Intelligence reports utilizing Tableau, Axiom and other solutions adopted by BIDHC.
Develop Tableau visualizations and dashboards using Tableau Desktop. Develop Tableau workbooks from multiple data sources using Data Blending.
Provides business and technical analysis, development and project management expertise for business and technology initiatives, while focusing on data warehouse and business intelligence solutions.
Supports Business Intelligence Manager and Director, Strategic Analytics with reporting requests, presentations, database development and other assigned responsibilities.
Required Qualifications:
Bachelor's degree required.
1-3 years related work experience required.
1 year of SQL Server Integration Services (SSIS), writing T-SQL codes, and stored procedure experience.
Experience using SQL Server Management Studio (SSMS) and Visual Studio as well as experience with data marts and data warehouse design and development.
Willingness to develop new technical skills and learn new technologies.
Advanced technical computer skills as required for technical support specific to functional area and related systems.
Preferred Qualifications:
Preferred experience creating reports in Tableau.
Competencies:
Decision Making: Ability to make decisions that are guided by precedents, policies and objectives. Regularly makes decisions and recommendations on issues affecting a department or functional area.
Problem Solving: Ability to address problems that are highly varied, complex and often non-recurring, requiring staff input, innovative, creative, and Lean diagnostic techniques to resolve issues.
Independence of Action: Ability to set goals and determines how to accomplish defined results with some guidelines. Manager/Director provides broad guidance and overall direction.
Written Communications: Ability to summarize and communicate in English moderately complex information in varied written formats to internal and external customers.
Oral Communications: Ability to comprehend and communicate complex verbal information in English to medical center staff, patients, families and external customers.
Knowledge: Ability to demonstrate in-depth knowledge of concepts, practices and policies with the ability to use them in complex varied situations.
Team Work: Ability to act as a team leader for small projects or work groups, creating a collaborative and respectful team environment and improving workflows. Results may impact the operations of one or more departments.
Customer Service: Ability to provide a high level of customer service and staff training to meet customer service standards and expectations for the assigned unit(s). Resolves service issues in the assigned unit(s) in a timely and respectful manner.

Physical Nature of the Job:
Sedentary work: Exerting up to 10 pounds of force occasionally in carrying, lifting, pushing, pulling objects. Sitting most of the time, with walking and standing required only occasionally"
8|SQL BI Developer|"RDX is the leading global provider of remote DBA, Cloud and Data Infrastructure Support Services.
SQL Server BI Developer (Remote Opportunity)
The SQL Server BI Developer/Administrator responsibilities are:
Engage in detailed and advanced requirements gathering for BI projects and statements of work
Create and maintain technical writing and guidelines for BI Solutions and statements of work
Design relational and analytical database schemas and architectures based on best practices and customer requirements/needs
Administer production databases and processes including maintenance related tasks and activities
Troubleshoot existing BI solutions including ETL, cube processing and reporting errors
Provide recommendations on existing server and database level BI architecture using best practices and knowledge of business requirements
Design, implement, deploy and maintain the ETL process and data flow, including data quality and unit testing.
Architect, design, deploy and maintain enterprise level data warehouses and data marts including various data modeling techniques, multi-dimensional and tabular architectures
Write complex T-SQL code and stored procedures to be utilized by applications, ETL and reports
Review, recommend and implement changes to existing T-SQL code and stored procedures for performance improvements
Troubleshoot MDX and DAX code
Design complex reports and dashboards to satisfy business needs using native tools as well as some third party applications
Technical skills and experience required include:
Microsoft SQL Server 2000, 2005, 2008, 2008R2, 2012 and 2014
Experience with designing, developing, and supporting database environments
Strong customer relationship management
Technical writing and documentation experience
Expertise in Microsoft SQL Server Integration, Analysis and Reporting Services
Exceptional analytical, conceptual and problem-solving abilities
Development of Multi-dimensional and/or tabular data warehouses
Familiarity with metadata management concepts, change management/version control concepts
Versatile and knowledgeable in T-SQL programming and SSIS design Some experience in database administration
Experience with other BI Tools such as Power BI, QlikView, Tableau, Cognos, etc. is a plus
Experience with other programming and machine learning languages is a plus
Education/Experience
Bachelor’s degree in a technical or science related field of study.
Minimum 3 years of experience in Microsoft SQL Server or equivalent work experience"
9|Business Intelligence Developer, BI|"Overview:

Over the last three years, our company has seen rapid growth, and we are not done growing! With even more development anticipated over the next three to five years, we are adding to our team of dedicated and hardworking individuals. You will be part of a group that is responsible for designing, developing, deploying, and administering an SAP Business Intelligence analytics-reporting tool.
We are the billion-dollar company you've never heard of. Heartland Dental proudly supports 950+ dental offices in more than 14,000 team members across 37 states. We're owned by supported doctors, employees and one of the largest private equity companies in the world.

We are hardworking, fun loving and fast growing - looking for our next perfect fit! Do you want to be part of building the success of Heartland Dental's next 20 years?
Responsibilities:
Duties and responsibilities will include:

Participate in the planning, development, and implementation of process or system improvements as they relate to analytical reporting tools
Perform daily administration of SAP Reporting Systems, including back-end development and security
Interact and triage with SAP product team to work through product issues
Apply support packs on HANA hosted as cloud service on SAP cloud platform
Ability to work through different security framework (analytical and SQL based security) available in HANA
Test and validate back-end development
Monitor requests and inquiry queue as it pertains to enhancements and/or questions regarding analytical reporting tools
Become a subject matter expert with the various financial and analytical tools utilized by the Accounting and Finance team. Analyze process breaks or gaps and determine best methodology for moving forward.
Develop data models in SAP HANA to satisfy requirements for KPIs, metrics and dashboards
Develop and Maintain HANA data provisioning for ETL and data integrations with source data
Qualifications:
Minimum Requirements:
Bachelor’s Degree with a major in Information Systems, Accounting, Finance, Mathematics, Economics, Engineering, or relevant work experience
Understanding of key SQL constructs with procedures, functions, table functions, triggers
Understanding of star schema and data warehousing concepts regarding slowly changing dimensions, navigation attributes
Understanding of key system sizing indicators
Strong analytical and problem-solving skills – ability to identify discrepancies, perform research therein, and work toward resolution
Strong computer skills, including experience with Microsoft Word, Outlook, Excel, and PowerPoint
Strong organizational and interpersonal skills
Excellent verbal and written communication skills
Must be able to effectively handle multiple projects simultaneously in a deadline driven environment
Desirable Qualifications:

Understanding of SAP cloud platform and its key services
Experience with developing HANA calculation views and SQL based scripts

We put our people first at Heartland Dental, and that shows in our generous benefits package.

Company retains the sole discretion to change the duties of the position at any time.
We provide all employees and applicants for employment the protections of federal, state, and local laws affording equal opportunity in employment."
