|Title|Description
0|Data Scientist - Entry Level|"What is Pathrise?
Pathrise (YC W18) is an online program for tech professionals that provides 1-on-1 mentorship, training and advice to help you land your next job. On top of that, we're built around aligned incentives. You only pay if you succeed in getting hired and start work at a high-paying job first.

Everyday we are expanding our team and our services. We are looking for sharp, scrappy and fun individuals who are ready to jump in (head first) into a new role with us. We are a small team and we love working together to improve our fellows chances of getting the job of their dreams! If this sounds like something you'd be interested in we want to talk to you.

Our Mission
We seek to uplift job seekers in their careers and help them fulfill their hopes, ambitions and livelihoods. Read more about why we’re driven to do this in our manifesto.

In this role, you will create a framework for how we utilize our own data. If you are someone comfortable with qualitative data and can see the amazing potential we have to be a forerunner in this new job seekers market then this could be the perfect role for you.

In order to be effective in this role, you must have a genuine interest in education and technology. Since you will be involved in all phases of coursework from research, development, design and feedback we are looking for someone who is not only passionate but also in love with our Mission of “uplifting undervalued students and tech professional in their early careers.” A large portion of this role will also be handling admissions, mentoring, instruction and other curriculum processes in a “teaching assistant” type position. It will be a combination of functional work and supporting the instruction staff.

This position is ideal for someone with a passion for data science and education, who is entrepreneurial and wants to join a fast-growing startup that's helping the next generation of data scientists! Depending on each candidate’s qualifications, this position could also be approached as a contract or contract-to-hire role as well.
Qualifications
0-3 years in data science
Excellent communication skills, ability to understand customer needs and provide valuable recommendations
Strong Python and SQL skills
Able to effectively synthesize, visualize, and communicate your ideas to others
Familiar with key data engineering concepts
Experience with data visualization
Benefits and perks
Great health, dental and vision benefits
Free daily catered lunches and snacks
Commuting costs covered
Flexible PTO
Ability to grow in your career and make a difference to individuals and society
What will I be doing?
Being involved with product discussions about high impact features to build for job seekers
Help with various data analysis projects and elements of the data curriculum
Review industry evaluations and handle admissions conversations with potential fellows
Contribute to curriculum and teaching sessions and workshops
Handle fellow queries for job search support and interview practice
We do not discriminate on the basis of race, religion, sex, gender identity, sexual orientation, age, disability, national origin, veteran status or any other basis covered by law. If you need assistance or an accommodation due to a disability, please let us know.

If you are also interested in the fellowship, please apply here: https://www.pathrise.com/apply."
1|Data Scientist, Workforce Analytics|"Company Overview
WarnerMedia is a leading media and entertainment company that creates and distributes premium and popular content from a diverse array of talented storytellers and journalists to global audiences through its consumer brands including: HBO, HBO Now, HBO Max, Warner Bros., TNT, TBS, truTV, CNN, DC Entertainment, New Line, Cartoon Network, Adult Swim, Turner Classic Movies and others.

Warner Media, LLC and its subsidiaries are equal opportunity employers. Qualified candidates will receive consideration for employment without regard to race, color, religion, national origin, gender, sexual orientation, gender identity or expression, age, mental or physical disability, and genetic information, marital status, citizenship status, military status, protected veteran status or any other category protected by law.
Business Unit Overview
HR Services provides payroll, travel and expense, human resources, HRIS, IT and benefits administrative services to the Warner Bros. Entertainment Group of Companies.
Opportunity Overview
The Job

We are looking for a talented data scientist to join our Workforce Analytics function and will be responsible for predictive modeling and analysis of workforce data, to support our HR team to meet their goals and objectives.

As a data scientist, you are expected to formulate the questions that will help business and then proceed in solving them, and make independent decision on what tools, technology, methodology to apply to the work. You are also expected to build statistical models and advanced programming based on the business understanding. Data scientist is a someone who combines business understanding, data handling, programming, and data visualization skills to drive better business results.

The Daily
Responsible for developing statistical and machine learning solutions to identify WB overall and cross-business unit talent opportunities.
Designing and implementing solutions utilizing a large array of know-how areas within analytics e.g. generalized regression, decision tree, non-parametric; and machine learning, e.g., gradient boosting, random forest, neural networks, clustering, pattern recognition.
Communicate and present findings and recommendations to senior leadership team with WB, i.e. CHRO, HRLT, CFO.
Provide input and guidance to the acquisition of data, partner opportunities and analytical competencies to strengthen Workforce data related capabilities.
Provide guidance and assign work to junior data analysts.


The Essentials
Bachelor or higher degree in engineering or quantitative discipline, or equivalent combination of training and work experience.
Minimum 2 years of Experience in advanced data mining techniques and tools such as R and Python, and familiar with manipulating large-scale structured and unstructured data.
Minimum 1 year of experience with data visualization tools such as Tableau or Power BI.
Proficient with statistics, data modeling, and analysis.
Experience with SQL, relational database, database management.
Experience in transforming goals/requests into a visual story to help end users identify areas of strength and opportunities for improvement.
Consulting experience with a management consulting/software company preferred.
Experience in HR system transactions preferred.
Experience in process improvement, and finance/accounting preferred.
Proven analytical skills with strong attention to detail.
Strong technical aptitude and ability to learn quickly through instruction and self-training.
Understands the functional and technical details, but can think strategically.
Can be effective across disparate environments and work teams.
Ability to manage priorities across different projects.
Advanced skills in data analysis using database, spreadsheet, reporting software.
Strong leadership and communication skills.
Strong interpersonal & relationship building skills.
Excellent time and project management skills with the ability to work efficiently under tight deadlines.
Comfortable in a dynamic environment. Able to identify needs, develop a plan of action and implement.
Comfortable with ambiguity.
Self-starter who can think creatively and look for/develop elegant & viable solves for real world problems.
Utilize discretion and judgment to maintain confidentiality of sensitive data.
Desire to constantly improve and learn.
Ability to work on a diverse scope of projects requiring detailed data analysis.
Must be a supportive team member as an active participant and contributor.
Must have an exploratory mindset.
Must be solution oriented with the flexibility to work in a dynamic environment.
Must have excellent time management skills to perform in a fast-paced, high pressure, high volume environment.
Must have strong interpersonal skills with excellent written and verbal communication skills.
Must have strong attention to detail (excellent quality of deliverables).
Must have the ability to tailor communication and messaging with varying levels of the organization.
Must be able to reason through issues and resolve problems and work well under time constraints.
Must be a team player and be flexible.
Must be a motivated, confident self-starter."
2|ML Engineer / Data Scientist - Tempus Ex|"Our Mission
We are building 3D data models of sporting events in real-time via image recognition and advanced tracking.
Our Values
Work hard, have fun, dream big: we want to change the way sports is consumed.
Best idea wins: the team uses the best idea regardless of seniority.
Thirst for knowledge and improvement: never stop learning and finding better ways to solve problems.
Be a self-aware team player: recognize your role in the team to achieve our goals and help others.
Teams are organized according to scrum/agile principles: engineers are given a chance to focus on the task at hand without undue distraction.
Weekly sprints: we make small, achievable goals and strive to complete them.
How You Can Help
Build out our ML data pipeline.
Study and transform data science prototypes.
Design machine learning systems.
Implement working models based on published papers.
Research and implement appropriate ML algorithms and tools.
Run machine learning tests and experiments.
Perform statistical analysis and fine-tuning using test results.
Train and retrain systems when necessary.
Extend existing ML libraries and frameworks.
Coordinate a team image labelers.
Skills
You are passionate about sports data.
Experience with data science languages such as Python and R.
Deep knowledge of math, probability, statistics and algorithms.
Familiarity with machine learning frameworks (like Keras or PyTorch) and libraries (like scikit-learn).
Ability to take existing models and convert them to other frameworks, such as PyTorch to CoreML, Tensorflow, or ONNX.
Deep knowledge of neural nets and when to use each, i.e. MLPs, CNNs, and RNNs.
Familiarity with cloud infrastructure providers such as AWS, Azure, or GCP.
Familiarity with video codes such as H.264 and HEVC (H.265).
Tech Stack:
Go
Rust
ML
AWS
TypeScript
Python
R
Why you should apply with Triplebyte:
We save you time. Though you're making an initial time investment by going through our interview process, afterwards we can fast track you through to final interviews at the companies you are interested in. Most candidates save hours that otherwise would be spent on phone screens. We turn an O(n) process into an O(1) process.
We connect you to companies where you're likely to succeed. Companies differ widely in what skills they look for in engineers. For example, some companies really love academic programmers, while other think being academic is a sign you won't be productive. We've mapped these differences, and will identify companies where you're a good fit.
We connect you to companies you may not have heard of. Everyone has heard of Dropbox, Airbnb, and Stripe. But we can also suggest companies that you may not have considered before, or even heard of. We can get you in early with some of the most exciting new companies out there.
We can connect you with the right people. If you've ever applied for a job through a company web site, you know that it can seem like your resume has been sent into a black hole. We can put you right in front of hiring managers or founders for a fast turnaround.
We can vouch for your technical skills. Maybe your resume isn't perfect. With us, that doesn't matter. The companies we work for trust our ability to find hidden talent that other recruiters can't.
About Tempus Ex
With our real-time 3D tracking technology, we create data models for live predictive analytics. This enables new types of fantasy sports games that are more engaging for fans—both in the stadium and at home.
We also create interactive AR experiences for fans that improve the engagement with teams and players. These experiences can be personalized and easily integrate with social media.
With unprecedented access to sporting events, we aim to partner with sports leagues around the world to implement this technology. With hands-on R&D at live events, we are developing edge hardware that streams to our cloud-based ML systems.
Company Culture
We value keeping technical debt low, striving for excellence, and learning and growing as engineers."
3|Data Scientist|"Data Scientist. Junior/Mid Level & Senior roles
Fully remote, US
$120 – 150k. Amazing benefits and equity.
Sponsorship not supported at this time
The Company
A growing E-Learning company is striving to discover, empower, and recognize the next generation of the world’s expertise.
The Role
Seeking problem solving Data Scientists to help drive development and delivery of high-quality, data-driven, machine learning and predictive modeling solutions.
Why Work Here
A fast-paced exciting startup that has quadrupled in size in the past 2 years. It’s all about the people! A team of talented, passionate technologists who take pride in the product that is changing education for the better.

Responsibilities
Work as part of a product team to derive data science products that help improve the experience on the platform.
Develop full data science pipelines from early proof-of concept models through full-scale training and working with engineers to deploy models to production.
Communicate about data science with a diverse set of stakeholders and development partners

Requirements
Experience working remotely - It takes a self-motivated individual to thrive on a distributed team
Professional experience using unsupervised learning techniques - clustering, word embeddings, dimensionality reduction, Experience in Natural Language Processing (NLP)
Ability to write production level code while being supported by your team, experience in end-to-end modelling"
4|Data Scientist - HBO Max|"Opportunity Overview
Build the Future of Entertainment

HBO Max is WarnerMedia’s direct-to-consumer (DTC) offering debuting in May 2020. With over 10,000 hours of curated premium content anticipated at launch, HBO Max will offer powerhouse programming for everyone in the home, bringing together HBO, a robust slate of new original series, key third-party licensed programs and movies, and fan favorites from WarnerMedia’s rich library, including Warner Bros., New Line, DC, CNN, TNT, TBS, truTV, Turner Classic Movies, Cartoon Network, Adult Swim, Crunchyroll, Rooster Teeth, Looney Tunes, and more.

Our DTC team is laying the foundation for HBO Max, and we need highly motivated, uniquely skilled, and technically agile experts across a variety of disciplines to accomplish things that have never been done before.

The Job

The Data Scientist will be responsible for leveraging data analytics, visualization and data science to help driving growth and improving retention for our new streaming service HBO Max. You will build data science models, perform advanced analytics and data mining to help business understating HBO Max consumers behaviors, drive improvements to acquisition and retention marketing. The Data Scientist will conceive analytic plans encompassing descriptive and predictive analytics, and unearth the story of the data, to help the company make informed choices that influence content, products, and our relationship with audiences. To achieve these objectives, this individual will mine data and apply machine learning techniques, using languages such as SQL, Python, and R. This role will work cross-functionally with data team, product team and closely with Marketing team.

The Daily
Generate useful features from large amount of data.
Apply supervised and unsupervised machine learning techniques, such as linear and logistic regression, decision trees, and k-means clustering.
Develop segmentation models, classification models, propensity models, LTV (customer lifetime value) models, experimental design, optimization (operation research) models.
Perform statistical analysis such as KPI deep dives, marketing efficiency, behavioral clustering, and customer journey analytics.
Curate audiences and inform engagement tactics to enable differentiated, relevant marketing touches across CRM channels (email, in app, push).
Synthesize analytics and statistical approaches into easy-to-consume storylines, both visually and verbally, and provide indicated actions for executive audiences.
Capture business requirements for data and analytic solutions and collaborate with the Marketing team to ensure business requirements align with business needs.
Analyze content promotions and surface insights that will help drive viewership and a more loyal customer base.
Support day-to-day collaboration with Marketing to communicate insights and recommend data informed strategies.
The Essentials
BA/BS in statistics, mathematics, economics, industrial engineering or other quantitative discipline.
Experience building data science models (Regression, Decision Trees, K-Means, etc.).
Experience with large data sets and analytical tools.
Proficiency in scripting languages (SQL, Python, R, etc.).
Knowledge of a dashboarding language (Tableau, looker, etc.) or equivalent report building experience not required but a plus.
The Perks
Exclusive WarnerMedia events and advance screenings
Paid time off every year to volunteer
Access to well-being tools, resources, and freebies
Access to in-house learning and development resources
Part of the WarnerMedia family of powerhouse brands
WarnerMedia is a leading media and entertainment company that creates and distributes premium and popular content from a diverse array of talented storytellers and journalists to global audiences through its consumer brands including: HBO, HBO Now, HBO Max, Warner Bros., TNT, TBS, truTV, CNN, DC Entertainment, New Line, Cartoon Network, Adult Swim, Turner Classic Movies and others.

Warner Media, LLC and its subsidiaries are equal opportunity employers. Qualified candidates will receive consideration for employment without regard to race, color, religion, national origin, gender, sexual orientation, gender identity or expression, age, mental or physical disability, and genetic information, marital status, citizenship status, military status, protected veteran status or any other category protected by law."
5|Data Scientist - Visa Research|"Company Description

As the world's leader in digital payments technology, Visa's mission is to connect the world through the most creative, reliable and secure payment network - enabling individuals, businesses, and economies to thrive. Our advanced global processing network, VisaNet, provides secure and reliable payments around the world, and is capable of handling more than 65,000 transaction messages a second. The company's dedication to innovation drives the rapid growth of connected commerce on any device, and fuels the dream of a cashless future for everyone, everywhere. As the world moves from analog to digital, Visa is applying our brand, products, people, network and scale to reshape the future of commerce.
At Visa, your individuality fits right in. Working here gives you an opportunity to impact the world, invest in your career growth, and be part of an inclusive and diverse workplace. We are a global team of disruptors, trailblazers, innovators and risk-takers who are helping drive economic growth in even the most remote parts of the world, creatively moving the industry forward, and doing meaningful work that brings financial literacy and digital commerce to millions of unbanked and underserved consumers.
You're an Individual. We're the team for you. Together, let's transform the way the world pays.

Job Description
Visa Research conducts applied and fundamental research, and was created to lead the company in pushing the boundaries of payment related technologies on a global scale. We engage with the company's numerous technology and product teams, world-wide business partners, academics, and governments, to explore and develop technologies that will shape the future of the payments industry and impact the lives of billions of people.
We are currently focused on building world-class research teams in three key areas: Security, Data Analytics, and Future of Payment. Working on data analytics at Visa is a unique opportunity at a time when the payments industry is undergoing a digital transformation, and with AI as the critical differentiator for a growing number of emerging payment models and usage scenarios. We offer you the opportunity to be at the center of innovation in the payments industry and set the direction for Visa and the future payment ecosystem. This role represents an exciting opportunity to make key contributions to Visa's strategic vision as the world-leading digital payments company. The successful candidate must have an outstanding track record in academics and is business savvy with participation in developing innovations. The candidate will be a self-starter comfortable with ambiguity, with strong attention to detail, and excellent collaboration skills.
Key Responsibilities
Performs statistical, cost and financial analysis of various Visa Research prototypes.
Author pipelines for data extraction and build key datasets to obtain operational efficiency.
Monitor Key product metrics, understand root cause for change and identify levers to move it.
Partner with Data/Research Scientists, Product and Engineering and apply your expertise in quantitative analysis to create, scale and automate reporting.
Influence clients and product teams through presentation of work.
Develop deep understanding of payments ecosystem.
Perform AB testing experimentation to foster product innovation.

Qualifications
Basic Qualifications
2 years of work experience with a Bachelor’s Degree or no work experience with an Advanced Degree (e.g. Masters, MBA, JD, MD, or PhD) Computer Science, Math, Physics, Engineering, Statistics or other technical field.
Preferred Qualifications
3+ years of work experience with a Bachelor’s Degree or 1+ years of work experience with an Advanced Degree (e.g. Masters, MBA, JD, MD) in Computer Science, Math, Physics, Engineering, Statistics or other technical field.
Experience doing quantitative analysis.
Experience in product focused role in technology or consulting company.
Technical competence to perform advanced analytics:
Big data query language (such as SQL or Hive).
Experience with analytics & visualization tools (SPSS, Tableau, Power BI) .
Experience performing analysis with large datasets.
Strong statistical knowledge (such as a/b testing, significance testing etc).
Knowledge of scripting language such as Python is a plus.
Deep understanding of numbers, as well as a strong business sense.
Comfortable working with ambiguity.
Business Savvy and highly curious.
Strong strategic aptitude; ability to define and measure impact of a prototype running retro analysis on large data sets.
Knowledge of general ML techniques is a plus.
Ability to communicate the results of analyses in a clear and effective manner to a senior audience.
Work Hours This position requires the incumbent to be available during core business hours.
Travel Requirements This position requires the incumbent to travel for work 5% of the time.

Additional Information
This position will be performed in an office setting. The position will require the incumbent to sit and stand at a desk, communicate in person and by telephone, frequently operate standard office equipment, such as telephones and computers, and reach with hands and arms."
6|Data Scientist - Content - HBO Max|"Opportunity Overview
Build the Future of Entertainment

HBO Max is WarnerMedia’s direct-to-consumer (DTC) offering debuting in May 2020. With over 10,000 hours of curated premium content anticipated at launch, HBO Max will offer powerhouse programming for everyone in the home, bringing together HBO, a robust slate of new original series, key third-party licensed programs and movies, and fan favorites from WarnerMedia’s rich library, including Warner Bros., New Line, DC, CNN, TNT, TBS, truTV, Turner Classic Movies, Cartoon Network, Adult Swim, Crunchyroll, Rooster Teeth, Looney Tunes, and more.

Our DTC team is laying the foundation for HBO Max, and we need highly motivated, uniquely skilled, and technically agile experts across a variety of disciplines to accomplish things that have never been done before.

The Job

As a Content Data Scientist on the HBO Max Data & Analytics team, you will join the exciting Content Intelligence & Metadata team to translate our programming and content executives' business requirements into analytical solutions. You will design and execute end-to-end analytical solutions within a cloud-based analytic infrastructure, partner with data engineering and analytic teams in transforming the insights into actionable endpoints, carrying the data science or analytical solution to production and managing the publication of the endpoints for downstream consumption. You also be involved in delivering the insights back to the creative business executives.

The Daily
Gather business requirements from our content, programming and product executives and translate those strategies, business questions into KPI's, data structures and analytical solutions to help them make their content acquisition, development, programing and scheduling decisions.
Work with data scientists and solution analysts to understand the business problems, proactively design intuitive data structures and create the best-suited data structures for modeling and analysis.
Design and execute multi-disciplinary analytic end points in a cloud-based data science infrastructure and co-ordinate the update/refresh cycles across different functional area.
Work with technology data engineers to facilitate publishing of analytic end points in an enterprise data lake as well as other stakeholder platforms.
Evaluate and facilitate the integration of additional sources of data that can enhance analytic capability, continually identify and fix issue that could enforce robust analytic process.
Assist in identifying and solving data quality concerns in analytic data transformation pipeline.
Work with the content intelligence team to enrich and improve our content metadata.
Maintain and own all workflow documents up to date.
The Essentials
BS/MS in Computer Science, engineer, mathematics or equivalent experience.
3-4 years of relevant work experience.
Experience translating business needs & stakeholder questions into analytic frameworks.
Data wrangler extraordinaire (Python, R, SQL) who can bring analytical rigor to help guide data driven decision making.
Experience with AWS Solutions (S3, EMR, Glue, Sagemaker, Lambda, Step functions, Cloud Watch, etc.)
Strong knowledge of relational and non-relational databases (Snowflake, Redshift, DynamoDB)
Experience developing statistical models, advanced analytics and business intelligence.
Bias towards action & a willingness to iterate and improve methodologies over time.
Prizes pragmatically delivering value over analytical idealism.
Interest in shows & movies and understanding how & why viewers engage in content.
Experience building big data product and production pipelines to support data and analytic functions.
Familiar with various analytical and data science techniques and implement models and analyses developed with these techniques into production environment.
Flexibility and comfort working in a dynamic and some remote organization with minimal documentation and process.
Strong problem solving and conceptual thinking skills.
Entertainment or media industry a BIG plus.
The Perks
Exclusive WarnerMedia events and advance screenings
Paid time off every year to volunteer
Access to well-being tools, resources, and freebies
Access to in-house learning and development resources
Part of the WarnerMedia family of powerhouse brands
WarnerMedia is a leading media and entertainment company that creates and distributes premium and popular content from a diverse array of talented storytellers and journalists to global audiences through its consumer brands including: HBO, HBO Now, HBO Max, Warner Bros., TNT, TBS, truTV, CNN, DC Entertainment, New Line, Cartoon Network, Adult Swim, Turner Classic Movies and others.

Warner Media, LLC and its subsidiaries are equal opportunity employers.
Qualified candidates will receive consideration for employment without regard to race, color, religion, national origin, gender, sexual orientation, gender identity or expression, age, mental or physical disability, and genetic information, marital status, citizenship status, military status, protected veteran status or any other category protected by law"
7|DATA SCIENTIST|"PYTHON / SCIKIT-LEARN / NUMPY / TENSORFLOW
Rho AI was founded in 2012 by a small team of entrepreneurs, data scientists, and engineers. We set out to develop custom software for professional motorsports to predict an optimal race strategy. Since then, our real-time strategy recommendations have factored heavily into multiple victories and we are proud to count Richard Childress Racing, Hendrick Motorsports, and General Motors as some of our partners.
Today, Rho AI’s products are used in a wide range of industries, including healthcare, finance, sports, waste, water, climate change, and energy.
Rho AI:
The people - dependable, driven, and collaborative team.
The problems - mix of products and services across diverse domains.
The tech - modern tools to build pragmatic data-driven applications.
The structure - 100% remote-only team & self-funded since 2012.
Sound interesting? We are hiring for a variety of experience levels, so all are welcome to apply. We are especially interested in hearing from early-career candidates who have a mathematically inclined higher degree (Masters or PhD), and/or publicly available evidence of non-trivial data science work. Please reach out if:
You are looking to:
Apply academic and/or software development background to industry problems in a full-time data science and machine learning role.
Skill up in machine learning topics, including the use of modern techniques in deep learning and natural language processing.
Do a mix of exploratory research, proof of concept / MVP projects, and production-level algorithms.
You have:
(Must) Tackled semi-defined, real-world problems by developing hypotheses, iteratively exploring datasets, and crafting machine learning solutions.
(Must) A non-trivial amount of experience using Python-based analysis tools, such as NumPy, Pandas, and scikit-learn.
(Should) Worked on projects requiring the corralling of large datasets.
(Should) Presented your findings through visualizations, writing, and/or speaking.
(Nice) A quantitative background in Statistics, Computer Science, Math, etc.
(Nice) Used deep learning Python libraries such as TensorFlow and PyTorch.
You would like these perks:
Work from anywhere in the US! Rho AI is a tight-knit, fully distributed team.
Work with a highly engaged team, learn together, and make decisions that impact the whole company.
Benefits, including health insurance and 401k.
You meet these criteria:
You are seeking a full-time job.
You reside in the United States.
You are authorized / eligible to work for any company in the United States.
You are within 3 time zones of Eastern Time, or willing to align your schedule.
To get an interview, please supply:
A cover letter that explains why you are: 1) specifically interested in Rho AI as a company and 2) good fit for this particular position
A resume that includes: 1) your relevant professional experience, and 2) links to code samples, technical blog posts, and other examples of your work."
8|Junior Data Scientist|"DESCRIPTION
New Challenge: New Team, New Office! Protect Our Environment With Your Algorithms

Have you ever thought about pipelines and integrity? Why should pipelines need machine learning?

The answer is simple: Pipeline inspections generate a lot of sensor data (e.g. from ultrasonic sensors) which have to be analyzed using state of the art computer vision techniques. Think of it like doing healthcare just for pipelines.

Interested? Then learn more about industrial machine learning applications and data analysis for pipeline data in a start-up environment. Be part of a new team. Shape the team and your future. Enjoy working in a multi-cultural and multi-national team.

We love Python, C++, Tensorflow, Docker, Kubernetes and want to stay as close as possible to the state of the art tools, research in machine learning, data science and big data. Our ideal team member has a creative mind and natural curiosity when faced with challenging data science tasks. We cherish self-improvement and continuous learning and we offer the possibility to create new data-driven visions for the future using your own methods.

We are looking for a new team of
Data Engineers
Data Scientist (AI, machine learning)
Software Developer
IT System Administrator (DevOps)

You will be working in an extremely creative environment with a lot of freedom, focused on a joint target with great opportunities to grow internationally.

ROSEN is going to extend its Data Analytics Footprint in Columbus, Ohio and you can be part of this groundbreaking journey for our company.



Responsibilities:
Designing and applying (machine learning) algorithms for extraction of information from data of any kind
Designing and improving numeric methods (algorithms)
Definition of algorithm test procedures
Development of algorithms as minimum viable products focusing on early customer feedback
Providing support for integration of algorithms in MVPs (Minimum Viable Products).
Providing support for productive implementations of algorithms and MVPs
Deriving technical parameters and specifications from measured data
Creation and maintenance of related technical documentation
Researching, rating and implementing development tools
Using open source software concerning signal processing, computer vision and data science
Gathering, cleaning, processing and analyzing of big, heterogeneous data sources
Participation in identification and usage of technology trends in the areas of high performance computing, NoSQL databases and Big Data
Visit of national and international conferences on a regular basis


REQUIREMENTS
Skills, Entry Level:
Good knowledge in at least one of the following subjects: numeric, signal & image processing, machine learning, software development
Application of methods without further insight
Product knowledge in corresponding technology
Good knowledge of physics
Experience with data cleaning and data analysis
Solid knowledge of applied mathematics (linear algebra, optimization, probability theory)
Some experience with data science and computer vision
Experience with at least one object oriented programming language (e.g. Python, C, C++ or Java)



Education:
Successfully completed a degree in physics, electrical engineering, computer science or similar fields (PhDs welcome)
1-2 years experience in algorithmic development
OUR OFFER
About Rosen-Group:

The ROSEN Group in Coumbus, USA acts as a partner in technology development for 20 global subsidiaries. The location supports the entire Group, developing, building and delivering innovative solutions based on client requests."
9|Research Data Scientist|"The Research Data Scientist will join a multi-disciplinary collaborative team of investigators at the UCSF School of Medicine (SOM) working to improve children’s growth in low and middle income countries. This Research Data Scientist will have primary responsibility for database management and data analysis for the randomized controlled trial Preventing Infant Malnutrition through Early Supplementation (PRIMES), which aims to reduce the prevalence of stunting and wasting during early infancy worldwide. Responsibilities of this position are expected to include data collection and retrieval, data management and processing, study monitoring (i.e. reviewing incoming collected data and assessing for completeness and accuracy), data analysis, data visualization and contribution to scientific manuscripts and dissemination.

The position is suited for an analyst who is comfortable with self-directed work and can work with a wide diversity of roles.

DEPARTMENT OF PEDIATRICS
The UCSF Department of Pediatrics is rich in clinical research programs that inform the care of patients with both common and rare disorders. Our physicians deliver expert care to patients at UCSF Benioff Children’s Hospital San Francisco, ranked among the nation's best children's hospitals by U.S.News & World Report.

UCSF pediatric faculty also care for patients at UCSF Benioff Children's Hospital Oakland, UCSF Medical Center at Mount Zion, Zuckerberg San Francisco General Hospital (ZSFG) and at a number of outreach clinics throughout Northern California. Children and their families come from around the state, nation and the world to receive the benefit of our expertise. The clinical care we provide is nourished by pioneering basic and clinical research conducted by physician-scientists. Our large, multi-site pediatric residency program combines a diverse and often underserved patient population with the extraordinary clinical, educational and research resources of UCSF.

ABOUT UCSF
The University of California, San Francisco (UCSF) is a leading university dedicated to promoting health worldwide through advanced biomedical research, graduate-level education in the life sciences and health professions, and excellence in patient care. It is the only campus in the 10-campus UC system dedicated exclusively to the health sciences."
