|Title|Description
0|Database Administrator (DBA) (Contract)|"Duration : 1+ month

Requirements :
10 + years combined of DB2/Hana experience.
Comfortable working in fast paced environment to tight deadlines with little supervision.
Comfortable in working in both team and individually as well.
Strong written communications and documentation experience.
Ability to communicate and distill information to technical, non-technical and senior management.

Perferred:
Experience in tuning problematic queries
Experience in debugging issues related to storage, network and OS configuration related to database environment
Experience with other database technologies including Oracle, MYSQL, Sql Server, Hana, Hadoop, Live Cache, Progress

The Capgemini Freelancer Gateway is enabled by a cutting-edge software platform that leads the contingent labor world for technology innovation. The software platform leverages Machine Learning and Artificial Intelligence to make sure the right people end up in the right job
A global leader in consulting, technology services and digital transformation, Capgemini is at the forefront of innovation to address the entire breadth of clients’ opportunities in the evolving world of cloud, digital and platforms. Building on its strong 50 year heritage and deep industry-specific expertise, Capgemini enables organizations to realize their business ambitions through an array of services from strategy to operations. Capgemini is driven by the conviction that the business value of technology comes from and through people. It is a multicultural company of over 200,000 team members in more than 40 countries. The Group reported 2018 global revenues of EUR 13.2 billion."
1|DataBase Administrator(DBA)|"JOB TITLE:DataBase Administrator(DBA)

iPlanner, Inc. has multiple openings for Database Administrators (Job Code DBA) to work in Dallas, TX and various unanticipated locations throughout the U.S.Duties include: install, configure, upgrade, administer & maintain databases that support vital business functions. Travel and/or relocation required.

Any applicant who is interested in this position may apply to the following individual for consideration: CONTACT: Satheesh Kumar iPlanner, Inc. Attn: HR 13155 Noel Road, Suite 900 Dallas, TX 75240"
2|Database Administrator (Contract)|"High Tech Locksmiths services most of the United States as the largest mobile automotive locksmith service of its kind in the world. We are the leader in transponder, remoter, high security, remotehead, smart key and proximity key services nation-wide.
We are adding a Database Administrator who will manage the performance, integrity, and security of the technology team’s application databases. DBA’s for HTL should expect to be involved in the planning and development of the database, as well as in troubleshooting any issues on behalf of the users.
This is an open-ended contract position.
You will need to:
Monitor user access and security and develop processes for optimizing database security accordingly.
Control access permissions and privileges.
Monitor performance and manage parameters in order to provide fast responses to applications and users.
Map out the conceptual design for all databases (current and planned).
Write database documentation; including data standards, procedures, and definitions.
Create and manage ad-hoc reports, visualizations, and dashboards.
Identify, analyze, and interpret trends or patterns in complex data sets.
Develop, manage, and test back-up and recovery plans.
Work closely with IT project managers, senior leadership, and application developers.
Locate and define new process improvement opportunities.
Create automation for repeating database tasks.
Communicate regularly with technical, applications and operational staff to ensure database integrity and security.
Be available for on-call support as needed.
Qualifications/Skills:
Strong command of MySQL and MySQL server tools
Advanced knowledge of NoSQL Databases (ie. Redis, MongoDB, etc)
Knowledge of database security, backup and recovery, and performance monitoring standards
Understanding of relational and dimensional data modeling
Experience with ETL and ERP systems
PowerShell and Unix shell scripting skills
Strong mathematical and statistical knowledge
Ability to work with a team in an Agile environment
Excellent written and verbal communication skills
Impeccable attention to detail
Education/Experience:
Bachelor’s degree in computer science or a related field preferred
3+ years working as a database architect, database developer, database engineer or in a related role.
Experience with Linux and Windows Server environments
Extensive experience with database technologies (MySQL, MS SQL, PostgreSQL Oracle, MongoDB)
Experience with cloud services (AWS, Microsoft Azure) a plus
#CB
Benefits : Be healthy, be prepared, save for tomorrow. Take a closer look at our benefits here ."
3|Database Administrator|"The Opportunity
The primary responsibility of the Database Administrator is to participate in and support daily activities as a member of the production database administration team. The Database Administrator, at the direction of the Vice President Information Technology, will work with the database administration team to research, diagnose, solve and prevent future issues in the production database environment.
The Job Duties
Participates in the development and implementation of an enterprise data integration strategy
Participates in application turnover and perform changes to Production Databases
Installs, configures, tunes, and maintains production, test and development databases
Installs application database definitions, tables, and security
Participates in application outage incidents to ensure database integrity and functionality
Participates in the creation and maintenance of back-up plans, triggers, stored procedures, and control scripts
Provides proactive input into design issues/constraints, performance tuning, and impact analysis of changes
Supports and enforces database development, architecture and naming standards
Participates in design reviews and code inspections
Act as a leader within the company
All other duties assigned
The Must Haves:
Bachelor's Degree in Computer Science or related field
0-2 years database experience
Experience deemed relevant to the organizational support of the Database Administration Team
Experience with Microsoft SQL Server
Microsoft TSQL programming experience a plus
Experience utilizing data modeling tools, a plus
Emerging business and system analysis skills
Highly productive in a fast paced environment
Collaborative/enjoys working in teams as well as an individual
Self-starter/motivator
Shows the potential to develop excellent problem solving skills
Ability to multitask
Detail oriented
Shows the ability to develop strong organizational skills
Has demonstrated strong analytical skills
Why Join the Family?
$250 sign on bonus
Benefits (Medical, Dental, Vision)
Employer paid short-term disability insurance
401K plan with employer match
PTO (Vacation, Sick, Personal and Holiday)
Free parking
Free wellness program
Casual dress code"
4|Oracle Database Administrator|"Octo Consulting Group is seeking an Oracle Database Administrator to join our growing team in support of a federal healthcare enterprise environment, including medical research and administration. This contract provides a full range of infrastructure support to a federal agency including server architecture design & maintenance, application hosting and administration, providing fixes & upgrade patches, and ensuring cyber security compliance protections. The team is responsible for database administration services across a variety of DB technologies including Oracle, MySQL, MS SQL Server, PostgreSQL, MariaDB, AWS RDS (SQL Server, MySQL, PostgreSQL, Oracle instances), and Sybase. Across those technologies, the team is responsible for:
Database server administration and support
Incident management and service request responses
Database monitoring and audit trail research
Disaster recovery and continuity of operations support
Database technology transition including sunset of older database technologies
Database Upgrades and data migration
Off-hours support as needed
Responsibilities:
Manage and maintain databases including:
o Monitor databases and server activities
o Database backup and recovery
o Assist data migration efforts
Strong written and oral communication skills
Can work across development and operational environments
Ability to multitask and manage customer priorities
A minimum of 5 years’ experience with Oracle v11g-18c and any of the following technologies:
PostgreSQL
MariaDB
Microsoft SQL Server
Graph Databases (Neo4j, Stardog, Virtuoso)
AWS RDS, Redshift
Desired Skills:
Proficient in command line functions for all the above databases
RMAN Backup and Recovery (from disk or tape)
Database Export/Import
Adept with database refreshes from various tiers (DEV, PROD, STAGE, QA)
Excellent communication skills (written and oral)
Hands on experience with:
o Database Migration (from on-premises to AWS Cloud)
o Database Upgrades
o Database Patching and vulnerability remediation
Familiarity with ServiceNow a plus
Familiarity with SolarWinds a plus
Education:
Undergraduate Degree or equivalent is preferred
Clearance:
Ability to obtain an OMB Public Trust clearance"
5|IMS Sr. Database Administrator Remote/Virtual|"Job Posting End Date: 01/27
Our Fortune 500 company is driving a digital transformation and looking for forward-thinking innovators to disrupt how our industry thinks about and uses technology. As one of the world's leading employee benefits providers, we help millions of people gain affordable access to benefits that help them protect their families, their finances and their futures.
Are you an asker of questions, a solver of problems, and a challenger of the status quo? Our mission is to provide a differentiated customer experience and exceed the expectations people have of technology at any company — not just insurers.
We are seeking individuals to join our team of talented IT professionals who share never-ending passion and an unwavering focus on our customer experience. Team members comfortable working in an agile, fast-paced, and delivery-focused environment thrive in our environment where we value an entrepreneurial spirit and those who challenge the status-quo.
Unum is changing, and we’re excited about what’s next. Join us.
General Summary:
Individuals in the Senior Database Administrator role operate and maintain database environments. Duties include 24x7 support, change implementation and problem diagnosis. They are responsible for ensuring team members meet delivery timeline. Mentors others and acts as subject matter expert for databases. They represent expert level of knowledge and expertise related to database technologies within Unum Group.

The Senior Database Administrator is responsible for the management of various databases supporting applications. This position requires both technical level experience and the ability to interact with all levels of users. It will also require user support as needed. Individuals need to have architectural ability (various IT facets) and be a thought leader; able to lead projects.

The Senior Database Administrator performs installation, physical design, analysis, monitoring, administration, tuning, and upgrades for large-scale and complex environments and has demonstrated highly proficient foundation with the following aspects:
database performance monitoring
database security & monitoring
database backup & recovery capabilities
database replication capabilities
database high availability capabilities
Principal Duties and Responsibilities
Provides leadership, oversight, governance and strategic direction related to the infrastructure software services that are required to enable the delivery of IT services.
Provides technical leadership, oversight, standardization and validation of the effectiveness of the infrastructure systems.
Conducts research and reviews the design and implementation of infrastructure components to validate that they are standards based, high performing, highly available and secure in delivering the required business functionality.
Educates internal and external users of the technologies to continually improve the knowledge and skill-base of the organization to best operate and support the infrastructure services.
Provides financial stewardship by ensuring that operational and application development activities are implemented within financial guidelines prescribed through the services cost and recovery financial model.
Introduces solutions that grow the bottom line and/or increase time to market.
Provides documents with a focus on how infrastructure services will be leveraged in the solution architecture.
Participates in the evaluation and selection of infrastructure services products.
Works closely with enterprise architects to support alignment of plans with deliverables.
Supports governance based on best practices and ensures alignment to projects and major initiatives.
Leads analysis of the current environment to detect critical deficiencies and recommends solutions for improvement.
Leads analysis of technology industry and market trends to determine their potential impact on the infrastructure architecture.
Supports solution and domain architecture by providing current environment status in terms of technology, software and infrastructure for projects in the delivery life cycle.
Utilizes capability modeling to align systems strategy and planning with business strategy and goals.
Promotes the benefits of infrastructure services to the organization educate the team on infrastructure concepts.
Consults with project teams to identify when to modify infrastructure services to accommodate project needs.
Consults with architecture teams to identify when to modify the technical architecture to accommodate infrastructure needs.
Oversees the documentation of all architecture design and analysis work.

Job Specifications
Bachelors degree in computer science, or equivalent relevant business experience
Has 6+ years of related work experience
Industry certification is a plus
Excellent ability to leverage scripting and other tools to automate routine tasks
Through product research and personal experience, able to articulate strategy for appropriating various software and technologies to meet long range computing requirements
Has experience with serverless cloud-based databases such as Azure SQL or AWS Aurora
Has experience in cloud scripting skills
Has a general awareness of cloud setup and options for using various database services (SQL or NoSQL)
Has experience migrating on premise databases to the cloud
Has good human relations skills; able to work productively in team setting
Excellent ability to drive resolution of highly complex technical problems
Excellent ability to effectively summarize and clearly communicate software/hardware problems involving multiple support team(s)
Organized, able to follow through and complete projects with minimal supervision
Systematic, technically curious, self-motivated and able to work independently without direct supervision
Must be comfortable in a fast paced, multiple priority environment
Excellent ability to prioritize and divide time between multiple projects
Demonstrates excellent written and verbal communications skills; able to communicate effectively with systems associates at all levels
Excellent ability to communicate with multiple levels of organizational leadership and deliver impactful presentations
Able to collaborate with and influence others in IT for requirements on the topic of expertise
DB2 for z/OS
DB2 Catalog knowledge [Basic catalog table familiarity, ability to perform querying of dependencies, understanding of DB2 security administration including Grants, Revokes, and a basic knowledge of required authorities for application development including Bind, Plans, Packages, Stored Procedures, and Database level authorities permitting utilities, tablespace and table creation]
Familiarity with DB2 Utility JCL, execution, restart, an understanding of utility impact on DB2 object availability, and Database backup and recovery techniques.
Understanding of DB2 Data Definition Language [DDL] constructs is required and experience with DB2 Administration tool or similar tool is a plus.
Knowledge of SQL and basic DB2 development techniques used in application coding. Ability to understand COBOL and SQL/PL for analysis and partnering with application area personnel.
IMS for z/OS
Knowledge of IMS Database Manager, DBD source and generation, understanding of Database Recovery Control [DBRC] information and commands, BMP and basic DL/I coding imbedded in COBOL source.
Familiarity with IMS Transaction Manager, including basic control region and message region processing, PSB coding and generation, and ACB, MODBLKS, and FORMAT generation. FORMAT coding is a plus, but not required. A basic knowledge of Control Region commands for monitoring Sub-systems, Regions, Databases, and Transaction Queues is required.
Familiarity with IMS Utility JCL, execution, restart, commands for Database allocation changes, and IMS Database backup and recovery techniques.
z/OS, TSO, ISPF, JCL, and SDSF
Coding and debugging z/OS mainframe batch jobs, the applicant’s work and for application development team members needing assistance is required. JCL knowledge is a must as is basic ISPF menu and TSO development experience.
Familiarity with RACF, rules protecting datasets, and how RACF interacts with both IMS and DB2 instances is a plus.
Knowledge of source code editor commands, library maintenance, ISPF menus, listing of cataloged dataset information, TSO job scheduling, and the ability to read JES output from jobs to diagnose issues is required. Experience with System Display and Search Facility [SDSF] or other z/OS JES output control facility is a plus.
#LI-JG
~IN-1
Our company is built on helping individuals and families, and this starts with our employees. We want employees to maintain a positive balance, which is why we provide access to the benefits and resources they need to invest in themselves. From our onsite fitness facilities and generous paid time off to employee professional development programs, we are committed to helping employees live and work their best – both inside and outside the office.

Unum is an equal opportunity employer, considering all qualified applicants and employees for hiring, placement, and advancement, without regard to a person's race, color, religion, national origin, age, genetic information, military status, gender, sexual orientation, gender identity or expression, disability, or protected veteran status.
Company:
Unum"
6|DATABASE ADMINISTRATOR|"Our global house-of-brands inspires and empowers youth culture. Relentlessly committed to fuel a shared passion for self-expression, we create unrivaled experiences at the heart of the sport and sneaker communities through the power of our people. If you want to be a part of something bigger than you can imagine, you’ve come to the right place. To learn more about the incredible impact we’re making on both our local and global communities, Click Here!

You are a passionate database administrator - You understand that effective solution development requires going above and beyond. You take pride in making a lasting impression. Your current position has limitations and you seek a bigger job with a bigger impact. Your job search has many options, but you want to distinguish the jobs from the true career opportunities… which one is truly going to allow you to excel?

This database administrator will participate in our cross-platform performance tuning initiative. This database administrator will understand applications from the customer to the data-at-rest and partner across teams to improve speed and reliability. Creative and constructive ideas will become code and testing, in a variety of database platforms. This database administrator will also focus on database monitoring, automation and cloud optimization as well as some standard tasks, such as install, configure, patch, upgrade, backup and restore.

The successful candidate will seek out interesting problems. The successful candidate will also be responsible for the efficient application of currently relevant and appropriate emerging technology in the development of quality products within the constraints of time and budget.

Ideally, this individual will reside in our Milwaukee, WI, Bradenton, FL, or Camp Hill, PA office location.
RESPONSIBILITIES
Experience working on cross functional teams, multitasking and managing time independently with little direction.
Strong organizational and time management skills
Develop processes and automation to manage the databases.
Provide off-hour assistance and support during critical outage situations.
Participate in a 24 x 7 on call rotation

QUALIFICATIONS
Requires a degree in a technology related field with 3+ years of professional experience providing database administration
Passion for finding root causes and eliminating them with code improvements or automation
Passion and energy for customer service
Strong database administration experience (3 + Years) either Oracle RDBMS (preferred), Microsoft SQL Server or MySQL administration experience.
Strong diagnostic and problem-solving skills with particular focus on tuning and monitoring is a plus
Experience with managing database systems in the Azure Cloud is a plus
Experience with NOSQL databases like Cassandra or CouchBase is a plus
ITIL, Agile, and Scrum certification or experience is a plus"
7|Database Administrator III|"The IT Database Administrator performs a variety of technical and non-technical functions. This position has direct contact with a variety of company employees. Normally receives minimal instruction on day-to-day work, general instructions on new assignments. The Database Administrator III is responsible for the design, maintenance and implementation of the enterprise database systems (primarily MS SQL Server).
RESPONSIBILITIES
Responsible for the administration of enterprise application databases; to support new features, performance improvements, data integrity and security, upgrades, and ongoing maintenance. Participate in all aspects of the application lifecycle and in activities that ensure the successful use of these systems including: developing documentation, test scripts, and training materials.
Capture and analyze database activity to identify improvements in indexing, file structure, maintenance processes, and query performance. Identify areas of instability and deviations from best practices with database components. Remediation of issues identified.
Designs and implements changes to data models for new and existing applications. Ensure the design and execution meets business objectives.
Restore service to databases as outages occur, including after hours and on weekends. Proven knowledge of disaster recovery applicable to database administration.
Participate in security architecture reviews of large enterprise systems in collaboration with Information Security Officer.
Provide Tier 3 support for escalated service desk tickets following established protocols and mentoring of Database Administrators I/II.
QUALIFICATIONS
Bachelors/Masters degree in computer science/information technology or relevant work experience.
• Must have 10+ years of direct relevant experience in Database Administration, preferably in the Financial Services Industry. • Experience designing, deploying, and maintaining SQL Server infrastructures.
Proficiency with managing and administering SQL Server installations and databases including: developing maintenance plans, configuring server resources, monitoring performance, configuring instances and databases, and administering security.
Expert level skills designing and implementing redundant and scalable SQL Server infrastructures using technologies including failover clusters, database mirroring, log shipping, replication, Always On Availability Groups, etc.
Proficiency with SQL Server Integration Services, SQL Server Reporting Services, SQL Profiler, and SQL Server Management Studio.
Proficiency in database tuning and query optimization
. • Experience designing, implementing, supporting, and analyzing enterprise scale applications that perform extract/transform/load (ETL) operations with external data sources and SQL Server.
Equal Opportunity Employer/Protected Veterans/Individuals with Disabilities
The contractor will not discharge or in any other manner discriminate against employees or applicants because they have inquired about, discussed, or disclosed their own pay or the pay of another employee or applicant. However, employees who have access to the compensation information of other employees or applicants as a part of their essential job functions cannot disclose the pay of other employees or applicants to individuals who do not otherwise have access to compensation information, unless the disclosure is (a) in response to a formal complaint or charge, (b) in furtherance of an investigation, proceeding, hearing, or action, including an investigation conducted by the employer, or (c) consistent with the contractor’s legal duty to furnish information. 41 CFR 60-1.35(c)"
8|Oracle Database Administrator|"“Our dynamic team is looking for an enthusiastic professional; someone who is intrigued by the opportunity to work on a talented team in our growing Information technology organization leveraging both public and private Cloud platforms. FICO is expanding into new core offerings. We are building a team who possess strong Oracle Database and NoSQL skills and who will partner with the development teams to architect, design, automate database systems and deployments and embrace new technologies."" -Database Engineering-Sr Manager, Global Technology Services Dept
Job Description
Our team is looking for an enthusiastic professional; someone who is intrigued by the opportunity to work in our growing Information technology organization. FICO is expanding into new core offerings and we are building a team of people with strong Oracle Database Engineering skills who will partner with the development teams to define and design database systems and embrace new technologies. Additionally, we work with several other database and NoSQL technologies and your experience in those areas are a great asset for the Database Engineering team.
What You’ll Contribute
Architect, Engineer, Design and support Oracle and other database infrastructure and systems that include Oracle, Couch base, MySQL and MongoDB.
Plan, implement and manage physical databases of mission critical OLTP and provide capacity planning to determine future storage needs.
Implement, document and test critical HA/DR Oracle solutions including Active-Active environments across data centers.
Develop processes and procedures to enhance the stability and performance of database environment and our level of support to our client teams .
P rioritize and execute tasks in a fast-paced environment, showing a sense of ownership and commitment to achieving results.
Ensure that backup, restore and recovery procedures are implemented and followed.
Monitor and address Linux OS parameters related to database configurations.
What We’re Seeking
BS or MIS in Computer Science or related field.
Proven experience in Oracle database administration, automation, infrastructure and architecture design, application integration techniques, and relational database design.
with Oracle RAC, Golden Gate, Data guard configurations and Oracle High Availability best practices.
Conversant with PCI compliance, TDE knowledge and security best practices.
Experience with SQL, MySQL, Couchbase, MongoDB or other NoSQL technologies.
Scripting experience with (Bash, Perl or related).
Must have Linux (Unix) experience.
Our Offer to You
A culture and work environment strongly reflecting our core values: Act Like an Owner, Delight Our Customers and Earn the Respect of Others.
The opportunity to make a difference by leveraging your unique strengths.
Highly competitive compensation and rewards.
Flexible work options, opportunities to give back to your community, social events with colleagues and a comprehensive benefits program inclusive of progressive parental leave."
9|Database Administrator (DBA) I or II|"Full time

EECU is seeking a skilled, experienced Database Administrator to join our growing organization. The Database Administrator (DBA) will be responsible for the implementation, configuration, maintenance, and performance of SQL server systems, to ensure the availability and consistent performance of our corporate and in house developed applications. This is a “hands-on” position requiring solid technical skills, as well as excellent interpersonal and communication skills.

The successful candidate will be responsible for the SQL high availability environment, ensuring its operational readiness (security, health and performance), executing data loads, and supporting IT as well as external development sources. Must be capable of working independently and collaboratively.

Skills and Qualifications:
- 5+ Years MS SQL Server Administration
- Experience with Performance Tuning, Optimization and Troubleshooting Tools
- Experience with backups, restores and recovery models
- Knowledge of High Availability (HA) and Disaster Recovery (DR) options for SQL server
- Excellent Written and Verbal Communication Skills
- Flexible, team player, “get it done” personality
- Ability to multi-task and context-switch effectively between different activities and teams
Experience the difference with Educational Employees Credit Union, the largest credit union in the Central Valley. EECU promotes a positive work environment while providing outstanding member service. EECU offers a competitive benefits package, including employer contribution of 6% to 401k."
