|Title|Description
0|UI/UX Designer - Entry Level|"What is Pathrise?
Pathrise (YC W18) is an online program for tech professionals that provides 1-on-1 mentorship, training and advice to help you land your next job. On top of that, we're built around aligned incentives. You only pay if you succeed in getting hired and start work at a high-paying job first.

Everyday we are expanding our team and our services. We are looking for sharp, scrappy and fun individuals who are ready to jump in (head first) into a new role with us. We are a small team and we love working together to improve our fellows chances of getting the job of their dreams! If this sounds like something you'd be interested in we want to talk to you.

Our Mission
We seek to uplift job seekers in their careers and help them fulfill their hopes, ambitions and livelihoods. Read more about why we’re driven to do this in our manifesto.

Working for Pathrise is a great opportunity to work with our tight knit engineering, product, and design teams to improve the future of career services by helping to build the education platform and curriculum that supports our fellows. A large portion of this role will also be handling admissions, mentoring, instruction and other curriculum processes in a “teaching assistant” type position. It will be a combination of functional work and supporting the instruction staff. Depending on each candidate’s qualifications, this position could also be approached as a contract or contract-to-hire role as well.
What you'll do
Design a centralized LMS/accountability web-based platform to optimize all of the custom workflows we have with Pathrise fellows
Ideating, scoping, and prioritizing new product features that are high value
Working closely with growth to build optimal marketing and branding materials
Review industry evaluations and handle admissions conversations with potential fellows
Contribute to curriculum and teaching sessions and workshops
Handle fellow queries for job search support and interview practice
Requirements
Passionate about education and career development
0-2 years experience developing in HTML/CSS and Javascript
0-2 years of experience in industry as a Product Designer or in a related field
Experience with user research
A strong portfolio that showcases strong design sense and frontend engineering
Entrepreneurship or small startup experience
Perks include
Strong mentoring company culture
Team lunch in the office
Access to Pathrise’s world class career accelerator curriculum
Commuter Reimbursement
We do not discriminate on the basis of race, religion, sex, gender identity, sexual orientation, age, disability, national origin, veteran status or any other basis covered by law. If you need assistance or an accommodation due to a disability, please let us know.

If you are also interested in the fellowship, please apply here: https://www.pathrise.com/apply."
1|UX/UI Designer|"NRG is the leading integrated power company in the U.S., built on the strength of our diverse competitive electric generation portfolio and leading retail electricity platform. A Fortune 500 company, NRG creates value through best-in-class operations, reliable and efficient electric generation, and a retail platform serving residential and commercial businesses. Working with electricity customers large and small, we implement sustainable solutions for producing and managing energy, developing smarter energy choices and delivering exceptional service as our retail electricity providers serve almost three million residential and commercial customers throughout the country.
More information is available at www.nrg.com. Connect with NRG Energy on Facebook and follow us on Twitter @nrgenergy.

Job Summary:
The UX/UI Designer is responsible for translating business needs to functional digital design to be delivered to IT for development. The UX/UI Designer will provide support for various digital projects within an agile team structure. The candidate will possess strong creative, technical and problem-solving skills. Areas of focus may include content, controls, visual design, information architecture, user research and branding.

Essential Duties / Responsibilities:

Gather and evaluate user requirements in collaboration with product owners
Identify and troubleshoot UX problems
Conduct user research
Prepare and present rough drafts to internal teams and key stakeholders
Illustrate design ideas using storyboards, process flows and sitemaps
Develop UI mockups and prototypes that clearly illustrate how sites function and look like
Make adjustments based on user and product owner feedback
Design graphic user interface elements
Identify and troubleshoot UX problems
Create original graphic designs (e.g. images, sketches and tables)
Adhere to style standards on fonts, colors and images
Remain current on the latest technology, interactive tools, industry trends, content management, usability and design methodologies
Understand business goals/products/objectives and translate those messages to the customer clearly and effectively
Collaborate with copywriters and marketing team to develop and execute creative strategies
Participate in strategic, creative brainstorming sessions that produce fresh ideas
Assumes responsibility for ensuring that the design on projects fulfills the creative vision devised by project stakeholders

Minimum Requirements:
3-4 years of proven work experience as a UX/UI Designer
High school diploma or GED
Preferred Qualifications:

Bachelor’s degree preferred.
5-10 years of proven work experience as a UX/UI Designer
Portfolio of design projects
Knowledge of wireframe tools (e.g. InVision)
Proficiency in design software like Adobe Illustrator, Photoshop and Sketch

Additional Knowledge, Skills, and Abilities:

Strong interest in addressing and advocating for the end-user experience
Broad understanding of how strategy translates into concept, brand and the importance of consistency in design
Strong verbal communication and presentation skills
Strong project management and collaborative skills
Good time management skills
Desire to make a difference for the environment
Excellent relationship-building and interpersonal skills; collaborate across departments and organizations

Working Conditions:
Majority of work performed on a personal computer in a seated position.

Physical Requirements:
Ability to work on a computer and use a telephone is required

#SF-IND
#LI-NF

NRG Energy is committed to a drug and alcohol free workplace. To the extent permitted by law and any applicable collective bargaining agreement, employees are subject to periodic random drug testing, and post-accident and reasonable suspicion drug and alcohol testing. EOE AA M/F/Protected Veteran Status/Disability
EEO is the Law Poster (The poster can be found at http://www.eeoc.gov/employers/upload/poster_screen_reader_optimized.pdf)

Level, Title and/or Salary may be adjusted based on the applicant's experience or skills.
Official description on file with Human Resources"
2|UI Designer|"FULL-TIME · REMOTE OR KANSAS CITY
Silky soft-skills ❤️
You're Really Good: Your are obsessed with execution – your UX work is straight-forward and your UI implementation is
You're Organized: You'd rather work within a system than in the wilderness – maybe you've even contributed to a design system
You're Professional: You can take a roughly scoped project and, working with one or two back-end developers, can execute
You're Wise: You have experience incorporating feedback and data into your work – you even feel a little lost without those things
You're Adaptable: You can responsibly adjust course or cut scope if new information exposes road-blocks in your way
You're Empathetic: You fight for the user and have war stories to tell – let's hear some!
Cold hard-skills
We are looking for an expert visual UI designer + front-end developer. Your strengths in interaction design, copywriting, experimentation, and user research will also be weighed.
UI Design
Able to create production-ready visual design from scratch
Able to articulate reasons for design decisions
Can work effectively across web and mobile (with an understanding of basic platform conventions)
Experience working daily in applications like Sketch, Figma, Principle, and the like
Has created or contributed to a style guide for a complex website
✨Bonus: Experience making animations with After Effects, Lottie, etc.
✨Bonus: Has contributed color palettes, iconography, and/or typography to a design system

UI Development
Can discern when new or innovative elements are necessary or ideal and can design and style them effectively.
Experience working with version control (we use Git)
Can work happily outside of frameworks like React or Bootstrap
✨Bonus: Has contributed UI components and/or patterns to a design system.
✨Bonus: Has worked on a rails project before
✨Bonus: Experience writing presentational JS
Bonus: Experience with iOS and/or Android development WAT U R A UNICORN

Everyone is mission-critical. Half of us work remotely and the other half work from our office in Kansas City, so we keep in touch every day over google hangouts, slack, and a host of other apps. The whole crew comes KC for a week of face time 2 – 3 times per year."
3|UI Designer, Cryptowatch|"About Kraken

Our mission is to accelerate the adoption of cryptocurrency so that you and the rest of the world can achieve financial freedom and inclusion. Founded in 2011 and with over 4 million clients, Kraken is one of the world's largest, most successful bitcoin exchanges and we're growing faster than ever. Our range of successful products are playing an important role in the mainstream adoption of crypto assets. We attract people who constantly push themselves to think differently and chart exciting new paths in a rapidly growing industry. Kraken is a diverse group of dreamers and doers who see value in being radically transparent. Let's change the way the world thinks about money! Join the revolution!

About the Role

This is a fully remote role, we will consider applicants based in North America, South America and EMEA.

Kraken is expanding our Product Design team for Cryptowatch. The company is comprised of experienced and motivated veterans of the technology, design, and finance industries. We are building sophisticated crypto-trading products while having fun along the way. Come help us continue to define and lead this exciting industry.

We are looking for a creative and motivated self-starter with attention to detail and an eye for beautiful, clean user interfaces. A UI designer who can produce end-to-end intuitive interfaces that connect the design workflow with product goals. From from mapping user journeys into flow diagrams, creating wireframes to high fidelity mockups, and providing clear direction for development teams implementing designs into front-end code.

You consider the user experience first and support design decisions with best practices and data from usability tests or site metrics. You'll be a key member of the design team, collaborating closely with the very best engineers, designers, business leadership, partners and customers in the industry. You will take a leading role defining key Cryptowatch features while applying best practices throughout the product.

Amazing perks, remote teams, stock incentives, flexible hours and open PTO policy make Kraken a great place to work on Cryptowatch.
Responsibilities
Collaborate with designers, product managers, engineers and stakeholders to deliver end-to-end product experiences
Apply business objectives into concepts creating flows, wireframes, and mockups of intuitive user experiences
Distill and visualize complex data sets and attributes into summarizing views
Incorporate pattern-based solutions across web-based platforms, from wide-screen to mobile
Define, create, and improve the tools and processes that accelerate workflows for other designers and developers
Translate mockups into reusable components within a Figma design system
Prototype and iterate designs to connect and optimize user flows
Demonstrate proficiency communicating throughout the design process from formulating high-level strategy to executing pixel-perfect mockups
Requirements
At least 4 years of product design experience
Strong portfolio of latest relevant work
Solid understanding of user-centered design and UX principles
Expert-level creation of user interface across devices
Experience with component-based design tools such as Sketch or Figma
Creative idea generator with a problem solving mindset
Ability to receive constructive criticism to ultimately improve the end result
Willing to take initiative and ownership of tasks and deliverables
Understanding of Bitcoin and the cryptocurrency movement
Proficiency designing for finance, charting, trading, or data dense applications
Desire to make the best trading platform in the world
We’re powered by people from around the world with their own unique backgrounds and experiences. We value all Krakenites and their talents, contributions, and perspectives.

Check out all our open roles at https://jobs.lever.co/kraken. We’re excited to see what you’re made of.

Learn more about us:
Watch ""Working at Kraken""
Follow us on Twitter
Catch up on our blog
Follow us on LinkedIn"
4|UI Designer (Entry Level)|"Digital UI Designer (Entry Level) Fort Lauderdale, Florida, USA

Job Description

Synechron is looking for talented UI designers to design and shape unique, user-centric products and experiences for a major investment bank. The ideal candidate will have experience working in agile teams alongside developers, UX designers and copywriters. You will be able to make deliberate design decisions and to translate any given user-experience journey into a smooth and intuitive interaction.

Responsibilities
Create high fidelity UI designs using an established design system of components.
Be comfortable working within a prescribed, mature design system. Wherever possible, create, contribute, and manage components that will significantly improve this system.
Present and defend your design decisions. All your design decisions should be based on the overall design roadmap, the needs of client stakeholders, as well as your own design thinking and fundamental principles (i.e. color theory, visual weight, etc.)
Continually keep yourself and your design team updated with the latest changes in your industry’s standards.
Follow and execute accessibility standards in your designs
Requirements
Strong portfolio to be presented and defended during interview.
Hands-on experience creating high fidelity designs, clickable prototypes and delivering assets to tech teams
Experience using tools such as Sketch, InVision / InVision Studio. And nice to have Photoshop, Adobe XD, Flinto, and Figma.
Creative ideas with problem solving/design thinking mindset.
Experience working in an agile/scrum development process.
Be open to receiving objective, constructive criticism and improving upon it.
Work comfortably alongside client and internal stakeholders.
Experience working with both co-located and remote team members."
5|UI/UX Designer (Contract)|"Duration: 6 months + extensions
Location: San Jose
Job summary:
As part of the Global Design organization, the design team is seeking a strong designer for the SJC office. We are looking for someone who has rich design experience along with a passion for simplifying the complex. The ideal candidate will have some familiarity with the market space in which we compete.
The perfect candidate will:

Take ownership to lead design projects by collaborating with a broader team of designers, Product Managers, UI developers, back end engineers and other Engineering leaders globally
Define the direction of our flagship product’s design as a part of a multidisciplinary team
Work with UI development and backend engineering teams to ensure the effective execution of designs
Have a strong Design and UX portfolio in enterprise/ data visualization projects
Have an ability to challenge the status quo with attention to detail on UX and micro-interactions
Strong visual design skills.

Required skillset:

Able to work effectively in a fast-moving environment, juggle multiple projects, and prioritize work
Stay current on technology trends to inform and inspire modern design.
Have strong presentation and communication skills
Able to explain the rationale for design decisions within a larger context. Regularly communicates project status and shares design iterations
Understands the mission and goals of design and is able to communicate this to product teams

Minimum requirements:

4+ years of user experience design experience for web applications with bachelor’s degree in design/ graphic design/ fine art/ computer science or related CS/design field
Passion for design, telling customer stories, and simplifying the complex problems
Strong working knowledge of latest wireframing/ design and prototyping tools
Familiar with usability testing (in person and remote), user research, contextual inquiry, interviews, qualitative design analysis, and design thinking
Strong written and verbal communication skills with ability to communicate effectively and concisely
Experience working across multiple phases of design (interaction, visual design, and prototyping)
Preferred qualifications:

7-8 yrs of hands-on experience with advanced degrees (Masters, PhD, etc.)
Strong interest in data visualization and enterprise software
Have working knowledge of accessibility guidelines and best practices
HTML5, JavaScript, and CSS3 knowledge, current on latest responsive design techniques"
6|UX/UI Designer|"Swoop has provided hundreds of thousands passengers rides all over the U.S., becoming one of LA’s fastest growing startups. We’re tackling this head-on by centralizing the $40B group mobility industry so groups from any type of event (corporations, venues, experience destinations) can instantly book a trip from a local operator.
We're backed exclusively by Silicon Valley VCs and angels – and growing fast.

Swoop is looking for underdogs who enjoy a fast-paced, hard-working environment of builders to join our team in Los Angeles. We have the resources and the appetite to conquer the $40b group mobility space and are in need of versatile hustlers to help us. If you are ready to get your hands dirty and make a real impact, apply to join the rocketship.

Responsibilities
Own projects throughout the entire design cycle, from the UX/UI design to the actual development
Gather user needs/feedback through research methods such as observations, interviews, and usability testing, and translate these findings into design solutions and refinements
Create process flows, wireframes, and visual design mockups for our clients
Collaborate closely with the UX/UI team to refine and build our design system, share user research, and identify design solutions
Clearly communicate your design decisions to team members
Partner with engineers and product owners to provide value through designing the interactions, interface, and functionality of our products
Educate co-workers and stakeholders about the importance of design thinking and the importance of user research
Keep up-to-date on design trends and look to make process and UX improvements
Collect all business requirements from the client during kickoff, collaborating to define an MVP
Work with Business Development and Product Managers to define the design scope of a project
Be the main design liaison between the client and the design team
Requirements
Minimum 1 year working on UX/UI and developing flows and wireframes, solving complex experiences, and making them intuitive to the user
An impressive mobile portfolio showcasing market-leading user interface and visual design work
Fluency in best practices for app-based information architecture and design, as well as strong knowledge of usability principles and techniques
Strong understanding of iOS and Android design principles
Sketch, Zeplin, Sketch, Invision, Photoshop, Illustrator, etc. You know your tools without even having to think about them
Strong experience working from flows and wireframes through to a final product
Ability to lead a team and gain stakeholder confidence
Solid organizational and time management skills
Experience mentoring designers and leading the design on projects
Experience working in an Agile development environment a plus (We’re Kanban, but our Dev teams are Agile)
Rapid Prototyping experience a plus
Not afraid to do fast usability testing and can interpret the data intelligently and act rapidly on the information
Personality Traits
Creative: Tailoring the right solution for a variety of requests
Great Communicator: You are a clear, concise and compelling communicator. You have excellent written and oral communication and can change up your communication style depending on your audience.
Coachable: You know there's always room for improvement. You seek out constructive criticism and opportunities for growth
Excellent Attitude: Diligent and positive attitude, willing to go the extra mile risks while being a team player and you are resilient in the face of challenges
Self-starter: You're always looking for ways to do your job better and you never wait to be told what to do
Swoop Perks:
Help solve meaningful problems, many of which have never been considered before
Join and early start-up at the beginning of hypergrowth
WeWork Office in the heart of Silicon Beach
Flexible working culture
Competitive salary
Full benefits (medical, dental, vision)
Smart (and fun) co-workers
Free team lunch every weekday"
7|UX/UI Designer|"We’re looking for a UX/UI Designer to join our design team, and help create beautiful and intuitive interfaces and experiences across a diverse set of client projects. You’ll collaborate closely with our Senior Product Designer, product management team, and our client stakeholders to create elegant solutions to complex UI/UX problems. You’ll also partner with our team of design-oriented software engineers throughout the development phase to bring the new experiences to life.
Our clients include Fortune 500 companies and startups across a variety of industries including financial, healthcare, real estate, and airlines. GM’s product approach is user-focused and design forward. Our applications are well thought out products that are also technically sound, well documented, and performant.
Our culture is deeply collaborative. We host lunch-and-learns, have group discussions, and generally work very closely together.
What you’ll do
Create UX and UI designs across a variety of client and internal projects
Conduct interviews with client stakeholders & end-users to identify product goals, desired UI behaviors, and app workflows
Partner closely with our product management team to deliver a new app experiences aligned with our client’s needs
Create storyboards and lo-fidelity wireframes to visualize the user journey
Iterate rapidly to surface a variety of creative solutions to clients, and narrow in on the experience most suitable for end users
Create hi-fidelity visual designs, incorporating visual styles (fonts, colors, logos, etc.) that align with the client’s branding strategy
Produce clickable prototypes with tools like Sketch and InVision to communicate experiences and solicit feedback from clients
Present your work and communicate the product narrative during recurring ‘Show & Tells’
Work hand-in-hand with internal engineering team to bring designs to life, and conduct design reviews on delivered code
What we seek in a candidate
2-4 years of desktop app or web design experience; native mobile/mobile web also a plus
Knowledge of design systems and modern tools built for collaboration (e.g. InVision)
Balances creativity with modern best practices to solve complex UI challenges
Autonomous and resourceful working style - takes initiative to engage challenges, solve problems, and consistently find ways to deliver value without explicit direction
Genuine and empathetic approach to helping our clients solve their software challenges
Interest and basic knowledge of front-end development and technology
Prior consulting experience a plus


Recruitment Agencies: Giant Machines does not accept unsolicited agency resumes and will not be held responsible for any fees related to unsolicited resumes."
8|UX Designer|"Job Details
Position : UX Designer
Job description:: UX Designers, Developed Wireframes, Minimum 9+ Years Interact with onsite UX consultants to understand UX requirements Responsible to create detailed page interaction based on patterns established by UX consultants Responsible to create detailed visual designs based on visual standards established by UX consultants Support development team on day to day basis Test developed pages to ensure they meet UX standard"
9|UX/UI Designer|"Responsibilities
Interact extensively with clients and serve as the voice of the user while accommodating customer needs and technical requirements
Work closely with project managers, design, developers, and quality assurance
Bring user-centered design process methods to digital solutions from concept to launch
Clearly articulate and defend your design decisions in front of teams and clients
Independently deliver on projects
Skills
3+ years of relevant industry and/or consulting experience.
At least 2 years of experience creating highly-detailed annotated wireframes, user flows, and process flows within complex mobile applications
In-depth knowledge about user interface patterns for mobile, web, and responsive design
Proficiency with design and rapid-prototyping tools
Strong written and verbal communication skills
Bonus Points
Familiarity with developer/engineer tools, SDKs, and platform-specific terms
Experience with project estimation and providing strategic solutions for early stage project planning
Knowledge of the Scrum / Agile development process
Willingness to advocate the values of user experience to other disciplines
Strong time management skills and the ability to self-direct when needed
Ability to identify the best methods for user research and testing within client constraints
Desire to mentor and develop junior staff
Sense of humor and a good attitude
We’re stoked you’re interested in possibly becoming a part of the OGKrew, at this time, due to a high number of inquiries, we are only responding to those who best qualify for the position. Thank you!"
