|Title|Description
0|ERP Implementation Consultant (Entry Level OR Experienced)|"Job Overview:
We are looking to hire entry level or experienced “ERP Software Implementation Consultants” as full-time employees.
Seeking:
Supply Chain, Logistics, Operations, Systems Engineering, Finance or Accounting majors

We have an exciting career opportunity in our professional services team for ERP Implementation Consultants to make a substantial impact for the success of our customers and to make a rewarding career for themselves. As an ERP Implementation Consultant, you will be responsible for implementing, installing, and supporting our unique ERP software into our client’s business infrastructure. Our enterprise resource planning (ERP) software is specifically catered to dealer and rental industries of heavy equipment. You will work directly with the customer as part of our consultant team and act as the liaison for our ERP software and our client’s business infrastructure.
Training
You will be provided training on our ERP software system and implementation practices. You will receive both traditional classroom trainings, as well as in the field “shadow implementations” and in-house support.
Responsibilities:
Provide functional support to ensure that our e-Emphasys ERP software meets customer’s objectives by combining industry best practices, product knowledge and business acumen.
Liaise closely with customers for the business process reviews to build the as-is-business process model.
Configure, setup and implement e-Emphasys ERP as per customer requirements.
Train users on e-Emphasys ERP.
Work closely with Project Managers to ensure the on-time and in-budget delivery.
In summary, be a part of the talented ERP deployment team who helps customers to improve their business efficiency by deploying e-Emphasys ERP.
Required Skills/Qualifications:
Bachelor’s or Master’s degree in Supply Chain, Logistics, Operations Finance, or Accounting from an accredited college or university.
0-5 years experience in related field. ERP software exposure highly preferred.
Must be authorized to work in the United States without Visa sponsorship.
(After 6 months in the role) Ability to travel up to 70%
About e-Emphasys:
e-Emphasys is a fast growing, enterprise software company that produces the premier ERP platform for Equipment Dealerships and Rental Companies. Recognized by Grant Thornton and Business North Carolina Magazine as one of North Carolina’s Top 100 Private Companies, today we are nearly 400 employees and growing. Our customers include some of the best-managed equipment dealers in the construction, agriculture, mining, forestry and material handling industries and span across 20 countries. Above all, our people are our most valuable assets. We welcome you to join our team!
e-Emphasys is an Equal Opportunity Employer committed to fair career opportunities for all individuals. All applicants are considered without regard to race, religion, national origin, age, sex, marital status, disability status, veteran status, or sexual orientation."
1|BUSINESS ANALYST IT APPLICATIONS/ERP SPECIALIST|"Description:
Position Summary: The Business Analyst IT Applications will be the local link between Coroplast business in the Americas and the Global IT Applications Team. The incumbent will gather local IT applications issues and requirements and offers as well as realize solutions. .

Requirements:
Essential Duties and Responsibilities: To perform this job successfully, an individual must be able to perform the following satisfactorily; other duties may be assigned. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.

Understanding business needs and deriving applications solutions to make processes more efficient and simple whenever possible
Being expert in ERP to help the Global Sales Team in Coroplast to reach their goals and to use ERP in the best way
Respond to telephone calls, email and personal requests for support in a fast, friendly manner and have the ability to explain technical situations to non-technical individuals
Troubleshoot & support software applications and run appropriate testing & diagnostics
Identify, research, and resolve technical problems and escalate problems to other support teams when necessary
Work in a fast-paced environment, adapt to frequent change and be able to work a flexible schedule
Work with diverse groups and individuals to set goals, establish priorities, and solve complex problems
International travel may be required
Provide support to other Global Operations when required.
Performs other duties as assigned.
Competencies: To perform the job successfully, an individual should demonstrate the following.
Problem Solving - Develops alternative solutions. Gathers and analyzes information skillfully. Identifies problems in a timely manner. Resolves problems in early stages. Works well in group problem solving situations.
Technical Skills - Pursues training and development opportunities; Strives to continuously build knowledge and skills.
Customer Service - Displays courtesy and sensitivity. Manages difficult or emotional customer situations. Meets commitments. Responds promptly to customer needs. Solicits customer feedback to improve service.
Communication - Listens carefully; Asks appropriate questions to obtain clear understanding of details required for each assignment; Speaks clearly and persuasively in positive or negative situations; Participates in meetings; Responds well to questions; Writes clearly and informatively; Edits work for accuracy, including spelling and grammar; Presents numerical data effectively.
Organizational Support - Follows policies and procedures; Completes administrative tasks correctly and on time; Supports organization’s goals and values; Supports affirmative action and respects diversity.
Attendance/Dependability – Is consistently at work and on time; Ensures work responsibilities are covered when absent; Follows instructions, responds to management direction; Takes responsibility for own actions; Completes tasks on time or notifies appropriate person with an alternate plan.
Judgment - Displays willingness to make decisions; Exhibits sound and accurate judgment; Supports and explains reasoning for decisions; Includes appropriate people in decision-making process; Makes timely decisions.
Planning & Organization - Integrates changes smoothly. Plans for additional resources. Prioritizes and plans work activities. Sets goals and objectives. Uses time efficiently. Works in an organized manner.
Professionalism - Approaches others in a tactful manner; Reacts well under pressure; Follows through on commitments; Treats others with respect and consideration regardless of their status or position; Accepts responsibility for own actions.
Qualifications: To perform this job successfully, an individual must be able to perform each essential duty satisfactorily. The requirements listed below are representative of the knowledge, skill, and/or ability required. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.

Education/Experience:
BS/BA degree in Computer Science, MIS, Business Management or related field. Relevant IT work experience including developing and implementing application’s solutions. A minimum of 2 years of SAP experience is required.

Language Ability:
Ability to read, analyze, and interpret general business periodicals, professional journals, technical procedures, or governmental regulations. Ability to write reports, business correspondence, and procedure manuals. Ability to effectively present information and respond to questions from groups of managers, clients, customers, and the general public.

Mathematical Ability:
Ability to calculate figures and amounts such as discounts, interest, commissions, proportions, and percentages. Familiarity with use of formulas in Excel is essential.

Reasoning Ability:
Ability to solve practical problems and deal with a variety of concrete variables, in both standard and non-standardized situations. Ability to apply common sense understanding to carry out instructions furnished in written, oral, diagram, or schedule form.

Computer Skills:Experience:
Deep expertise in at least one SAP module
Supporting applications
Proficiency with Windows PCs and familiarity with common desktop software (Adobe Acrobat, Microsoft Office, etc.)
Experience in providing SAP support and training in SAP module(s)
Proven technical/mechanical aptitude
Certificates and Licenses: None
Supervisory Responsibilities: No supervisory responsibilities.
Work Environment: The work environment characteristics described here are representative of those an employee encounters while performing the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions. The noise level in the work environment is usually moderate.
Physical Demands: The physical demands described here are representative of those that must be met by an employee to successfully perform the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.
The employee must occasionally lift and/or move up to 50 pounds. While performing the duties of this job, the employee is frequently required to sit. The employee is occasionally required to stand; walk; use hands to finger, handle, or feel; reach with hands and arms and talk or hear."
2|ERP Business Systems Analyst 1|"SUMMARY: The ERP (Enterprise Resource Planning) Business Systems Analyst 1 is responsible for providing first level end-user support and performing a variety of functional administration and maintenance activities for the Financial product suite within Arvest?s ERP core application system. This position requires initiative to promptly identify user needs and provide immediate resolution or escalation to application issues. The Analyst supports the achievement of process improvement efforts, product goals, and business goals by analyzing problems and coming up with robust solutions to improve the quality of the services being delivered by the system. This includes defining and documenting needs, recommending proposed solutions, and assisting in the integration and testing of new solutions with the goal of improving efficiency, automation, and end user experience within the system. The incumbent requires the ability to provide analysis and consultative support, manage multiple tasks and priorities, respond quickly to emerging issues, and communicate effectively with both technical and non-technical users. This includes being able to write and verbally express findings in a professional presentation.

ESSENTIAL DUTIES AND RESPONSIBILITIES include the following. Other duties may be assigned.

Perform overall system administration and maintenance for financial software applications, such as maintaining the Chart of Accounts and Cost Center, or Approval Hierarchies along with other global system parameters.
Provide first level functional product support to end-users by analyzing and troubleshooting application issues to understand the root cause. Work with Information Technology or subject matter experts on escalated matters and issue status communications to all impacted users with adherence to incident management Service Level Agreements (SLAs). Serve as the first line of training for correct system processing. Collaborate with business units and ERP teams in conjunction with ERP Business Systems Analysts 2 and 3 as needed to better understand and document requirements of new system functionality, workflow processes, and/or potential fixes. Coordinate administration, daily maintenance, and system configuration changes as requested.
Conduct daily system interface reconciliation and exception handling. Analyze outages, determine root cause, and escalate unresolved issues with recommendations for resolution. This includes reviewing departmental business processes against day to day activities within the system and recommending improvements.
Perform user security administration ensuring that appropriate access is granted to system functions, reports, and data by following established control procedures. Follow up with end user to ensure successful provisioned access & run periodic security reports to proactively audit security and user roles.
Maintain and provide control documents for audit requests including security request forms, change logs, semi-annual certifications, reconciliations, Standard Operating Procedures, etc. Create or maintain functional system documentation for power users and related business processes.
Participate on project teams by completing assigned tasks as a developing subject matter expert. Provide support to the development of training materials, conduct and document testing as assigned, maintain issues log, participate in implementation activities, and provide post-implementation support.
Coordinate and conduct thorough system testing with business units on all fixes, updates, patches, and upgrades prior to installation. This includes creating and maintaining test scripts, helping oversee the test plan, logging/tracking test results, testing sign off, and assisting with change management documentation including user ommunications.
Maintain and analyze information housed in the ERP for data integrity. This includes ensuring accuracy of data entered in the system by running queries, analyzing data, investigating discrepancies, recommending solutions, and providing support to the resolutions process as directed.
May review incident and problem management reports to assist with establishing metrics and identification of action plans to improve key performance indicators (KPIs). This includes assisting with the documentation of metrics.
May review and maintain a variety of standard reports and/or queries that meet user needs, ensuring successful execution and accurate results. Review and monitor dashboard usage reports to achieve the continuing goal of providing accurate and useful data to appropriate audiences.
Understand and comply with bank policy, laws, regulations, and the bank's BSA/AML Program, as applicable to your job duties. This includes but is not limited to; complete compliance training and adhere to internal procedures and controls; report any known violations of compliance policy, laws, or regulations and report any suspicious customer and/or account activity.

TEAM ACCOUNTABILITIES:
Support and uphold the Arvest Mission Statement.
Uphold the Arvest Code of Ethics and ensure that confidential information is safeguarded.
Maintain a high level of cooperation and rapport with all associates in order to ensure accurate and efficient operations and service.
Formulate and communicate new ideas and suggestions that will improve profitability and efficiency for the company?s overall operation.
Foster and promote the proper company image at all times.

QUALIFICATION REQUIREMENTS:
To perform this job successfully, an individual must be able to perform each essential duty satisfactorily. The requirements listed below are representative of the knowledge, skill, and/or ability required. Reasonable accommodations may be made to enable qualified individuals with disabilities to perform the essential functions.
EDUCATION AND/OR EXPERIENCE:
Bachelor’s Degree in Accounting, Business, Finance, IS, or equivalent related experience required.
2 years of experience in administration of ERP or equivalent application required.
2 years of experience in a customer support role required.
Excellent organization and written and verbal communication skills required.
An understanding of general accounting concepts and terminology required.
Strong analytical skills and proven experience in problem solving required.
Working knowledge of effective internal controls required.
Arvest experience preferred.
Experience with Infor Lawson or CloudSuite Financials software preferred.
OTHER SKILLS AND ABILITIES:
Must be able to arrive at work on time, work on site and have regular work attendance
Must be able to work cooperatively with other co-workers regardless of personality, presence or communication style
Must be able to provide cordial customer service regardless of customer personality, presence or communication style
Must be able to perform several tasks at once
Must be able to work in a stressful atmosphere
Must be able to rotate job tasks
Must be able to greet others cordially
Must be able to coordinate multiple and changing priorities
Must be able to verbally communicate with all other associates
Must be able to operate telephone, scanner, copier and FAX machines
Must be able to occasionally work outside of normal business hours
Must be able to move from department, division, or bank to department, division, or bank to attend meetings
Must be able to operate personal computer keyboard in order to create reports, schedules and other appropriate documentation
PHYSICAL DEMANDS:
The physical demands described here are representative of those that must be met by an associate to successfully perform the essential functions of this job. Reasonable accommodations may be made to enable qualified individuals with disabilities to perform the essential functions.
While performing the duties of this job, the associate is regularly required to stand, walk, sit, and to talk and hear. The associate must occasionally reach with hands and arms; stoop, kneel, or crouch.
The associate may occasionally be required to lift or move up to 25 pounds.
Specific vision abilities required by this job include close, distance and color vision and the ability to adjust focus.
WORK ENVIRONMENT:
The work environment characteristics described here are representative of those an associate encounters while performing the essential functions of this job. Reasonable accommodations may be made to enable qualified individuals with disabilities to perform the essential functions.
The noise level in the work environment is usually moderate."
3|SAP Business Systems Analyst, Devices and Services|"Minimum qualifications:
Bachelor's degree or equivalent practical experience.
7 years of experience in designing and implementing Supply Chain and Finance systems.
Experience in building and enhancing integrated systems through the entire lifecycle (analyze, design, build, test, implement and support).
Experience in SAP ERP domain.

Preferred qualifications:
Experience in large scale ERP systems deployment.
Successful track record in working with cross-functional engineering teams.
Ability to manage ambiguity and a rapidly changing landscape.
Excellent analytical, interpersonal and communication skills, with a demonstrable bias toward action.
About the job
At Google, we work at lightning speed. So when things get in the way of progress, the Business Systems Integration team steps in to remove those roadblocks. The team identifies time-consuming internal processes and then builds solutions that are reliable and scalable enough to work within the size and scope of the company. You listen to and translate Googler needs into high-level technical specifications, design and develop recommended systems and consult with Google executives to ensure smooth implementation. Whether battling large system processes or leveraging our homegrown suite of Google products for Googlers themselves, you help Googlers work faster and more efficiently.

With your technical expertise, you build business applications and influence the design of features that improve the reliability of our applications and systems. You also define the scope of technical projects and oversee execution.
As a business systems analyst providing solutions that enable supply chain functions for Google Hardware operations, you will formulate recommended system design, partnering with external technology providers and internal product teams. As a domain expert, you will also influence end-to-end solution design to solve complex supply chain business problems using industry best practices. For various medium- to large-scale projects, the solution design efforts require a high level of business domain, functional and technical understanding. You will need an understanding of software development lifecycle (SDLC), process analysis and problem solving skills to support Google's growing Hardware business.
Google's mission is to organize the world's information and make it universally accessible and useful. Our Devices & Services team combines the best of Google AI, Software, and Hardware to create radically helpful experiences for users. We research, design, and develop new technologies and hardware to make our user's interaction with computing faster, seamless, and more powerful. Whether finding new ways to capture and sense the world around us, advancing form factors, or improving interaction methods, the Devices & Services team is making people's lives better through technology.
Responsibilities
Partner with internal supply chain operations and finance teams to define business processes and associated system requirements.
Decompose the requirements to a sufficient level of detail allowing the engineering team to design, configure, customize or develop solutions to meet the business needs.
Define, design, test and implement business solutions using custom built and third party systems.
Lead/participate in systems implementation projects and deliver key artifacts (e.g., requirements documentation, systems configuration, fit/gap analysis, test documentation and execution, issue identification and resolution).
Support mission-critical and business-critical systems using IT and software engineering practices.
At Google, we don’t just accept difference—we celebrate it, we support it, and we thrive on it for the benefit of our employees, our products and our community. Google is proud to be an equal opportunity workplace and is an affirmative action employer. We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity or Veteran status. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. See also Google's EEO Policy and EEO is the Law. If you have a disability or special need that requires accommodation, please let us know by completing this form."
4|ERP Business Systems Analyst - SAP PP/MM/QM|"Overview:
The ERP Business Systems Analyst (BSA) works with Business Stakeholders to gather and understand business requirements and translates these requirements through analysis and design into functional solutions. The BSA is a subject matter expert in one or more functional areas. He/She establishes and executes the testing strategy for projects and production, support fixes and provides process and business expertise for the ERP system.

This position will report to the Global Business Systems Manager and have a key role in the implementation and maintenance of ERP applications as well as current and future associated systems. The ideal candidate for this ERP Business Systems Analyst position has demonstrated experience working with ERP systems, preferably SAP. He / She will contribute to the design and testing phases of a global ERP implementation project and works closely with the SAP consultants, project manager and other team members to ensure project success after go-live. This position will be based in Rancho Dominguez, CA.
Responsibilities:
Responsible for leading initiatives and providing consultation to a global user community, consistently applying a consultative approach to establish more efficient ways to utilize business systems.
Provide consultancy for the best practice processes. Initiate necessary business process re-engineering to have effective and efficient operations.
Meet with decision makers, systems owners, and end users to define business & operations requirements and system goals, identify and resolve systems issues.
Provide expert level of business process guidance on business requirements, concept, design, realization and support.
Identify cross-functional topics and ensure the process are aligned across ERP modules and other supporting applications
Participate in testing and implementation of enhancements across the SAP functions primarily PP, MM & QM modules and seamlessly integrate with other SAP modules such as SD, FI, CO, SM & WM.
Act as Liaison between business users and implementation partners
Participate in the demand management process to assist the business in establishing business cases relating to new systems or existing system changes.
Develop business process models and workflows
Recommend, develop, or modify reporting and electronic workflows based on user needs, requests, or the candidate’s suggestions of best practice
Integrate data between disparate systems
Solicit training needs and train application users through group and individual mentoring in test and live environments
Provide Tier II application support post Go Live, conduct system troubleshooting as requested by users and following through to resolution
Accomplish company goals by accepting ownership for new and different requests; exploring opportunities to add value beyond job requirements

Qualifications:
Requires 4+ years of experience in an ERP business analyst role.
Strong experience in requirements gathering and documentation of business needs & processes
Demonstrated experience with SAP S/4 Hana or other recent SAP versions.
Demonstrated experience and expertise in implementing and supporting SAP PP, MM & QM modules
IT Project Management experience preferred
Expert level experience with Windows, Microsoft Office, Excel, Visio, SharePoint and workflow tools
Previous system implementation and testing experience preferred
Independently problem-solves, interprets data, proposes improvements, and plans
Able to interact with all levels of personnel in a professional and engaging manner
Maintains the highest level of professionalism under pressure
Ability to use independent judgment when needed
Excellent communication skills
Bachelor’s degree in Management Information Systems, Business Administration, or equivalent experience"
5|SAP FI - Financial Accounting and Controlling-Consultant|"Mandatory Skills:
SAP FI - Financial Accounting and Controlling-L3
Job Description:
Key skills required for the job are:
SAP FI - Financial Accounting and Controlling-L3 (Mandatory)
As a Consultant, you should have in-depth knowledge in any one technological or industry practice / functional area and overview of 2-3 other areas. You should handle solution definition/ fitment for a small sized project with a medium complexity. You should be able to build a custom Function Module with medium complexity program logic.
Minimum work experience:5 - 8 Years
Roles & Responsibilities:
Minimum Experience Required:
Mandatory Skills: SAP FI - Financial Accounting and Controlling-L3 Consulting-L2
Desirable Skills:
Language Skills: English Language-L2"
6|SAP FI/CO Systems Analyst|"Location:
Remote, Various

Openings:
1

Salary Range:

Description:
This position could be located anywhere in the US, either in one of the client's locations or remotely from home.
Provide Production Support in an existing SAP ECC 6.0 environment with about 120 finance system users. Provide support within the FI/CO function of SAP
Maintain and support the SAP Finance and Controlling template
Develop SAP knowledge/competency in expert users and subject-matter experts throughout the business, across multiple locations globally. Develop supporting process documentation.\
Analyze complex business processes and provide consultation to users regarding processes and procedures to ensure business is achieving maximum efficiencies out of SAP.
Perform system regression testing for new releases or upgrades to SAP.
Assist in the development or enhancement of functional reporting capabilities and lead business requirements gathering sessions as needed.
Facilitate translation of requirements into configuration and technical development specifications.
Develop detailed user training and process documentation.
Coordinate testing and user acceptance.
Collaborate with other members of the SAP team on cross-functional solutions
Formal Education & Certification
Bachelor's degree in Accounting, Finance or related computer Science; or equivalent experience
Job Requirements
Minimum 7 years hands-on functional configuration experience with SAP FI & CO modules
Experience or knowledge of the following is desirable, but not required
Cash and Treasury Management including Electronic bank statements, bank communication management, in-house cash
Controlling modules - including product costing and material ledger
S/4 HANA
Other Requirements
US Citizens and those authorized to work in the US are encouraged to apply, we are unable to sponsor at this time.
Ability to see past potential obstacles and get the job done.
Effective interpersonal skills and relationship-building skills.
Ability to present ideas in business-friendly and user-friendly language.
Highly self-motivated and directed with an ability to work independently with minimal supervision
Analytical and problem-solving abilities, with keen attention to detail.
Experience working in a team-oriented, collaborative environment.
Excellent Communication skills (Verbal and written) since this is a direct business facing role.
Must have strong analytical, troubleshooting, and problem solving abilities.
Ability to juggle multiple initiatives simultaneously and work effectively in high-pressure environment.
Must have a strong, demonstrated commitment to customer service and be committed to pro-active review of processes and procedures to continually enhance SAP service quality, service delivery and support."
7|Application Consultant - SAP Analyst L2 (Contract)|"Duration: 10 months

Job Description:As a SAP WM analyst, :
Provide day to day production support for SAP WM modules for client.
Monitor ticketing system for new WM related tickets.
Update problem tickets to keep users informed of ticket resolution.
Work with additional SAP team members to provide production support to client.
Participate in client requirements gathering sessions as required.
Provide SAP best practice solutions to meet user needs.
Contribute to the preparation of SAP MM/WM test cases and execution of testing cycles with business stakeholders to support the timely delivery of functionality changes
Lead tracking and monitoring of the production support issues, enhancement deadlines and escalations pertaining to SAP MM/WM solutions and update status to the appropriate leadership.
Collaborate with account managers to ensure successful support/project delivery.
The Capgemini Freelancer Gateway is enabled by a cutting-edge software platform that leads the contingent labor world for technology innovation. The software platform leverages Machine Learning and Artificial Intelligence to make sure the right people end up in the right job.
A global leader in consulting, technology services and digital transformation, Capgemini is at the forefront of innovation to address the entire breadth of clients’ opportunities in the evolving world of cloud, digital and platforms. Building on its strong 50 year heritage and deep industry-specific expertise, Capgemini enables organizations to realize their business ambitions through an array of services from strategy to operations. Capgemini is driven by the conviction that the business value of technology comes from and through people. It is a multicultural company of over 200,000 team members in more than 40 countries. The Group reported 2018 global revenues of EUR 13.2 billion."
8|ERP Business Systems Analyst - SAP FICO|"Overview:
The ERP Business Systems Analyst (BSA) works with Business Stakeholders to gather and understand business requirements and translates these requirements through analysis and design into functional solutions. The BSA is a subject matter expert in one or more functional areas. He/She establishes and executes the testing strategy for projects and production, support fixes and provides process and business expertise for the ERP system.
This position will report to the Global Business Systems Manager and have a key role in the implementation and maintenance of ERP applications as well as current and future associated systems. The ideal candidate for this ERP Business Systems Analyst position has demonstrated experience working with ERP systems, preferably SAP. He / She will contribute to the design and testing phases of a global ERP implementation project and works closely with the SAP consultants, project manager and other team members to ensure project success after go-live. This position will be based in Waltham, MA.
Responsibilities:
Responsible for leading initiatives and providing consultation to a global user community, consistently applying a consultative approach to establish more efficient ways to utilize business systems.
Provide consultancy for the best practice processes. Initiate necessary business process re-engineering to have effective and efficient operations.
Meet with decision makers, systems owners, and end users to define business & operations requirements and system goals, identify and resolve systems issues.
Provide expert level of business process guidance on business requirements, concept, design, realization and support.
Identify cross-functional topics and ensure the process are aligned across ERP modules and other supporting applications
Participate in testing and implementation of enhancements across the SAP functions primarily FI & CO modules and seamlessly integrate with other SAP modules such as SD, PP, MM, SM, QM & WM.
Act as Liaison between business users and implementation partners
Participate in the demand management process to assist the business in establishing business cases relating to new systems or existing system changes.
Develop business process models and workflows
Recommend, develop, or modify reporting and electronic workflows based on user needs, requests, or the candidate’s suggestions of best practice
Integrate data between disparate systems
Solicit training needs and train application users through group and individual mentoring in test and live environments
Provide Tier II application support post Go Live, conduct system troubleshooting as requested by users and following through to resolution
Accomplish company goals by accepting ownership for new and different requests; exploring opportunities to add value beyond job requirements

Qualifications:
Requires 2-4 years of experience in an ERP business analyst role.
Strong experience in requirements gathering and documentation of business needs & processes
Demonstrated experience with SAP S/4 Hana or other recent SAP versions.
Demonstrated experience and expertise in implementing and supporting SAP FI & CO modules
IT Project Management experience preferred
Expert level experience with Windows, Microsoft Office, Excel, Visio, SharePoint and workflow tools
Previous system implementation and testing experience preferred
Independently problem-solves, interprets data, proposes improvements, and plans
Able to interact with all levels of personnel in a professional and engaging manner
Maintains the highest level of professionalism under pressure
Ability to use independent judgment when needed
Excellent communication skills
Bachelor’s degree in Management Information Systems, Business Administration, or equivalent experience"
9|ERP Application Consultant|"ERP Application Consultant

Aktion Associates is looking for a skilled ERP Application Consultant to plan and manage successful ERP application implementations for companies in the Wholesale Distribution and Manufacturing industries. This consultant is an ERP application expert, and a strategic thinker, problem-solver and key customer adviser.

About Aktion
Aktion Associates is a national software reseller and IT infrastructure provider focused on the Construction, Distribution and Manufacturing industries. One of the largest VARs in the US, Aktion delivers industry-specific applications, Cloud and Managed Services, IT infrastructure and support, and next generation technology solutions. More than 4,500 clients choose Aktion as their technology advisor and nearly 200 professionals chose to be part of the Aktion team.
The Position
The ERP Application Consultant is confident, organized, analytical and skilled at pre-sales support. The consultant has a proven track record of successful ERP configurations and implementations, and is knowledgeable about financial/accounting concepts and best practices.
Core Responsibilities
Facilitate process discussions with customer and Aktion technical services team
Conduct discovery diligence, project analysis, and scope of work creation.
Follow established implementation standards and service delivery requirements.
Develop and/or maintain all project documentation and client reporting.
Required Skills/Education
Bachelor's degree in Computer Science, Information Technology, Business Technology, Accounting or a related field of study.
Strong knowledge of accounting process including operations and financials.
ERP application installation and configuration experience.
Microsoft Office applications and presentation tools.
Experience with Microsoft SQL Server; SQL Server relational database concepts.
3+ years ERP software implementation experience – Acumatica or similar ERP software.
The Benefits
Aktion Associates offers competitive compensation including performance-based incentives, paid vacation, 401K, continuing education/training options and a supportive, respectful work environment.
The Location
Glendale, AZ area or remote US will be considered.
Why Should You Apply?
Excellent benefits
Advancement opportunities
Bonus program
The Aktion culture is built on the concept of “freedom within a framework.” An Aktion employee is “all in” which means entrepreneurial, disciplined, accountable, and a consummate relationship-builder with customers, influencers and peers.
Aktion Associates is an Equal Opportunity Employer."
