|Title|Description
0|Information Technology Network Administrator I/II|"KEY WORDS: IT Network Admin, IS Network Admin, Information Systems Administrator

To View the Accessible PDF Brochure Click HERE"
1|Network Administrator 2, Network|"Responsibilities:
Responsible for the management, administration and security of server, storage and core-infrastructure applications via Community Medical Centers cloud-hosted and on premise data centers. Provides assistance in problem identification and diagnosis, takes necessary action to resolve problems, as expeditiously as possible and ensures that data is secure and responsive and that users and applications have 24/7 access. Qualifications:

EXPERIENCE AND EDUCATION MINIMUM REQUIRED:
High School Diploma/GED.
Five years of strong technical/analytical experience and two years of experience in a network engineering/server administration capacity at an enterprise level.
A strong background in Active Directory, Windows Server, UNIX, Linux, Data Communications and Networking.

PREFERRED:
Bachelor's Degree in Computer Science, Computer Engineering or Information Systems.
Work experience in the healthcare industry or a healthcare setting
Microsoft Certified Systems Engineer (MCSE), Microsoft Certified Professional (MCP), Network+, Security+, Citrix Certified Associate, Citrix Certified Professional, and/or Red Hat Certified System Administrator (RHCSA)"
2|Network Administrator|"Primary Location
CENTRAL SUPPLY

Salary Range
$58,000.00 - $64,000.00 / FULL TIME (12 MONTH)

Shift Type
Full-Time"
3|Network (Administrator) Engineer|Network (Administrator) Engineer
4|Network Administrator|RSU #14 is seeking a full time, year round Network Administrator to perform the following (this is not an all inclusive listing): Set up, configure and support internal and/or external networks, proficient with Active Directory, Group Policy Objects and Global Catalog Servers.Develop and maintain all systems, applications, security, and network configurationsTroubleshoot network performance issues and create and maintain a disaster recovery planRecommend upgrades, patches, and new applications and equipmentProficient with Virtualization for servers and clients, we currently use VmwareProficient with ACL for managed switches, routers, firewalls and console connection for configuration Proficient configuring and maintaining Web Content FilteringProficient configuring and maintaining Spam & Malware FilteringWireless configuration and maintenanceCreate and maintain inventories for hardware, software, and maintenanceIntegrate Macs and PCs and Google Devices with servers and printersMonitor security and networks via SolarWinds or equivalent.Configure and run Server and SQL Backups and RestoresSupport all staff and students with technical issues relating to softwareAssist in the development and implementation of staff technology standardsExperience with all facets of network administration, including Operating System installation and configuration; Firewall and router configuration; system monitoring tools; installation and configuration of server and client software and hardware; experience in customer support, computer operations, and system and network administration.Working technical knowledge of network and PC & Server operating systems, including all flavors of MS Windows and Mac OS X and IOS for tablets, additionally familiar with Chrome OS for Google devices.Extensive application support experience with Office365 and Web Content Filtering.Working technical knowledge of current network hardware, protocols, and standards, including HP Servers, Meraki switches, Meraki Access Points, routers and Meraki firewalls.Hands-on hardware troubleshooting & maintenance experience.Good understanding of the organizations goals and objectives.Knowledge of applicable data privacy practices and laws.Provide technical support and guidance to usersMUST have good experience with best practice security procedures, monitoring and reporting. Should have knowledge on encryption viruses, spam and malware.Perform such other duties as may be reasonably requested by the Superintendent, Assistant Superintendent, or the Director of Information Technology
5|Network Administrator|"Governors State University seeks to hire a Network Administrator. The Network Administrator is responsible for the following duties: planning, design, installation, maintenance, training, support, security, disaster recovery of all Network Operating System software and hardware. The incumbent reports to the Manager of Infrastructure. The Network Administrator will handle installation activities of purchased application software and installation of vendor releases. In addition, the incumbent will support and develop standards, have involvement with capacity planning and allocation of resources. The new Network Administrator will act as the primary lead on tools and technology necessary for monitoring and maintaining the network. The Network Administrator duties will include routers, firewalls, switches, load balancers, wireless access points, controllers, and other areas. This person will need to be able to handle performing activities, such as architecture, updates, replacement, troubleshooting, and working with vendors for issue resolution. This position has a shared responsibility with other Networking Team Members, including Server, Virtualization, Storage, and Telecommunications.
Starting Salary: Up to $83,500.00
GSU OFFERS A HIGHLY COMPETITIVE BENEFITS PLAN which includes: medical, dental, Vision, State Retirement Benefits, Life Insurance, tuition waiver, and a generous time off package consisting of vacation, sick days, and company paid holidays.
Minimum Qualifications
REQUIRED: COLLEGE/UNIVERSITY TRANSCRIPTS, WHICH INCLUDES THE EARNED DEGREE AND CONFERRED DATE MUST BE ATTACHED FOR CONSIDERATION OF THIS POSITION (See “Special instructions to applicants” section below)
1. Any combination totaling two (2) years from the following categories:
A. progressively more responsible work experience in an Information Technology (IT) related profession.
B. college course work, which included Information Technology (IT), IT Management, or a closely related discipline, as measured by the following conversion table or its proportional equivalent:
60 semester hours or Associate’s Degree equals one (1) year
90-120 semester hours or Bachelor’s Degree equals two (2) years
2. Additional education, training, and/or work experience in an area of specialization inherent to the position may be required:
Experience working in IT with progressively increasing responsibility into a Network Administrator role.
Experience working in a Network Administrator role.
Cisco CCNA, CCDA, and CCNP certifications, or recognized certification experience
(www.sucss.illinois.gov)
Preferred Qualifications
Bachelor of Science degree in Computer Science, Management Information Systems, Electronic Engineering, Business or degree- seeking.
Three (3) or more years demonstrated experience with Network environments.
Cisco CCNA, CCDA, and CCNP certifications, or recognized certification experience
Deep understanding of TCP/IP networks (networks that contain Cisco routers and switches).
Experience utilizing network and system monitoring tools such as Cisco Prime, OpManager, NetEqualizer, etc.
Experience configuring network file systems
Strong experience with TCP/IP networking protocols (ability to debug and program at the network level).
Demonstrated experience testing disaster recovery plans
Experience with network security (such as firewalls, and managing authentication systems).
Experience with host security (such as passwords, file permissions, file system integrity, use of security packages)
Experience maintaining for all network servers (Unix/Linux, Windows, and VMWare).
Understanding of Windows and Linux-based operating system and can use performance analysis to tune systems.
Demonstrated data/voice telecommunications skills
Posting Date 02/03/2020 Closing Date 02/17/2020 Open Until Filled No"
6|Network Administrator|"We are currently recruiting for qualified applicants for Network Administrator. Come and see why the City of Golden is the place you want to be!

Being a Golden employee is more than just a job, it's a lifestyle. Golden is a vibrant outdoor community making it a great place to live, work and play. The City of Golden has over 500 employees serving the community in parks and recreation, public works, public safety, and administration. The City offers a wide array of benefits and perks designed to enhance the work and wellness experience our employees enjoy today and into the future.

This position is responsible for maintaining IT Infrastructure for the City of Golden. As part of the IT team, this position designs, implements and supports the City's information systems with a specialization in networking and network infrastructure. Golden is a technology dependent full service City providing Police, Fire, Court, Water Treatment, Parks and Recreation, Public Works, Planning and other administrative services.

Applicants are required to complete an online application with an uploaded cover letter and resume.

This position is open until filled.
JOB SUMMARY
Primarily responsible for technology design, implementation, and support of routing, switching, VPN, firewalling, VoIP, IPS/IDS, SD-WAN and other network and voice technologies.

Designs, implements, and maintains network communication systems including Cisco switches, routers, firewalls, Wireless Access Points, Meraki gateways, Cisco Call Manager and Unity VoIP systems, and analog voice gateways. Will be responsible for network traffic monitoring.

Assists with server-based hardware and software, VMWare, centralized disk storage (SAN), Exchange Online email, web proxy and other infrastructure to meet departmental and City requirements for technology. Ability to implement and maintain solutions that may be hosted or cloud based with integration back to on-premise systems.

Develops strategy and designs technology solutions to support that strategy. Involves appropriate individuals to foster collaborative solutions. Works with non-technical customers to implement those solutions successfully.

Participates in project management for IT projects. This includes project planning, determining objectives, anticipated impacts on resources, managing risks, leading and participating in implementation and documentation. Effectively communicates and coordinates with stakeholders through all stages of projects.

Assists with on-premise and cloud-based Microsoft Windows Active Directory Services. Implements and manages Windows group policies to meet business requirements.
Supports Microsoft and Linux server operating systems. Monitors server availability and performance with ability to take appropriate action to tune, upgrade or recover failing servers.

Performs ongoing system maintenance and administration, including firmware updates, applying workarounds, hot fixes and patches, software updates, service packs, and identifying and resolving security concerns. Assists with business continuity and disaster recovery plans and processes. Participates in daily operational activities such as backups.

Supports as needed the implementation and maintenance of Microsoft end-user desktop, laptop, and kiosk hardware. Sets up, deploys and supports tablets such as iPads. Ability to provide guidance to external parties on non-City owned assets including a variety of smart devices running varied operating systems and application software. Maintains various desktop software including Microsoft Office and a portfolio of other municipal centric applications.

Incorporates IT industry security best-practices into systems wherever reasonable in balance with operational considerations. Document areas of conflict between security policy and business processes and facilitates resolution of those conflicts.

Performs administrative duties as required by the job including tracking expenses, software and hardware inventory, technical documentation and general communication.

Writes scripts to automate server, network, SCADA and other functions. Assists with complicated and interrelated technology support for all City IT systems, aided by team and vendor support.

Manages challenging vendor relationships; facilitate communication and work between internal customers and external groups to complete projects and resolve issues.

Writes and updates Information Technology procedures. Appropriately adheres to change control standard practices. Provides input on City technology policy.

Assists IT Manager in evaluating business processes to determine technology needs; assess adequacy of existing hardware and software; and recommends technology solutions.

Diagnoses computer equipment problems; consults with users to determine quality of service, identifies needs and security issues. Assists with help desk duties.

Complete duties in a time effective manner while balancing multiple tasks in an environment where priorities shift.

Adheres to City and IT Department policies and procedures.

Design, implement and maintain systems to conform with Payment Card Industries (PCI) credit cards, Criminal Justice Information Systems (CJIS) and HIPAA laws and regulations while protecting personally identifiable information and meeting business needs.

Continual examination and improvement of systems, policies and procedures.

Rotational 24-hour on-call required for emergency needs.

Other duties as assigned.
QUALIFICATIONS
Bachelor's degree and minimum four years direct network/systems administration experience or equivalent combination of education and experience.

Must have experience in a routed and switched Cisco-based TCP/IP network environment. Experience with VRF configuration and support strongly desired.

Experience supporting current Microsoft Windows server and desktop operating systems, current Office application suite and other required applications. Thorough knowledge of Windows networks and Windows-compatible hardware required.

Cisco Certified Network Associate, Network+, Microsoft Certified Systems Engineer, Linux+, or equivalent experience in each area preferred.

Firewall administration, Cisco VoIP telephony, wireless technology, and route/switch experience required.

Must possess a valid driver's license and a good driving record.

Current MCSE, Linux+, CCNA, ITIL or other IT industry certification preferred.
KNOWLEDGE, SKILLS AND ABILITIES
To perform this job successfully, an individual must be able to perform each essential duty satisfactorily. Click here for a full job description and list of duties.

City of Golden is an Equal Opportunity Employer"
7|Network Administrator 1|"Description
Equinox Consulting Partners is seeking a Network Administrator for a position in Dover, DE. The Network Administrator 1 supports any end point device on the WAN or LAN of supported agencies while providing excellent documentation and customer service. The successful candidate will have the ability to be hired by the State of Delaware after 6 months off contract work.

Responsibilities
This position requires a detail-oriented professional with a passion for public service in the Information Technology field. Responsible for a wide range of desktop and network applications, this includes their uses, how to maintain and manage them. Responsible for ensuring that the uptime, performance, resources and security of the computers they manage meet the needs of the end users. Must be able to provide excellent next level support for customers (both DTI and other state agencies) and customers in compliance with DTI policy and procedures. Services provided will be primarily rendered through a combination of personal effort, joint effort with others in the workgroup and in collaboration with other DTI staff, vendors and customers. Requires excellent communication and problem solving skills.

Requirements
Prior professional experience installing, configuring, supporting and maintaining physical and some virtual Windows Servers (2 years)
Utilize management solutions such as KACE, SCCM, BigFix, and MDT to provision, deploy, update and troubleshoot end-user devices (1 year)
Prior professional experience and proficiency in Support, Configuration, and reliable operation of Windows 7 and 10 OS (3 years)
Prior professional experience and proficiency in Support, Configuration, and reliable operation of Mac OS (1 year)
Prior experience with one or more of the following: KACE, SCCM, BigFix, and MDT (1 year)
Excellent communications skills (written and oral) (required)
Prior experience troubleshooting and diagnostic of software and hardware (2 years)
Possesses one or more of the Core skills competencies (1 year)
Internet Protocol (IP) and subnet management solutions such as Infoblox or Microsoft DHCP server
Secure various end-user devices on a network such as mobile devices, laptops, desktop pcs and servers, on a network using security solutions such as McAfee EPO, CrowdStrike, and Microsoft Bitlocker Administration Management.
Writing automation scripts in Powershell, Ansible, and/or SQL
Prior professional experience and proficiency in Support, Configuration, and reliable operation of Android OS (1 year highly desired)
Prior professional experience and proficiency in Support, Configuration, and reliable operation of iOS (1 year highly desired)
Prior professional experience and proficiency in Support, Configuration, and reliable operation of Linux (1 year highly desired)"
8|Senior Network Administrator|"Responsibilities:
Responsible for the administration and security of the computer-bases information systems of the facility. Plans and installs hardware and software that comprises the facility's network. Provides primary user support and training. Participates in the department's performance improvement and continuous quality improvement (CQI) activities. Qualifications:
High School Diploma/GED.
Seven years of technology experience, and three years experience in a lead network administration capacity.
A strong background in Infrastructure design and management using Active Directory and Windows 2000/2003 Server.
Additionally, a working knowledge of UNIX, Data Communications, and Networking is essential.

PREFERRED:
Bachelors Degree with an emphasis in Computer Science, Computer Engineering, or Management Information Systems.
Work experience in the healthcare industry or a healthcare setting.
MCSE or greater certification."
9|Network Administrator|"Title: Network Administrator
Reports To: Executive Vice President of Information Technology Department/Division: Executive/IT
FLSA Status: Exempt

NO PHONE CALLS PLEASE

Position Summary
The Network Administrator has primary technical responsibility for the INLIVIAN’s Network, Servers, Firewalls, Communications, Desktop, peripherals and user support. The duties listed below are intended only as illustrations of the various types of work that may be performed. Responsibilities include, but are not limited to, the following:

Responsibilities

1. Develops and implements strategies for network management, configuration, backup, and archiving of LAN/WAN system components, servers, workstations, scanning devices, printers, copiers and network equipment.

2. Performs system administration duties on all LAN/WAN system components, addressing issues such as address and domain assignment, routing and bridging strategies, firewall and/or security monitoring systems, access regulation, and specifying and maintaining records of network configuration.

3. Works with the EVP of IT on the design, configuration, and implementation of file servers, network operating systems, networked applications and other network-related software components.

4. Develops and maintains data backup and archive systems, ensuring backup and archive are in accordance with plan and that a high confidence level for data retrieval is maintained.

5. Develops LAN/WAN system component automation tools and applications, ensuring that LAN/WAN system component standards are followed.

6. Develops and implements plan to coordinate acquisition and installation of LAN/WAN system components with IT staff and user departments as required.

7. Installs, configures, and tests new LAN/WAN system components in accordance with the Authority’s IT management plan.

8. Provides necessary technical assistance for computer hardware and software operations and provides leadership in the coordination of departmental operations to support the Authority’s LAN/WAN and the telecommunications network infrastructure.

9. Troubleshoot and resolve LAN/WAN system component problems in a timely manner.

10. Investigates and resolves computer software and hardware problems of users.

11. Maintains document of problems in an organized and timely manner to provide to the EVP of IT as required.

12. Attends staff meetings to report on and resolve recurrent data problems.

13. Maintains professional and technical knowledge by attending educational workshops and/or seminars, reviewing professional publications, establishing personal networks, and participating in professional organizations as applicable.

14. Assists computer users with information technologies questions and problems, fielding telephone calls and e-mail messages from users seeking guidance on technical problems to ensure satisfaction in every step of problem resolution and to minimize downtime of applications and personnel.

15. Interfaces directly with end users to gather information regarding procedures followed and possible sources of error to diagnose needs.

16. Troubleshoots based on problem descriptions by asking user with problem to participate in diagnostic procedures, using diagnostic software, and/or by listening to and following instructions addressing the problem.

17. Performs individual and group end-user training to enhance overall knowledge of operational aspects of systems/hardware/software in accordance with user needs.

18. Calls software and hardware service vendors to request service regarding inoperative products or services.

19. Coordinates with IT customers on assigned projects and monitors performance against project deliverables, reporting the status to the EVP of IT. Interfaces with users as needed for process clarification, implementation, and support on assigned projects.

20. Regulates system and data access to computer systems and communications systems in accordance with established IT departmental and Authority security policies. Ensures that security procedures are being met through regular review and maintenance of security information.

21. Performs system administration tasks on all computer systems and communications systems including the addition and removal of users, accessible peripheral devices, and e-mail accounts. Includes routine file, disk, and process management and software upgrades. Prepares and maintains procedural documentation, performance reports, and activity logs.

22. Maintains and/or enhances professional and technical knowledge by attending educational workshops, reviewing professional publications, establishing personal networks, and participating in professional organizations as applicable.

23. Performs other duties as assigned.

Education and Experience
Bachelor’s degree in Computer Science or Technical School degree, or closely related field from an accredited college or university, and three (3) years’ experience in applicable area of responsibility or an acceptable combination or education and experience.

Microsoft Certified Technical Specialist (MCTS), Microsoft Certified IT Professional (MCITP), or the Cisco Certified Networking
Professional (CCNP) is a plus

Knowledge and Skills
1. Must have strong understanding in network design, implementation, network security and virtual private networks. User must be proficient with Microsoft server environment, using Active Directory, Group Policy, DNS, DHCP and Office 365 products such as Exchange and SharePoint.

2. Must have strong knowledge of Firewall architecture and design (Sophos) preferred

3. Must have strong knowledge of Printer Servers and backup systems and restores

4. Must have advanced PC hardware and software troubleshooting skills.

5. Must have strong knowledge of Server support/installation and patches.

6. Must have advanced skills and knowledge in approaches and systems and be able to use independent judgment and possess decision-making ability.

7. Must be able to function as a lead worker and be able to perform the same work as those directed; must be able to oversee work quality, provide training and instructions and schedule work.

8. Must be able to make recommendations regarding policy development and implementation.

9. Ability to establish and maintain effective, professional and tactful working relationships with co-workers and persons outside the INLIVIAN.

10. Ability to evaluate customer satisfaction, develop cooperative associations and utilize resources for continuous improvement.

11. Ability to write reports, prepare business letters, expositions, and summaries with property format, punctuation, spelling and grammar, using all parts of speech.

12. Ability to analyze data and information and prepare complex reports, graphs, charts, and spreadsheets and to summarize findings.

Supervision Controls
The employee receives instructions from the EVP of IT. Courses of action, deadlines and priorities are established by policy, procedure, rule, regulation or the EVP of IT, depending upon the assignment. Normal duty assignments are performed by the employee based on his/her own judgment. Special projects are managed with little oversight. The employee has no supervisory duties.

Guidelines
Guidelines include established policies and procedures, traditional practices, reference material such as desk manuals, dictionaries, handbooks, federal regulations and the Internet. If guidelines do not cover a situation, the employee consults the EVP of IT. Sound judgment, consistency and accuracy are needed to successfully perform duties.

Complexity
The Network Administrator performs a wide variety of non-routine tasks. The employee must identify the work that needs to be done based on critical need and impact to Authority operations and determine how to accomplish it, while exercising considerable judgment regarding the impact and avoidance of downtime as a result of decisions.

Some difficulty may be experienced in performing multiple user/department projects that are time-sensitive, while maintaining a high degree of accuracy and judgment.

Scope and Effect
The employee's work affects the Authority as a whole. Keeping LAN/WAN and components running and optimized enables the Authority’s operational staff to deliver quality services to clients. Through appropriate LAN/WAN administration, ensuring Authority service delivery is not compromised, the Authority can more effectively and efficiently achieve its’ goals and mission.

Personal Contacts
The employee has contact with a broad range of individuals including: co-workers, outside professionals, contractors, vendors, and other business firms that provide services. Personal contacts serve multiple purposes including: giving or exchanging information, providing services, to make decisions, resolve problems, motivate and negotiate.

Physical Requirements
1. Must be able to sit and/or stand for up to eight hours at a time while performing work duties.

2. Work may involve some physical exertion, such as kneeling, crouching, reaching, carrying or lifting and eyestrain from working with computers and other office equipment.

3. Must be able to bend, stoop, push, and pull in the performance of duties.

4. Must be able to use fingers bilaterally and unilaterally to operate office equipment.

5. Must have vision and hearing corrected to be able to perform essential job functions.

6. Must be able to perform essential job functions in an environment that will sometimes include increased levels of work-related stress.

7. Must be able to maintain punctuality and attendance as scheduled.

8. An employee may request a reasonable accommodation to mitigate any of the physical requirements listed above.

Work Environment
Work involves the normal risks or discomfort associated with an office environment and is usually in an area that is adequately cooled, heated, lighted and ventilated.

Other Requirements
1. Must possess a valid State of North Carolina or South Carolina driver’s license and regularly participate in continuous improvement and education.

2. May be required to work unusual work schedule.

3. Must work with the highest degree of confidentiality."
