|Title|Description
0|Product Manager|"Company Overview
Warner Bros. has been entertaining audiences for more than 90 years through the world’s most-loved characters and franchises. Warner Bros. employs people all over the world in a wide variety of disciplines. We're always on the lookout for energetic, creative people to join our team.
Business Unit Overview
Warner Bros. has been entertaining audiences for more than 90 years through the world’s most-loved characters and franchises. Warner Bros. employs people all over the world in a wide variety of disciplines. We're always on the lookout for energetic, creative people to join our team.
Opportunity Overview
WB Games seeks a Product Manager for its San Diego Studio, for an exciting game based on key Warner Bros franchises.

The Product Manager works closely with an internal team under the supervision of a Senior Product Manager to define, launch, analyze, and maintain a free-to-play mobile games. The ideal candidate for this role has worked with internal t eams defining business goals and translating goals into business requirements and/or design specifications.

Specifically, the PM will be extremely detail oriented, with a strong product orientation and an affinity for data and analytics in support of driving both product-level and business decisions in conjunction with Product Management leadership.

What part will you play?
Provides detailed insights to development team/Product management leadership to directly influence the on-going development of a live title.
Provides hypothesis-driven analysis of incoming game data.
Calculates expected outcome of proposed new features.
Prioritizes backlog/roadmap recommendations where appropriate.
Directly utilizes multiple tools/dashboards to monitor performance of A/B tests, price changes, cross-promotion programs etc., as well as conduct specific analyses and drive product and live management decisions based on insights.
Executes with high precision and excellence, projects and tasks to ensure best in class title launches including but not limited to:
Creation of consumer facing campaigns; IAM, Push Notifications, Local Notifications, News feed etc.
Creation of reports, dashboards and Management information.
Cross discipline liaison with Customer Service & Community teams.
Responsible for working directly with Game designers, UX/UI designers and production to give insight and product oversight on in-development features.

What do we require from you?
Undergraduate degree required.
Graduate degree and Formal Business & Economics Training preferred.
1+ years Product Management experience in video game industry with increasing responsibility.
At least 2 years’ experience in mobile games.
At least 2 years in free to play games.
Strong familiarity with iOS and Android free to play games marketplaces, trends and best practices.
Passion for gaming, mobile and games-as-a-service.
Level of familiarity with higher order mathematics and statistical analysis greatly advantageous.
Ability to think scientifically and dispassionately about hypotheses related to the performance of the product, formulate plans and tests, resolve experiments, and improve metrics.
Understanding of mobile games and mobile games market.
Strong knowledge of free-to-play monetization strategies.
Very comfortable managing KPIs through analytics for live, long term engagement games.
Skilled in MS Powerpoint, Word and Excel – Swrve, Braze, Unity, Looker, Sensor Tower/App Annie, Tableau, Big Query advantageous.
Attendance at industry conferences as required.

The Warner Bros. Entertainment Group of Companies is an equal opportunity employer and considers all candidates for employment regardless of race, color, religion, sex, national origin, citizenship, age, disability, marital status, military or veteran's status (including protected veterans, as may be required by federal law), sexual orientation, gender identity or any other category protected by law."
1|Product Manager|"LogicGate is a venture-backed, Chicago-based technology company on a mission.

We believe easy-to-use, flexible technology can alter the trajectory of an organization and improve the lives of its employees. It’s this very spirit that drives us to build and deliver a SaaS platform that brings unprecedented clarity, collaboration, and accountability to our clients’ governance, risk, and compliance (GRC) processes. Join our fast-growing, passionate team of innovators as we continue to disrupt the multi-billion-dollar GRC industry.

We are looking for a Product Manager that is excited to define and ship software products that help our customers improve their risk and compliance programs. You’re a product leader who can define tangible solutions for complex, and ambiguous user pain points. You enjoy cross-functional collaboration and are excited to partner with engineering, design, marketing, and customer success.

What you’ll do

Lead product initiatives in a given product vertical from inception through launch and continuous iteration.
Manage the roadmap and align with product strategy to ensure the team is always working on the most impactful projects.
Deeply know the problems of our users and the market through research and regular interaction with customers.
Thoughtfully scope solutions into the smallest shippable state in order to maximize customer value with the least amount of effort -- while not sacrificing future product growth.
Build and maintain strong partnerships with engineering, design, marketing, customer success, and leadership.
Socialize product features internally and externally and develop product educational content.
Take ownership over product quality and perform user acceptance testing to ensure features conform to expected behavior prior to shipping to customers
Synthesize data from a variety of sources and regularly report metrics that inform the health of products.
Help to define, standardize, and communicate product team processes that help the company scale.
Who we’re looking for

At least 3 years of experience managing software products.
You approach problems with a blend of analytics, user empathy, and intuition.
You have a strong technical background.
You’re a problem solver that can anticipate and resolve potential issues before they impact the team.
You care deeply about getting the details right in order to ship a great product.
You’re a strategic thinker that also has a track record of planning and executing projects that solve problems for users.
You have a passion for software and are able to understand the value and limitations of the LogicGate platform, front and back.
You have an innate drive to learn and be curious, with the desire to understand our customers’ problems.
BENEFITS

At LogicGate, every member of our team moves the needle. With a firm footing in our core company values, we’ve built a fast-paced, demanding work culture that allows for the flexibility, autonomy, and career opportunities you’d expect from a growing company.

We offer competitive benefits including:
Ownership in the company through stock options
Comprehensive healthcare & dental plans
401(k) Match Program
Pre-tax commuter benefits
Weekly catered lunches
Open-concept office space featured in ChicagoInno’s Office Envy Series
[https://www.americaninno.com/chicago/office-envy/office-envy-inside-logicgates-new-river-north-hq/]
Mother’s room, standing desks, company keg
The chance to make an immediate impact and do the best work of your life
LOGICGATE’S CORE VALUES

Own It - Be self-driven, entrepreneurial, and efficient
Raise the Bar - Challenge complacency and mediocrity; be adaptable and agile; details matter
Be As One - Trust, collaborate, and support; invest in co-workers and clients
Embrace Curiosity - Always be learning, be curious and share; be humbled but not embarrassed by mistakes
Do the Right Thing - Act with integrity, even when no one is looking; be transparent
Empower Clients - Create solutions where customers win
At LogicGate, we value diversity of culture and background for the benefit of our employees, our products, and our community. LogicGate is proud to be an equal opportunity workplace. Different makes us better.

This position is open to applicants who are legally authorized to work in the United States. We are not able to sponsor work visas at this time."
2|Product Manager, Banking and Investments|"What itâs all about and what we need from you::
You are a Product guru who loves innovation and is not afraid to get in the weeds and make things happen. Your expertise in Financial Services Product Delivery will propel our internal banking and record keeping product to be best in class.
Day in the life::
Articulate the future vision for banking and investment technology feature(s)
Develop and communicate the product strategy and roadmap to key stakeholders and team members.
Participate as a key member of a Scrum development team to define requirements, prioritize backlog and perform user acceptance testing
Articulate innovative solutions that are in line with financial services or banking best practice standards, satisfy financial service compliance requirements and focus on customer experience
Conduct ongoing research through direct customer contact and surveys, industry journals, sales team feedback, monitoring competitors and industry trends
Collaborate with sales and marketing departments on appropriate product positioning, product launch plans, product sales tools, and sales training
Collaborate with members of operations and account management teams to identify product support requirements, design implementation strategies, and develop training
Become the company subject matter expert with comprehensive knowledge of how the banking and investment business functions client facing features are supported through product solutions
What you need to be successful::
Proven ability to operate effectively in a fast-paced environment
Excellent communication and presentation skills
Experience with working with distribute teams
Bachelor’s degree with additional certifications in Product Management
5+ years of product management experience in FinTech or traditional financial services
EEO Statement::We are an equal opportunity and affirmative action employer. Applicants are considered for positions without regard to veteran status, uniformed service member status, race, color, religion, sex, national origin, age, physical or mental disability, genetic information, political affiliation, or any other non-merit factor or any other category protected by applicable federal, state, or local laws. We are committed to taking affirmative steps to employ and advance qualified women, minorities, veterans, and individuals with disabilities."
3|Product Manager|"Share this job

Description

Mission: Talis is a nimble Ed-Tech company building innovative tools that make a huge impact on higher education. We recently joined the SAGE Publishing Group.

What: Our lead SaaS Product, Aspire, helps universities connect teaching and learning effectively. Our market-leading services benefit of over one million students around the world including the UK, Australia and New Zealand.

You: Our next mission is establishing and growing our existing flagship Product into a large, untapped market, the US.

You will be the Product Manager for North America and lead Product discovery, customer research and market analysis in order to successfully understand what Product adaptations we need to build.

From there, you’ll build it and grow it to be a market-leader. You’ll lead with ideation processes, running workshops that tease out information from various parties and stakeholders, boiling and distilling that down through repeated build-measure-learn cycles into a path for execution.

You’ll work with:
The Marketing team to define the go-to-market strategy, helping them understand the product positioning, key benefits and target customer
Software development team to define product release requirements
Design team who can help translate user needs
Operations team who can help you build a network to support your product
This role reports to the Head of Product

The impact you will have:
This is a huge priority for the company so this role is pivotal to our success in the US.
The US represents a huge market so there is more R&D that we hope will be discovered and turned into future Products.
Requirements

Ideally, you have experience in:
Understanding user needs, knowing the difference between ‘wants’ and ‘needs’ and converting these into Products.
Adapting Products for new markets, you understand there are differences and the detail really does matter
Building lean and agile Products, you know how to accurately test hypotheses in the lightest way possible and be comfortable using lean UX techniques.
Working with distributed teams, we work with teams all over the world so experience in this is useful
Strong Product processes, you’re confident in the tools and frameworks you use in order to bring structure and robustness to your process
Working in early-stage product building and 'pulling' your sleeves up to get things done. You are commercially and technically minded - able to understand concepts and explain constraints between the business and engineers.
The US higher education market place. You will have some experience developing solutions that meet the needs of teachers, students and academic libraries."
4|Associate Product Manager, New Graduate (2020)|"Duolingo is the most popular language learning application in the world, with over 300 million users. We are passionate about educating our users, fact-based decision making, and elegant solutions to interdisciplinary challenges. If that sounds like you, come help us build the next-generation learning company

Responsibilities:
Drive product features through their entire creative cycle: ideation, specification, development, release, analysis, and iteration
Perform qualitative and quantitative research to discover feature ideas and validate them before development
Work closely with UI/UX designers to ensure an excellent user experience in our product
Work with engineers to help guide feature development
Perform quantitative analysis on features' performance and find opportunities for optimization
Be responsible for hitting the key performance indicators you are entrusted with
Requirements:
A desire to make the world a better place through technology and education
Demonstrated leadership skill
Ability to utilize user insights, data, and statistical analyses to inform decisions
An instinct for creating simple and intuitive user experiences
Proven ability to learn fast
Demonstrated ability to be resourceful and innovative
Experience leading projects and teams
Bachelor's degree in Business, Computer Science, Design, Psychology, Linguistics, or a related field
Exceptional candidates:
Master's degree or double majors in areas related to product management
Internships as a PM and/or in other roles at a technology company or VC firm"
5|Product Manager Intern (Summer 2020)|"Join us as we pursue our disruptive new vision to make machine data accessible, usable and valuable to everyone. We are a company filled with people who are passionate about our product and seek to deliver the best experience for our customers. At Splunk, we're committed to our work, customers, having fun and most importantly to each other's success. Learn more about Splunk careers and how you can become a part of our journey!
Role:
Do you have a passion for building data-driven products? Do you want to be part of an innovative team that is building the next generation large scale data platform for IT, Security, and Business Analytics? Do you thrive in a dynamic environment and have a track record of technical expertise and product responsibility.
The Core Platform group at Splunk is looking for a product management intern to work closely with our PM and engineering teams driving the vision and execution of Splunk’s industry leading machine data platform. You will get to work with a team that shares your passion for building large scale data platforms, interact closely with customer/sales/engineering teams and learn the art of building enterprise class products with industry leading Splunk's Enterprise and Enterprise Cloud platform.
Responsibilities:
As a Product Manager Intern you will be responsible for …
Engage with customers, develop insights into what is possible, and uncover unarticulated customer needs
Shape product roadmap based on customers’ needs, market and technology trends
Define product specs, user stories, mockups and acceptance criteria in collaboration with engineering or independently
Interact and collaborate with Cloud SREs, SEs and customer success teams, to understand customer issues and drive business outcomes
Collaborate with engineering, QA and support teams to plan, drive and execute product releases cycles.
Collaborate with product marketing and partner teams to support content creation and product messaging
Requirements:
You have strong business and technical acumen, with people and leadership skills, and a proven track record of building products
You are passionate about building and fostering good engineering practices and processes, test-driven development, continuous integration, and build/test/release automation
Ability to define user stories in collaboration with Engineering team
You enjoy working well with others in a fast-paced environment
You enjoy working within an agile environment
Strong communication skills, verbal and written
You bring enthusiasm for solving interesting problems
Education:
Actively pursuing MBA or a Master’s program in a related business/technical (CS, EE) field, with a strong record of academic achievement and preferably industry experience.

What We Offer You:
The opportunity to work with a set of extraordinarily talented and dedicated peers, all the way from engineering and QA to product management and customer support. Splunk flourishes with disruption and diversity.
A constant stream of new things for you to learn and an opportunity for growth and mentorship. We believe in growing engineers through ownership and leadership opportunities. We also believe mentors help both sides of the equation.
A stable, collaborative and supportive work environment
We value diversity at our company. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, or any other applicable legally protected characteristics in the location in which the candidate is applying."
6|Senior Product Manager|"As Senior Product Manager on our Flight Data & Deal Personalization team you will be responsible for collaborating with our flight experts to rethink and improve upon our deal discovery and delivery tooling. Additionally, you will be responsible for understanding the wants and needs of our current and future customers and building products and features that empower members to never overpay for flights again. You will be a part of the Scott's Cheap Flights Product Team and will report to the Head of Product.
In the short term, you will:
Collaborate closely with our flight experts to gain a deep understanding of our deal discovery, delivery systems, and processes with an eye towards innovations that lead to significant efficiency improvements
Establish a regular cadence of facilitating product research by meeting with potential members and active members to better identify and understand their needs and desires as it relates to airfare
Lead documentation and communication throughout the entirety of the product lifecycle for both technical processes as well as cross-functional teams that may be affected by changes.
Gather and prioritize requirements from members and internal stakeholders to build, iterate, and own the flight-specific product roadmap for Scott's Cheap Flights
In the long term, you will:
Develop and ship major improvements to our deal discovery and delivery systems that greatly improve the workflows and efficiency of our flight experts
Develop and ship compelling, engaging, and revenue-generating products that ensure members never overpay for flights again
Own the process and execution of user research, product research, and go to market strategy.
Exhibit a deep knowledge of our member personas, airfare & travel, target markets, competitors, and industry trends
Manage the strategy for your pillar and own the cross-functional project management that is involved in implementing the roadmap.
What you bring to the table:
Innovation: You have a track record of not only optimizing existing product lines, but building new, revenue-generating product lines from the ground-up that drive the business forward.
Product Execution: You have experience in every stage of the product cycle - planning, discovery, development, testing, and analysis.
Data Driven: You are obsessed with data analysis and hypothesis-driven experimentation and have worked closely with data analysts and/or data scientists in past roles.
Change Agent: You aren't afraid to think outside the box and have the ability to lead without authority, understand others perspectives, and interpret those opinions and validate with data to build great products alongside the team.
Simplifying Complexity: You are able to deeply understand and simplify complex systems and processes through product innovation and automation.
Big Picture Thinking: You are able to develop products that tie together the internal tooling with member-facing products.

Must have's:
Clear and concise verbal and written communication skills
5+ years working in product management with a majority of the experience in a B2C organization
Comfortability with ambiguity
Strong knowledge of software development processes and agile development
Ability to prioritize tasks and multiple complex projects simultaneously
Experiencing conducting customer interviews and using the insights to build high-impact products
Impeccable ability to effectively collaborate in a highly cross-functional environment
Must be legally authorized to work in the United States and plan to work full-time in the United States

Nice to have's:
Deep understanding of growth loops
Experience working within the travel industry
Remote work experience
Subscription experience
Mobile experience
Why you might love working here:
100% remote work environment, so go ahead and bring your dog to work or wear your PJ's to the office!
Open vacation policy, with a 3 week minimum!
Comprehensive health, vision, and dental insurance
401(k) with a 5% match
Up to 12-weeks of paid family leave
Meetup meals when you cross paths with a co-worker
Continuing education & development reimbursement
Yearly team retreat (this year we went to Riviera Maya!)
Challenging problems to solve and an awesome team to collaborate with every single day
We want you to bring your authentic self to work every single day. We accept you for who you are and consider everyone on an equal opportunity basis without regard to age; appearance; color; gender identity and/or expression; genetics; family or parental status; marital, civil union, or domestic partnership status; mental, physical, or sensory disability; national, social or ethnic origin; past or present military service; sexual orientation; socioeconomic status; race; religion or belief."
7|Product Manager|"Are you looking for an opportunity to accelerate your career and work with a team of friendly, creative people? Upland Software offers a collaborative work environment full of smart, positive, and passionate people who are respected for their unique talents and empowered to do their jobs well. As a member of this close-knit team, you are encouraged to take good ideas and run with them, pursuing the best outcome for our customers while having fun along the way. If these things are important to you and you're driven by delighting customers, we want to talk with you!
Opportunity Summary:
This will be a Product Manager role for our PowerSteering Product. The Product Manager is internally and externally recognized as an expert. Has broad and detailed domain knowledge, functional and/or technical understanding of the product’s capabilities and those of our competitors. Drives the direction of the product by interacting with internal teams as well as customers to prioritize areas of investment to maximize return and stakeholder satisfaction. Familiarity with Project Management and Continuous Improvement Practices a plus.
Primary Responsibilities:
Develops detailed project schedules and plans for intra-product initiatives that span departments across the organization to monito and track progress
Assists in the definition of project scope and objectives, involving all relevant stakeholders and insuring technical feasibility
Manages changes to project scope and schedule using appropriate verification techniques
Conduct market research to identify trends and patterns in the PPM software industries.
Assess product strengths in comparison to competitor products and provide recommendations on product direction based on assessment.
Define market strategies and roadmaps to satisfy market requirements and internal objectives.
Collaborate with other Product Managers within the Upland Software product lines for cross-product initiatives and market strategies.
Coordinate and perform the full SDLC such as kickoff, business analysis, requirements elicitation, design, user testing and release activities ensuring compliance with Upland Software’s methodology
Work in an agile hybrid environment using scrum framework and acting as a product owner
Gather business and technical requirements from internal and external clients.
Define and prioritize product backlog in user stories based on elicited requirements.
Conduct release and sprint planning for software development iterations.
Collaborate on product design with UI/UX designers.
Collaborate with development team during iteration cycles, including but not limited to requirement clarifications, test plan and test case review, desk checks and feature approval
Provide regular project status and schedule updates.
Provide product information and material for use by marketing and sales, training, deployment and consulting departments.
Host internal and external presentations to inform stakeholders of upcoming features
Requirements:
Proven working experience in product management
Proven working experience in project management
Excellent client-facing and internal communication skills
Excellent written and verbal communication skills
Solid organizational skills including attention to detail and multitasking skills


Upland Software (Nasdaq: UPLD) is a leader in cloud-based enterprise work management software. Upland provides seven enterprise cloud solution suites that enable more than one million users at over 9,000 accounts to win and engage customers, automate business operations, manage projects and IT costs, and share knowledge throughout the enterprise. All of Upland’s solutions are backed by a 100 percent customer success commitment and the UplandOne platform, which puts customers at the center of everything we do. To learn more, visit uplandsoftware.com.
Upland Software is an Equal Employment Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identify, national origin, disability, veteran status or other legally protected status."
8|Product Manager|"Degreed exists to discover, empower and recognize the next generation of the world's expertise. The smartest, brightest, and most bold, the tenacious, willing, the unsung heroes, self-taught, the scrappy, driven, the passionate, daring, the unafraid. Experts.

We're expanding our product team and are looking for an experienced Product Manager to join us to make an employee’s learning and career paths better using the data we have about them. In this role, you will be the primary product manager for our Skills Assessment efforts. The Skills Assessment team helps individuals and organizations collect skills data through a range of assessment tools. Product managers working with this team should have some familiarity and/or experience with assessments, learning, and/or skills data. This role reports to the VP of Product.
RESPONSIBILITIES
Develop and manage product roadmap for Skills Assessment in conjunction with engineering
Collect, organize and prioritize feature requests for all of our internal functions: Engineering, Customer Success, Sales, and Marketing
Collect and analyze insights from the market, customers, and users to enable us to make better product decisions
Act as product owner on our agile product development team
Distribute product knowledge amongst our internal teams - especially Sales and Customer Success
Work with leadership to establish a scalable roadmap process to balance long-term product strategy with our business goals
REQUIREMENTS
3+ years of experience as a Product Manager or Product Owner
Experience as a data analyst or similar is a plus
2+ years of experience managing enterprise SaaS products
Strong background in technology, with understanding or experience in software engineering
Experience using ""jobs-to-be-done"" (or similar) as a structured approach to uncovering user needs
Ability to write requirements that are clear and actionable for features and enhancements
Ability to clearly and effectively communicate ideas, processes and solutions to teams
Experience leveraging research and data to make better product decisions
Motivated by team success, not just individual glory; you’re a supportive person who’s eager to engage and collaborate
A strong interest in educational trends and how adults learn and develop skills
Be open to receiving feedback and constructive criticism
Knowledge of enterprise learning, assessment products, and HR information systems a plus
We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status."
9|Product Manager|"Product Manager
SLALOM I Spark Team - Seattle,WA
Slalom is a modern consulting firm focused on strategy, technology, and business transformation. We believe in what's possible and shape what's next. Founded in 2001 and headquartered in Seattle, Slalom has organically grown to over 8,000 employees. We were named one of Fortune's 100 Best Companies to Work For in 2019 and are regularly recognized by our employees as a best place to work.
Slalom has a long-term vision of a world where every person loves their work and life. We have continued to align toward the achievement of this purpose with a single focused 2020 objective of growing with purpose.
The Slalom Spark team is looking to bring on a Product Manager. The Slalom Spark web application is an engaging, efficient way to gather perspectives and get alignment in real time, and is transforming the way Slalom consults with our clients around the world. You will be working directly with Slalom’s most senior leaders to execute the vision and bring the product to life.
The Product Manager is a team linchpin – a strategic, hands-on expert that works with customers, stakeholders, team members and end users to make Slalom Spark an indispensable part of Slalom’s consulting work. This person is a partner to the team Director and together, will set the vision and future direction of the product.
Responsibilities:
Help drive the product vision and strategy in conjunction with team Director.
Prioritize features by ranking strategic goals and initiatives.
Define product release process and coordinating activities required to bring product to market.
Conduct research, interviewing clients, business stakeholders, and end users to understand customer problems and to gather insights.
Write user centered requirements and work with stakeholders to prioritize them, coming up with creative ways to introduce value early and to test ideas with end users (data, user testing).
Conduct user testing; write user test scripts and help recruit participants.
Motivate cross-functional teams of engineers, designers and business analysts to achieve best-in-class solutions for clients. Ensure a fantastic working environment for the team.
Research current and new technologies for market penetration, maturity and opportunities for our clients. Share with team.
Participate in weekly team meetings and quarterly offsites to plan for goals of the team.
Qualifications:
Trained in business; MBA a plus but not required (especially if you have other super powers, see below).
Has been a product manager for at least 2-3 years.
Can work in agile, or mixed development environments, always pushing for faster delivery and jumping in when necessary to help.
Understands customer funnels, A/B testing, and how to draw insights from business data.
Understanding of lean methodologies, continuous delivery, and scrum is useful.
Has a positive attitude and humility — both extremely important to our team and for the work we do.
Your super power! Are you a machine learning guru? Passionate about customer research or UX? A former engineer? We want to know what sets you apart so that you can teach The Lab team what you know."
