|Title|Description
0|Project Manager II/III (Scrum Master) – Cargo Handling|"Company Description
“We’re not in the shipping business; we’re in the information business” -Peter Rose, Expeditors Founder
Global supply chain management is what we do, but at the heart of Expeditors you will find professionalism, leadership, and a friendly environment, all of which foster an innovative, customer service-based approach to logistics.
17,000 trained professionals
300+ locations worldwide
Fortune 500
Globally unified systems

Job Description
Expeditors Distribution is a key piece of our door-to-door global logistics solutions offerings. The Distribution Development Team is responsible for developing core business applications that enable our world-wide network of operations and customers to efficiently manage the services that allow us to receive, manage, and distribute our customer's freight on-demand locally or on a larger scale. Our software is highly configurable allowing us to support many business models and customer needs from simple pallet-in/pallet-out models to more complicated picking models.
The Scrum Master works effectively with team members to ensure the timely completion of committed work. He or she will communicate effectively with team members and stakeholders throughout the development lifecycle, identify risks to project success, maintain and execute a project plan and help raise awareness of resource and time constraints. The Scrum Master will help implement and influence best practices within the team. The ideal candidate will aid in coordinating projects, often technical in nature, that support the success of our business applications. They will embrace ambiguity, and enjoy leading cross-functional teams tackling complex problems.
Responsibilities
Help the team implement, adopt and apply Scrum/Agile/SAFe core values, principles, and practices
Act as Scrum Master to enforce scrum practices, Work in Process limits, and built-in quality expectations
Improve quality, predictability, flow, and velocity while maintaining a focus on daily and iteration goals in the context of the current Program Increment objectives
Facilitate team retrospectives to foster an expectation of continuous improvement
Coordinate and conduct daily stand-up, iteration planning, iteration review, and iteration retrospective
Assist the Product Owner in the management of the team backlog with respect to priorities and scope
Eliminate blocking issues that are either beyond the team’s authority or may require support from other teams
Build a high performing team by helping the team navigate interpersonal conflicts, challenges, and opportunities for growth
Communicate with management and outside stakeholders to help protect the team from uncontrolled expansion of work
Coordinate inter-team cooperation and help the team operate well within the Release Train
Guide the team in establishing normalized estimates for features and capabilities

Qualifications
Qualifications
Minimum Qualifications
3+ years of project management/scrum master experience
Training in Agile
Experience managing complex projects from requirements definition through the delivery of the solution
Communication of status and results with a technical and non-technical audience
Proficiency with the system development lifecycle, including agile techniques and other methodologies
Proven interpersonal skills and the ability to communicate effectively with a wide spectrum of people
Effective at navigating ambiguity and helping diverse teams drive towards clarity and consensus
Expertise in creating, analyzing, and improving processes
Management of multiple and competing priorities
Excellent time management and organization skills
Outstanding verbal and written communication
Ability to recognize and mitigate risks
Driven, strong 'get it done' attitude
Knowledge of Microsoft Project
Desired Qualifications
Scrum Master or Advanced Scrum Master Certification
Experience with large enterprise-wide project management
Experience managing IT infrastructure projects
Experience managing third party tool implementation
Working knowledge of Office 2013 or above, VSTS/TFS, SharePoint
Understanding of the transportation/logistics industry
Passion for technology

Additional Information
Expeditors offers excellent benefits:
Paid Vacation, Holiday, Sick Time
Health Plan: Medical, Prescription Drug, Dental and Vision
Life and Long Term Disability Insurance
401(k) Retirement Savings Plan
Employee Stock Purchase Plan
Training and Personnel Development Program
All your information will be kept confidential according to EEO guidelines.
Successful candidates must pass a background check."
1|Sr. Project Manager / Scrum Master|"Bachelor’s degree preferred. In lieu of a Bachelor’s degree, we will accept equivalent in education and/or experience SCRUM certification a plus, but not required.
10+ years minimum proven Scrum skills
Advanced analytical, problem solving ability.
Able to successfully multi-task in a fast paced environment.
Able to work in a Matrix environment
Guiding and facilitating teams during transition from Waterfall to Agile a plus
Use of PM tools such as CA Clarity, MS Project a plus
Experience using JIRA/Confluence for managing Agile projects a plus"
2|Project Manager/Scrum Master|"PROJECT MANAGER/SCRUM MASTER
Position Description Overview
The Project Manager/Scrum Master manages key client projects and is responsible for monitoring the scrum process and scrum meetings. . Project Management responsibilities include the coordination and completion of projects on time within budget and within scope.
Oversee all aspects of projects and scrum process. Set deadlines, assign responsibilities and monitor and summarize progress of project. Prepare reports for upper management regarding status of project.
The successful candidate will work directly with internal clients to ensure deliverables fall within the applicable scope and budget. He or she will coordinate with other departments to ensure all aspects of each project are compatible and will hire new talent as needed to fulfill client needs.
Job Responsibilities
The Project Manager/Scrum Master is responsible for driving moderately complex projects and/or components/phases of larger, more complex projects. Accountable for delivering medium to large projects on time, within budget, and within scope. This individual will lead and coordinate cross-functional, cross-departmental, cross-company teams that are responsible for all aspects of a project, from initiation to closure.
The Project Manager/Scrum Master exemplifies strong initiative and management skills. 1. Insures project methodologies, project delivery processes, and implementation management processes are followed. This includes managing and driving: • Project Schedule • Risk and Issue Management • Scope Change Management 2. Manages the project budget. This includes understanding and validating estimates, cost variance tracking, and managing project resources effectively. 3. Provides clear and concise project communication; both written and verbal. 4. Facilitates/manages project communications and stakeholder, client and project team expectations.
Project Manager/Scrum Master will guide the team and organization on how to use Agile/Scrum practices and values. Removing impediments or guiding the team to remove impediments by finding the right personnel to remove the impediment. Facilitating getting the work done without coercion, assigning, or dictating the work. Execute formal Scrum ceremonies to ensure delivery and improvement of process.
Scope of Job
In addition to duties of Project Leader/Scrum Master, responsible for assembling project team, assigning individual responsibilities, identifying appropriate resources needed, and developing schedule to ensure timely completion of project. May communicate with a Senior Project Manager, Functional Area Manager, or Program Manager regarding status of specific projects.

Job Requirements
Bachelor's Degree or equivalent, plus 4-6 years progressive management experience, including medium to large scale projects. PMP preferred.
Skills/Experience: Proficient in Microsoft Office tools. Proficient in Microsoft Project and/or Microsoft Project Server. Excellent verbal, written and presentation skills. Proven success in delivering projects within budget and specified timeframes, while ensuring customer satisfaction. Proven problem solving skills from problem assessment to solution selection. Ability to identify alternatives and make contingency plans. Capacity to embrace change and quickly adapt to new situations, changes in direction, and altering priorities. Proven ability to thrive in a fast paced, dynamic environment. Ability to handle multiple projects and assignments. Experience in playing the Scrum Master role for at least one year for a software development team that was diligently applying Scrum principles, practices, and theory. Good skills and knowledge of servant leadership, facilitation, situational awareness, conflict resolution, continual improvement, empowerment, and increasing transparency.

Competencies
Risk Management
Organizational Savvy & Politics
Budgeting
Agile Development / Scrum
Working With Project
Coaching
Accuracy / Attention to Detail
Project Management
Managing in a Matrix Environment
Measurement of Effectiveness
Meeting Management

Learn more about Fiserv: Life moves fast. And as it does, we know most people aren’t thinking about “financial services” But we are. We help people and businesses move money and information every minute of every day. Our solutions connect financial institutions, corporations, merchants and consumers to one another, millions of times a day, behind the scenes, reliably and securely. We’re Fiserv, a global leader in Fintech and payments enabling innovative financial services experiences that are in step with the way people live and work today. The company’s approximately 44,000 associates proudly serve clients in more than 100 countries, so their customers, members and consumers can move money when and where they need it, at the point of thought. Our Aspiration is to move money and information in a way that moves the world. As a FORTUNE™ 500 company and one of FORTUNE Magazine World’s Most Admired Companies for the sixth consecutive year, we are committed to excellence and purposeful innovation. Explore the possibilities of a career with Fiserv and Find Your Forward with us.

We welcome and encourage diversity in our workforce. Fiserv is an equal opportunity employer/disability/vet"
3|Scrum Master|"Mobiquity is a digital engagement provider for more than 200 of the world’s leading brands. We are a collective of consultants, designers, developers, cloud advisors, and data scientists - spread across 3 continents and 9 offices - who create compelling digital experiences to help clients show they care to the people who matter most - their consumers, patients, and employees.
About the role
As a Scrum Master you will carry overall responsibility for the planning, coordination, communication and control of activities pertaining to program-wide technology initiatives for the agile team(s). You will engage with customer and ensure that business requirements are documented and outcomes are in line with our customer’s business objectives and meet defined success criteria (Quality, Scope, time and cost).
Moreover, you will work with Mobiquity, client and third partner teams on a wide spectrum of activities, including project and product requirements, user experience design, technical architecture and solution development.
The ideal candidate should also have experience managing software development projects for clients in the healthcare or life sciences space, preferably in a consulting/professional services capacity. Some travel to client sites may be required.
What This Job Entails:
Lead cross-functional teams in the development and successful completion of small through large scale initiatives across a diverse set of projects, including strategy, user experience design and software development.
Focus in this role will be on large programs (6-18 months).
Build rapport with team members and stakeholders so that they can “feel” when something is about to go wrong with the program, and can proactively work to mitigate risks
Acts as a “servant leader”, and helps the team negotiate between the development team members (including the Product Owner) and program stakeholders
Act as a change agent to ensure that the agile process is followed – including all the scrum ceremonies followed and deliverables are met.
Ensure that scoping, planning, estimating, and resource management activities are performed by the team
Ensures that the day-to-day progress of the team is tracked and communicated
Drives escalated issues to resolution, mediates split decisions and negotiates consensus, especially on major issues around scope, quality, budget, timelines and risks.
Responsible for the program goals and objectives to ensure overall program success, including customer satisfaction and Mobiquity financial goals.
Participate in the presales process by reviewing proposals and assessing overall program structure, risk, staffing requirements and ensuring alignment in order to achieve program success.
You are customer orientated. You love to work with a team, provide leadership and motivation to project team members throughout the program. You encourage teamwork, communication and coordination across the agile team and set clear expectations, objectives, assignments and timing.

The Skills We’re Looking For:
Strong focus on customer engagement. Experience with external customers is the must.
At least 3 years of experience as a Scrum Manager / or Agile PM in a professional services company managing the development or implementation of mobile, web applications and/or software products.
Experience with agile tracking tools, like JIRA, Rally or Version one is preferred.
Strong teamwork and interpersonal skills at all staff and management levels.
Business requirements gathering and documentation skills.
Excellent communication, collaboration, and facilitation skills.
Highly oriented on results. Ability to make the things happen
Experience in managing projects in a customer-facing environment.
Bachelor’s Degree or MSc, or equivalent relevant experience.
Nice to have - SAF experience (scaled agile framework) and healthcare domain experience.
Recruiting Agencies: While we really do appreciate what you do, and how challenging it can be, don’t do it. Please do not send us unsolicited resumes, either to our employees, job listings, or recruiting team. (We call those “free leads”). Mobiquity is not responsible for any fees related to unsolicited resumes.
Mobiquity is an equal opportunity employer. We feel strongly that the best ideas come from all sorts of directions and sources, and cutting ourselves off from anyone due to our own biases is simply bad business, as well as bad citizenship."
4|Scrum Master/Senior Project Manager|"Job Description

Job Description
Responsible for one or more complex project management or other process improvement initiatives
Passionate about Scrum, Kanban, Lean Thinking, Lean Startup, eXtreme Programming, SAFe, LeSS, etc.
Organize and lead Scrum ceremonies
Directs activities, monitors details, and sets priorities
Oversee and manage scope, timeline, quality, goals and deliverables that support business goals
Collaborate and communicate with main stakeholders
Prepare and present reports on the progress and success
Skills
Scrum Methodology
Project Task Estimation
Resource Scheduling
Waterfall and Agile methods
Work breakdown and critical path method
Stakeholder Management
Budget/Financial Management including Business Case completion
Executive communications for senior management

Req #: 190111994
Location: Plano, TX US
Job Category: Project Management
Employment Type: Full Time
Potential Referral Amount: 5000 US Dollar (USD)"
5|Senior Project Manager / Scrum Master|"Join our socially-minded and rapidly growing education company committed to making classrooms better for teachers and students. We are seeking a highly qualified Senior Project Manager and Scrum Master to successfully lead projects in our Digital Instructions group. Our teams within Digital Instructions group are building interactive ELA and Math lessons for grades K-8 students. In this role you play a critical role ensuring the products we build are on schedule, within budget and utmost quality. The role requires a proven track record of professional excellence and a passion to be the driving force behind developing great software with a laudable purpose.
Why join this team:
Curriculum Associates has been named for the five years in a row to be one of the top places to work in Boston. Our Digital Instructions teams are a true representation of our company culture with professionalism, commitment, and fun embedded in our daily work. You will get to see the direct impact that your work creates on kids.
The impact you’ll have:
Building strong relationships and trust
Planning, executing, controlling, and closing projects
Roadmap planning and budget management
Project kick off processes
Vendor management processes (contracts, invoice management, vendor relationships)
Managing project stakeholder communications, including weekly meetings
Managing the project schedule, risks, issues, costs, and action items, both within and external to an agile framework
Analyzing project health
Facilitating and moderating Kanban, Scrumban, or Scrum ceremonies and development process
Evolving & improving our existing agile development process
Encouraging self-organization by facilitating the appropriate delegation of tasks and responsibilities to appropriate team members
Facilitate and mediate conflicts within the agile teams
Coordinating dependencies across scrum teams in multi-scrum team environment
Utilizing and improving usage of JIRA as a tool to monitor and manage sprint success
Who we’re looking for:
Hands on experience with scope, schedule, cost, risk, resource, communications, procurement management of projects with $2M+ budgets and teams of 12+ distributed members
A deep understanding and the ability to apply both the theoretical and practical aspects of waterfall and agile hybrid development
Comprehensive understanding of Agile tools, techniques, principles and values
Proven experience managing complex web technology projects of various sizes for at least 5 years
Demonstrated experience with project scheduling tools, preferably Wrike, or Project
One plus year’s hands-on experience using JIRA to track and manage agile development, as well as collaboration tools such as Confluence
Demonstrated ability to manage multiple complex project simultaneously with minimal supervision
Someone who:
Fits in CA culture
Influences and leads development, quality, and product professionals
Fosters and maintains a collaborative team dynamic and trust
Solves problems and thinks critically
Plans and organizes (and re-organizes) in an environment of shifting priorities
Communicates clearly, both by speaking directly and writing concisely
Negotiates and manages conflict
Learns quickly and ramps up with minimal supervision
Continuously seeks and acts on feedback received to bring about positive changes
Preferably holds Certified Project Management Professional (PMI PMP)
Preferably holds a Certified Scrum Master (CSM)
Has experience leading a minimum of at least 3 distinct scrum teams (not simultaneously), in at least two different organizations
Holds a Bachelor's Degree, preferably in a computer science, information technology, or an equally technical discipline; or equivalent experience
We’d also love to see, though not required:
Experience in education technology
Project management and Scrum experience in an organization with primary revenue streams derived from content or software product development and sales

More about this role:
Location: North Billerica, MA
Starting date: ASAP
Compensation & benefits: Competitive salary with great benefits including health, dental, and vision insurance, employer contributed 401K.
At Curriculum Associates, we believe a diverse team leads to diversity in thinking, making our products better for teachers and students. If you read this job description, feel energized by what you see here, and believe you could bring passion and commitment to the role, but you aren’t sure you meet every qualification, please apply! Above all, we are looking for the right person!
Want to explore more? Check us out on social media:
www.facebook.com/CurriculumAssociates
www.twitter.com/CurriculumAssoc
www.instagram.com/Curriculum_Associates"
6|Project Manager - Scrum Master|"Why American Express?

There’s a difference between having a job and making a difference.

American Express has been making a difference in people’s lives for over 160 years, backing them in moments big and small, granting access, tools, and resources to take on their biggest challenges and reap the greatest rewards.

We’ve also made a difference in the lives of our people, providing a culture of learning and collaboration, and helping them with what they need to succeed and thrive. We have their backs as they grow their skills, conquer new challenges, or even take time to spend with their family or community. And when they’re ready to take on a new career path, we’re right there with them, giving them the guidance and momentum into the best future they envision.

Because we believe that the best way to back our customers is to back our people.

The powerful backing of American Express.
Don’t make a difference without it.
Don’t live life without it.

The world’s best colleague digital experience. That’s what we deliver. Everywhere. Every day.

American Express’s global employees and contractors (we call them colleagues) are served by an award-winning Digital Workplace team that enables communication, connection, collaboration and productivity – and we’re just getting started!

We’re looking for a customer-empathetic, product-orientated, problem solver to coordinate outcome focused improvements across multiple digital workplace product teams that super-charge the end-to-end journeys the enable how work is done at American Express.

Who you are:

You are a servant leader who loves nothing more than ensuring teams have all they need to do what they do best – delivering exceptional digital workplace products. Be it facilitating workshops to uncover the best solution to a strategic problem or coordinating product roadmaps to realize greater value.

You have a knack for technology, but only so that you can ask the poignant questions to get to the best solution and be a champion for the people who’ll use the journey. You are less concerned with the specific details of what is being worked on at any given time, and more interested in ensuring that teams are pulling in the same direction.

You help product teams see the big picture and rally around agreed problems and outcomes. You aren’t afraid of the complexities inherent in an interconnected enterprise ecosystem and love to help team’s problem solve how to not let these affect our colleague’s experience.

You are at home in a matrixed organization and enjoy the challenge of bringing your dynamic partners together around a shared vision. You lead by influence. You love to prove yourself through measurable results.

American Express aspires to provide the world’s best customer experience every day and to do that, the colleagues who work here need an extraordinary digital workplace. Are you ready to build the best digital workplace the universe has ever seen?

Are these things you like to do?
Use your knowledge of, and personal experience with, agile practices to help shape and optimize value providing structures that support our transformation to an organization focused on end-to-end colleague journeys.
Create and run processes and procedures that facilitate joined-up thinking and commitments so that product teams can work together seamlessly and add the most value.
Measure your success by how fast and frictionless it is for the team of teams to define, deliver, measure, review and take appropriate action to maximize the journey’s value.
Be uncomfortably open in all you do, breaking down siloed working through action and demonstration, as well as process.
Be a mentor, coach and guide to ensure product teams have all the support they need to be successful with this shift in mindset to thinking across multiple products, platforms, and functional owners.
Influence the work at hand by facilitating discussions and decision-making with journey team members on the best coordinated solution deliveries to strategic problems and coordinate a joined-up roadmap that that truly improve the colleague experience and deliver the greatest value for the work being done.
Not afraid to get it wrong. Have a love of learning and experimenting to continuously improve, making process and procedure improvements to streamline and optimize how we work together.
Partner with product teams to remove any impediments they can’t remove themselves that prevent them being able to prioritize this work in their backlogs.
Provide the necessary insights, and facilitate discussions, that enables product directors and owners to identify the difficult but crucial decisions surrounding the work we should not pursue so that we remain focused on the greatest value-add improvements that make the biggest difference to our colleagues.
Be metric-driven. Quantifying the value of a change to a colleague journey, tracking improvement over time, and partnering with diverse product owners to adjust plans if necessary.

Minimum Qualifications
Unrivalled passion to create the world’s best colleague digital experience
The ability to deliver insights about multiple products and their roadmaps in a way that generates a commitment to deliver on shared outcomes from the product teams.
Strong facilitation and communication skills without dictating a solution or direction.
A proven track record of building high levels of trust and creditability across an organization that allows you to influence without authority and develop followership.
Ability to influence and gain alignment at all levels of the organization including
senior leadership
Possess a high degree of technical savvy, with a keen ability to learn about new technology quickly and easily
Experience building, servant-leading and nurturing a “team of teams” that work together to offer a cohesive suite of products
Launched large-scale product offerings in a complex, enterprise environment
Shown how your exceptional collaboration with other departments has enabled superior products to be efficiently planned, deployed and maximized
3+ years of Scrum Master experience
SPC or SA certification required; RTE certification a plus

Employment eligibility to work with American Express in the U.S. is required as the company will not pursue visa sponsorship for these positions.

ReqID: 20001858
Schedule (Full-Time/Part-Time): Full-time
Date Posted: Feb 1, 2020, 8:16:37 AM"
7|Scrum Master/ Project Manager|"We are looking for a Scrum Master/Project Manager with .NET development background for our Fortune 500 client. Our company is a custom web-based application development firm. We specialize in custom Internet-based applications and CRM/Intranet development using the latest technologies. Team member must be motivated, self-disciplined and have the ability to perform various levels of client interaction. The ideal candidate for this position should be very flexible, intuitive, and capable of operating under a number of time sensitive situations. This position requires the highest level of customer service and satisfaction. Understanding and following the organization's goals, objectives, and policies are crucial.
Responsibilities will be managing a development team and coaching SCRUM/Agile across vendors and geographies. There will be a large focus on transforming current portfolios and projects to Agile. Other duties include general project management, assisting other project managers, directors and developers in determining client requirements, assisting in estimating, technical design, implementation, and support of custom web applications. Team member must be able to work independently and with other team members. Position will require some interaction with overseas clients and teams. This position will be telecommuting. Candidate must live in the United States. Living in Chicago IL, would be a plus. Candidate must be eligible to work in the United States. There will be some travel, mostly to Chicago IL. Possibly once a month for 3 to 4 days at a time. Team member must be very organized, driven and flexible with work hours. A strong analytical sense and knowledge of business rules in general will play a large part.
Summary:
Our client is a Fortune 500 insurance company. For this particular project we are a special team that works on several projects. We are looking for a ScrumMaster/Project Manager that can handle whatever is handed to them. If you are a hard core producer, have a positive driven attitude and have attributes consisting of hard working, producing results, and problem solving, you will be successful with our company.. Our team has exposure to the top levels of the client in their corporate and worldwide levels. Our team is not a “9 to 5” work and attitude team. Since we assist divisions in other countries, we do have some demands for off hours. We are looking for team members who are real producers that are confident in themselves that want to work hard, work on cutting edge technology and get compensated well. Each member reflects the team as a whole. We keep producing, we keep working. We do not have set time limit contracts with our team members (contractors). Our contractors have open ended contracts. If you have that entrepreneurial drive and feel you are a fit, please contact us.
Must be authorized to work in the U.S./Sponsorships are not available.
Full time and part time positions are available.
Required Skills:
5 years Scrum/Agile training and methodologies.
Must have certifications.
Engage stakeholders and develop requirements for enterprise products and solutions
Engaged with management to develop vision and goals for Agile implementation
Microsoft Project Management tools
Budgeting and finance pertaining to development projects.
Develop KPIs for management based on Agile methodology
Developing custom instructional training material
Teaching organization how to implement Scrum scaling framework
Training Scrum Teams and Management how to use Atlassian Tools (JIRA/Confluence)
Developed transition plans to guide organization to transition from a Waterfall to Agile environment
C#.NET development
Microsoft WC & WorkFlow Foundations
Desired Skills:
Insurance Industry experience
Non-Tech Skills:
Organized and communicative!
Strong analytical and interpersonal skills
Strong communication skills to include both verbal and written
Strong core values:
Delivering on your promise
Long-term relationships
Communicate clearly
Be proactive.
Scrum Master"
8|Scrum Master/Project Manager|"Mission of the Scrum Master/Project Manager:
The mission of the Scrum Master/Project Manager will be to provide Agile SDLC execution and delivery leadership in order to produce high-quality software solutions to our clients in the committed timeframes. The role requires a blend of leading-edge agile and scrum best practices supported by traditional project management principles and practices where necessary.
Responsibilities of the role:
Manage and deliver application development and enhancement efforts throughout the SDLC using the appropriate agile methodologies
Work with the product owner and development team to define the product backlog and delivery roadmap
Utilize Jira to actively groom the product backlog, plan sprints, and manage user stories, tasks, and bugs throughout the SDLC
Develop positive working relationships with external clients to plan work, resolve impediments, clarify user stories and requirements, manage expectations, communicate status, etc.
Perform project management task such as creating schedules, managing budgets, resource planning, working with sub-contractors, etc.
Manage sprint artifacts and events and proactively work with the team to identify and resolve impediments
Proactively work with the client, product owner, and delivery team to address schedule, scope, quality, and budget issues
Aid in development of user stories, user requirements, wireframes, etc.
Support software testing efforts by identifying new test cases, directing testing efforts, and assisting with the development and maintenance of test scripts
Build a trusting and safe environment where problems can be raised and resolved
Clearly articulate challenges and present thoughtful solutions at the necessary depth across both multi-functional teams and senior leadership
Effectively communicate project progress, dependencies, and impediments to clients and senior leadership
Travel to client sites if required
Skills, Qualifications, and Experience:
Must have the right to work in US
Bachelor’s degree or higher with at least 5 years of related experience
Required 4+ Years of demonstrated experience of delivering software solutions through the full SDLC
1-2 years of Scrum Master experience, CSM certification is a plus
1-2 years of Project Management experience
Technical background preferred, this is not a coding position, but you should be familiar with the terminology and very comfortable talking with developers
Prior consulting experience is preferred
Self-starter with a high degree of accountability and a continuous improvement mindset for yourself and your team
Ability to build relationships and effectively communicate up, down, and across organizations
Ability to take initiative and drive tasks and issues to resolution
Ability to work on multiple projects, set priorities and work independently when needed
Strong analytical and problem-solving skills"
9|Project Manager/Scrum Master - Richmond, VA|"Project Manager/Scrum Master - Richmond, VA - (SO00061623-1-1-1)

UST Global is a private high growth organization headquartered in Orange County California and is a leading provider of Advanced Computing and Digital Services for Global 1000 companies worldwide. Our next-generation digital consultancy is the ideal place for you to grow your career. Are you up for the challenge? Read on!
Description

Scrum Master
UST Global is looking for an active person who can work as a Scrum master for one of the leading healthcare providers in US. The candidate must possess excellent written and verbal communication skills with the ability and collaborate effectively with domain and technical experts in the organization.

Skills
facilitate daily scrum, sprint planning, sprint demo and retrospective meetings
Conflict resolution capabilities
Expert in planning
Good knowledge in Agile practices
Should be able to coordinate the team to achieve commom goals
Ability to resolve impediments
Work with multiple teams
Should be familiar with Agile SAFe Agile models
Should be familiar with JIRA, Confluence etc.
Excellent written and verbal communication
Skills in onsite offshore coordination
Should be able to host daily scrum meerings
Proper Jira updates

Experience
5 years of experience as Scrum master
Should be Cerfiied Scrum master
Healthcare domain expertise required
Experience of handling multiple teams at a time
Agile experience is must

Location
This position is based in Richmond, VA. UST will provide relocation assisstance

Qualifications

Prof Degree

Primary Location: US-VA-Richmond
Employee Type: Regular Employee
Job Type: Full-time
Job Posting: Feb 5, 2020, 7:59:43 PM

UST-Global is an Equal Opportunity Employer"
