|Title|Description
0|Inside Sales Representative and Enterprise Account Manager|"Our SaaS company is looking to expand our all-remote (work from home) inside sales team for our cloud storage, sync, and automation service, Files.com.

Files.com caters to a variety of small, medium, and enterprise businesses by providing compatibility with new and legacy automated systems without sacrificing a modern user experience.

You will be selling per-user packages with an ACV (annual contract value) of $300-30k+. Our marketing team invests heavily in paid online advertising and lead generation from events to deliver you a steady stream of highly qualified leads who already want the service we offer.

You will also be selling to channel partners, letting you create ongoing commissions based on the growth of your territory.

Files.com is easily demonstrated visually via screen sharing, offers a ton of value at its price point, and has 3 separate plan offerings to increase your commissions via upsells.

Additionally, you will also take on an Account Manager role for some of our existing customers, and have the opportunity to earn commissions from upselling existing customers.

About Files.com

Files.com is the new name for BrickFTP, a cloud storage service that has existed since 2009 and has over 1,700 paying business customers.

Our company consists of USA-based remote employees who work from home.

Our products and services are used by over 2,000 enterprises and SMBs, including Target, Canonical, UPS, Leica, DirecTV, GoPro, Marriott, and more.

We’re Bootstrapped, Profitable, and Growing

Our success comes from building a great service that solves problems for our customers, and our growth comes from expanding and improving our products as quickly as we can.

We believe that great products can only be built by great people. So we’re on a quest to find the smartest, most creative, and most motivated people, and create an environment in which they thrive.

We Are A Remote Company

You will work from home and have some flexibility to choose your working hours, allowing you to make time for family, recreation, vacations, or anything that is important to you.

You’ll take off 11 company-wide holidays per year as well as 20 days of PTO for vacations. You’ll have the time to take longer vacations and have fun.

Every quarter, you’ll travel to an in-person meeting with the entire team to meet and work together face to face. These meetings are in cities that are fun to visit. In the last few years, we’ve been to Austin, Orlando, New Orleans, San Diego, Las Vegas, and New York City.

We think that these in-person meetings are vital to the success of a remote team.

For our Inside Sales Executives and Account Managers, we look for the following:
Have at least 5 years of directly applicable experience.
History of selling software, cloud, or other telecommunications services to businesses.
Experience giving one-on-one sales presentations via remote video/screen sharing.
Able to participate in trade shows and in-person selling opportunities.
Knowing the line between healthy follow-up and being overly obnoxious, and then walking that line with every lead.
Professional phone demeanor and ability to communicate effectively via the phone.
Perfect grammar, professional tone, and friendly conversation flow via email and live chat.
Understanding of the technical aspects of hosting and cloud storage.
Interest in taking on additional roles within the Company and a commitment to growing your capabilities.

Engineering and coding experience is a major plus because some prospects are developers or IT people themselves.

Our Core Beliefs

Here are just some of our Core Beliefs:
We believe that allowing and supporting 100% remote work gives us access to great people we wouldn’t otherwise be able to hire. We tend to hire folks who are later in their careers, which means they usually have their family established somewhere. By offering remote work, we can hire the best people, no matter where they’re located.

We believe that the best way we can acquire top talent is by being an amazing place to work. Work from home, travel with the team, and surround yourself with top tier people at Files.com. Read about everything we’ve done to make working at Files.com great.

We believe in building products that we actually use ourselves. We are our own toughest critics and we put all of our products through their paces every day.

Salary, Pay, and Benefits

Files.com offers industry-leading salaries based on experience combined with unparalleled flexibility and other benefits to secure top talent.

You’ll take off 11 company-wide holidays per year as well as 20 days of PTO for vacations. Go have fun. Don’t work all the time.

We will provide you a laptop and a $1,000 signing bonus to purchase a new monitor, desk, or anything else that would help build or refresh your home office.

We’ll update your salary annually based on your performance, as reviewed by your peers.

We fully pay base plan health insurance premiums (exact plan details depend on your state of residence), and we’ll pick up the tab for 75% of your spouse or dependents if they wish to join your chosen plan. We want your family to be healthy.

Ready To Apply?

Working here isn’t for everyone, but if you think it might be for you and you have the required experience, please apply right here on this page.

At Files.com, we look for results, so our initial screening roundstarts by reviewing your previous results as a sales executive or account manager.

As part of your application, write a cover letter which should include the following:

Describe your typical strategy for understanding a new business and turning a lead into a sale.
Do you have any sales systems or strategies that you like to follow?
What personal traits make you a good salesperson?

You may also want to write about why this opportunity calls to you personally and why you see yourself as a good fit for Files.com."
1|Sales Account Manager- Dallas OR Houston|"The Sales Account Manager role at Kimberly-Clark Professional (KCP) plays a critical role in driving our regional strategy, delivering on key financial targets, and partnering with customers to deliver best-in-class experiences.
The ideal candidate for this role embraces an ambitious, consultative and agile mindset, strategically utilizes internal resources to help solve customer challenges, has an affinity towards technology, a storyteller who can deliver customer communication in multiple formats, and has a strong financial and operational acumen. The KCP Account Manager will leverage their experience to lead with empathy and provide solutions while at the same time focusing on what matters most: adding customer value and achieving overall sales goals, growth and profitability objectives in her or his respective region.
Account Managers will sell branded towel, tissue, PPE, and manufactured wiper products of KLEENEX®, SCOTT®, COTTONELLE®, KLEENGUARD, and WypAll B2B to the Office Building, Healthcare, Education, Lodging, Manufacturing, and other end user markets. Will prospect and work in conjunction with our network of distributor partners to identify end user needs and create new sales growth for our billion-dollar brands. The majority of the sales role will be face to face selling to key end user segments through distribution to achieve sales goals.
Territory: Dallas OR Houston
Key Accountabilities:
Build and maintain strategic relationships with distribution partners
Regularly engages existing targeted end user customers to understand their business needs and identify buying behavior/value drivers in order to best position current and new products and solutions
Develops & owns strong relationships with Distributor Sales Representatives (DSRs) and serves as a strong selling consultant to help jointly close sales when relevant
Collaborates with the Distribution Management teams and DSRs to initiate/build relationship with the potential end-user customers
Engages targeted distribution customers to understand their business needs/drivers and executes activities to support those needs
Monitors distributor partner performance and initiates actions to ensure KCP remains a priority supplier of choice
Utilizes end user marketing insights, prospecting techniques, and centrally developed lead campaigns to generate opportunities and close new business
Provides a holistic approach with customers utilizing data and insights from different sources
Builds and drives end user solutions to always maximize the customer’s experience while keeping KCP’s revenue in mind
Executes annual business plans to help maximize top-line and bottom-line growth and achieves volume, market share and profit/contribution objectives
Develops, interprets and translates key business and end user/distributor financials
Maintains a active pipeline in Sales Force and meets sales target for respective position
Advantageously positions KCP programs and products (branding, pricing, service level, and cost in use)
Proactively manages sales pipeline and accurate customer information in SalesForce Lightning and uses the relevant information to improve execution
Continually improves selling / prospecting skills (e.g., Challenger) and develops expertise in relevant industry verticals
Proactively uses social media platforms to identify leads and business opportunities, build relationships, and represent KCP’s brand
Key Competencies/Skills:
Business Acumen
Financial Acumen
Leveraging data/analysis to drive end-user opportunities
Prioritizing Stakeholder’s needs
Understanding of digital and customer transformation
Key Behaviors:
Learning Agility/Flexible learning style
Collaborative
Customer Focused
Resilient in face of adversity
Embraces change and technology
Passionate to succeed
Driven to win
Strive to be a Leader
Exceptional communication
Makes Decisions
Minimum Requirements:
2-5 years sales experience
Bachelor’s Degree preferred
CRM system knowledge –SalesForce Lightning, and pipeline management
Kimberly-Clark and its well-known global brands are an indispensable part of life for people in more than 175 countries. Every day, 1.3 billion people - nearly a quarter of the world's population - trust K-C brands and the solutions they provide to enhance their health, hygiene, and well-being. With brands such as Kleenex, Scott, Huggies, Pull-Ups, Kotex, and Depend, Kimberly-Clark holds No.1 or No. 2 share positions in more than 80 countries. With more than 140 years of history of innovation, we believe in recruiting the best people and empowering them do their best work. If fresh thinking and a passion to win inspire you, come Unleash Your Power at Kimberly-Clark.
Kimberly-Clark is an equal opportunity employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability status, protected veteran status, sexual orientation, gender identity, age, pregnancy, genetic information, citizenship status, or any other characteristic protected by law.
The statements above are intended to describe the general nature and level of work performed by employees assigned to this classification. Statements are not intended to be construed as an exhaustive list of all duties, responsibilities and skills required for this position.
This position may require a post-offer/pre-hire Physical Abilities Test (PAT) to confirm that individuals are able to perform the essential functions of the job.
K-C requires that an employee have authorization to work in the country in which the role is based. In the event an applicant does not have current work authorization, K-C will determine, in its sole discretion, whether to sponsor an individual for work authorization. However, based on immigration requirements, not all roles are suitable for sponsorship. This position is subject to drug and alcohol testing, including pre-employment testing.
Global VISA and Relocation Specifications:
This role is available for local candidates already authorized to work in the role’s country only. K-C will not provide relocation support for this role.
Primary Location
USA-TX-Dallas
Additional Locations
Worker Type
Employee
Worker Sub-Type
Regular
Time Type
Full time"
2|Account Manager - Sales Representative - Eastern NC Region|"Do you have a passion for the restaurant/food industry? If you
have the ability to develop long-term relationships based on
trust and integrity and can deliver value and solutions to our
customers, then this opportunity may be for you.

Cheney Brothers, Inc is searching for dynamic Sales
Representatives throughout areas in Eastern North Carolina, from
the Raleigh-Triangle area to the Wilmington Coastal area. Our
sales representatives are at the front lines of serving our
customers—which includes independently operated restaurants, as
well as schools, hotels, or anyone that needs quality food
products.

Our Sales Representatives deliver a unique customer experience
that provides Business solutions (such as menu development and
business profitability) and Product solutions (such as quality
local products, hand-cut Certified Angus Beef, fresh seafood,
and artisanal cheeses, and full broadline product mix).

Cheney Brothers, Inc is positioned for an explosion of
sales growth in the North Carolina, South Carolina, and Virginia
markets and our talented team of sales representatives are
leading this charge. Our sales team is customer-focused with
the ability to collaborate and serve existing customers and
identify and grow new sales opportunities. They successfully
utilize internal resources such as Product Specialists, Business
Developers, Purchasing, and Operations to support the growth of
their territory.

We offer excellent benefits and we reward sales team members
that grow sales and achieve profitability goals. Requirements: REQUIRED QUALIFICATIONS:
Must have experience in the culinary or restaurant and/or food
and beverage industries; or sales experience in other relevant
industries
Must be able to build relationships and provide value to our
customers
Ability (and desire) to listen, present, and effectively
communicate
Entrepreneurial spirit with ability to work independently and
successfully juggle and complete multiple priorities; as well as
be a team player
Must maintain a valid driver’s license and insurance coverage
in accordance with company policy Address: We are looking for sales representatives who live in the: Cary,
Durham, Garner, Clayton, Fayetteville, or Myrtle Beach markets. Reference ID:"
3|Sales Account Manager-Missouri or Kansas|"Great that you're thinking about a career with BSI!
The Sales Account Manager is responsible for managing and cultivating new business opportunities for the development of long-term business partnerships by creating superior value for our clients. The individual will focus on analyzing customer needs to create a full solution from our product portfolio. He/she will also be responsible for building value for our solutions and increasing revenues through renewable business relationships.
Essential Responsibilities:
Propose and close contracts that will achieve total revenue growth (sales and annuity), profit and customer satisfaction plans
Identify, articulate and implement products, solutions and services to customer requirements
Articulate and position full spectrum of BSI products and services to key departmental decision makers
Maintain sufficient knowledge about the portfolio of products offered by BSI
Identify and qualify clients by establishing a sales/business relationship to ensure an active and continuous new and expanded business pipeline that exceeds strategic, long term, annual, and quarterly targeted sales projections
Understand the full meaning of his/her responsibility to maximize revenue
Generate long-term leads through needs analysis
Constantly define and redefine his/her area of responsibility and market situation and review the pertinence of plans and changes them when advisable
Maintain an active reporting procedure in accordance with departmental and BSI needs
Develop a business plan for territories that are consistent with short-range and long-range sales goals
Maintain a sales forecasting capability that will in the short-term make possible efficient scheduling provide superior customer service and controlling costs; and in the long-term, provide information for business planning, resource planning and budgeting
Stay well informed on industry changes, participate where possible in organizations directly involved with our prime markets, and continually work to improve sales techniques and sales knowledge
Travel
Regular domestic local travel within geographic area. This includes both land (car) and air travel.
This is a great opportunity for an ambitious professional to gain visibility within the organization.
We seek someone who meets all of the following criteria:
BS/BA Business preferred or equivalent job experience
Minimum 2 years experience in quality system driven operations experience or full solutions sales in a professional consultative environment
Strong communication and presentation skills
Have integrity, ensuring that business is conducted in an ethical manner
Have commercial focus, understanding customers' needs and adding value
Are proactive with people and can lead by example
Our ambition is to be recognized and valued globally as a best-in-class company; a client-driven, efficiently-run, growing business. BSI has come a long way since being founded in 1901. Today, we're a global business services organization, respected world over for the development of standards; assessment of management systems; testing and certification of products and services; providing software solutions; and the delivery of training courses. We offer diverse career paths from auditing to sales, product development to finance, and from IT to marketing.
With around 4,000 employees working with over 80,000 clients in 172 countries it means that career opportunities are vast. BSI challenges mediocrity and complacency to help embed excellence into the way people and products work. That means showing businesses how to improve performance, reduce risk and achieve sustainable growth.
Our Vision: ""To be the global business improvement partner of choice.
Our Mission: ""To help organizations embed excellence"", and states our shared purpose.
Our Values: ""Integrity - Continual improvement - Inclusivity"", guide us in the way we work and help us deliver our Vision and Mission.
What we offer: BSI offers a competitive salary, group-sponsored health and dental, short-term and long-term disability, a company-matched 401k plan, company paid life insurance, 11 paid holidays and 4 weeks paid time off.
BSI is an Equal Opportunity Employer and we are committed to diversity.
Our Excellence Behaviours: Customer Focus, Accountability, Respect, Communication, Achievement & Leading and Managing others.
BSI is an Equal Opportunity Employer and we are committed to diversity"
4|Account Manager - Channel Sales|"Come join the US Accountant Sales Team supporting the Small Business & Self-Employed Group (SBSEG) as a TSheets Account Manager - Channel Sales Consultant. As a TSheets Account Manager Sales Consultant, you will be responsible for driving revenue growth. You will engage with accountants and small businesses discussing their goals, challenges they face aligning those with Intuit’s time tracking and other ecosystem offerings. Measures of success include welcoming our newest TSheets customers and ensuring they have a successful start and achieving revenue quota. In this role, you will be making 100% outbound calls to a targeted group of prospects.

US Accountant Sales is a multi-channel organization focused on building customer confidence by providing Small Business expertise in every interaction. Our Sales Consultants are expected to understand how Small Businesses work, know the Intuit ecosystem of products, and tailor solutions to specific customer needs uncovered in the sales conversation. Across all of our channels and workgroups, Accountant Sales is responsible for acquiring new users and growing our existing customers’ usage of the Intuit ecosystem of products."
5|Sales Account Manager|"Company description:
At Red Hat, we connect an innovative community of customers, partners, and contributors to deliver an open source stack of trusted, high-performing solutions. We offer cloud, Linux, middleware, storage, and virtualization technologies, together with award-winning global customer support, consulting, and implementation services. Red Hat is a rapidly growing company supporting more than 90% of Fortune 500 companies.
Job summary:
The Red Hat Sales team is looking for a Sales Account Manager with experience selling high-tech offerings and services to join us in Raleigh, NC. In this role, you will focus on increasing Red Hat’s market share and revenue. You’ll be a key part of our field sales team and work within a defined territory or industry vertical, building new relationships and expanding and improving business with existing customers. You'll oversee all aspects of sales, including price negotiations, contract development, and order fulfillment. As a Sales Account Manager, you will also manage internal associates from sales engineering support and technical support teams. Applicants may reside in the Charlotte, NC area or Virginia area.
Primary job responsibilities:
Sell Red Hat’s solutions and services in your assigned territory or industry
Meet quantitative and qualitative performance goals and set high standards for presentation of key messages and the Red Hat value proposition
Create tactical sales plans and guide the extended sales team in implementing them to maximize revenue and growth
Meet an assigned sales quota by acquiring new customer accounts and expanding existing relationships
Reach out to prospective customers, providing technical and administrative information about our offerings, demonstrations, and price quotes
Accurately forecast and close sales in alignment with the company goals
Required skills:
5+ years of sales management experience with a demonstrated record of success, preferably in the software or IT industry
Bachelor's degree, preferably in business, marketing, or other technical discipline
Solutions sales mentality in an environment with multiple offerings and services
Solid understanding of the complete sales cycle management from prospecting to closing
Ability to work as part of a team while demonstrating flexibility and initiative
Excellent communication skills
Experience with cloud, virtualization, middleware, and emerging technologies is a plus

Red Hat is proud to be an equal opportunity workplace and an affirmative action employer. We review applications for employment without regard to their race, color, religion, sex, sexual orientation, gender identity, national origin, ancestry, citizenship, age, uniformed services, genetic information, physical or mental disability, medical condition, marital status, or any other basis prohibited by law.

Red Hat does not seek or accept unsolicited resumes or CVs from recruitment agencies. We are not responsible for, and will not pay, any fees, commissions, or any other payment related to unsolicited resumes or CVs except as required in a written contract between Red Hat and the recruitment agency or party requesting payment of a fee."
6|Sr. Sales Representative, National Accounts, Walmart Account|"Job Title: Sr. Sales Representative, National Accounts, Walmart Account (US Remote)
About our group:
Our sales group is responsible for strategic North American retail partnerships. As our Sr. Sales Representative for National Accounts, you will be part of a dynamic and agile team where you will utilize your finely tuned relationship-building skills to develop high-value partnerships with key big-box retailers.
About the role- you will:
Provide product solutions, develop new business, ensure satisfaction and maintain relationships with key accounts that are of significant strategic importance to the organization
Drive business results and growth with regional contacts, along with new business with targeted national retail account opportunities
Develop strong relationships with key buyers and decision-makers and coordinate executive level relationships between key accounts and Seagate's internal executives
Manage the sales process, including qualifying new products, developing sales forecasts, negotiating contracts, working with pricing team to set prices, and overseeing account management
Create an awareness and demand for company products with existing accounts and with new strategic targets defined in business development responsibilities
Having broad expertise and complex industry knowledge, you will use skills to contribute to development of company objectives and principles and to achieve goals in creative and effective ways
Work on significant and unique issues where analysis of situations or data requires an evaluation of intangibles
Exercise independent judgment in methods, techniques and evaluation criteria for account management.
Create formal networks involving coordination among groups
Consult with customers to explore modifications and new products, which may create a technological or marketing shift
Act independently to determine methods and procedures on new or special assignments
Demonstrate leadership to improve the effectiveness and motivate efforts toward the achievement of team goals
About you:
Strong written and verbal communication skills
Results driven
Passion for technology
Excellent communication skills
Self-Starter
Ability to work with a great deal of autonomy
Strategic thinker
Your experience includes:
Direct sales experience within the Retail/Consumer industry, Consumer Packaged Goods (CPG), working with merchants/buyers
Working with merchants/buyers at Walmart
Business development experience
Strong skills in MS Office & sales analytics
Bachelor’s degree and/or equivalent experience
You may also have:
Consumer storage industry experience is an asset
Experience creating and extracting reports using Retail Link
Location: US-Remote, preferably Central US or West Coast
Travel: 20%
Job Family: Sales Reps"
7|Inside Sales Account Manager|"The primary responsibility of the Inside Sales Account Manager Serve as the liaison to existing health care customers in the assigned territory (including hospitals, SNF, ALF, hospice and insurance companies). To ensue service levels are met and guide them to the appropriate channels within our organization. Identify and build relationships with key personnel at client facilities to promote services and assist with identification of new business opportunities.
Essential Functions:
The Inside Sales Account Manager may be assigned one or more duties. These duties may include, but are not limited to, the following:
Work with Business Development Leadership to create and implement a growth and retention plan for your territory.
Monitor customer activity levels and be pro-active to ensure business is being maintained and not lost to competition
Ensuring positive client relations, high customer service standards, maximize services at each facility and identify new and potential business
Work with billing to ensure AR is up to date, should participate on facility aging meetings
Supports quotes, RFPs, and contract renewals process
Prepare marketing reports and presentations to support the team’s external meetings
Present in-services at client facilities and represent the company at industry events
Conduct sales on the phone and person with accounts and leads
Visit customers as necessary ( approximately 10%-30% of your time)
Initiate and maintain routine contacts ( includes calls, emails, visit)
Gather competitive data and understand the players in your territory
Use the marketing tools available to you to educate and support clients and reinforce our brand position as a provider/partner
Partner with Operations to respond to, document, and ensure follow up to service inquiries received from customers in a timely manner
Meet or exceed daily /weekly/monthly performance metrics.
Follow the company sales process including disciplined documentation company CRM tool
Adherence to all company policies and procedures

Additional Duties:
The Inside Sales Account Manager may be assigned other duties at the discretion of the Senior Account Manager, Account Manager, and C.O.O."
8|Dell EMC Sr. Account Manager, Inside Sales Renewals|"Job Description
Sr. Account Manager, Inside Sales Renewals

Franklin, MA

Dell provides the technology that transforms the way we all work and live. But we are more than a technology company — we are a people company. We inspire, challenge and respect every one of our over 100,000 employees. We also provide them with unparalleled growth and development opportunities. We can’t wait for you to discover this for yourself as a Sr. Account Manager on our Maintenance Contract Renewals sales team in Franklin, MA

At Dell, we create products and services that change the game for good. We’re always innovating, always improving and always moving forward. We like to think our customers will be with us for life. That’s where our Renewals team comes in. Implementing and managing contract renewal initiatives, they make sure renewals of our relationships go smoothly. They get things done on time, every time. Striving to retain every customer, they protect our contract revenue stream. And they make sure customers appreciate valuable upgrades and add-ons. Using a combination of Customer Service and Inside Sales skills, this person will be responsible for implementing and managing contract renewal initiatives with existing Dell EMC business customers. Maintains contract revenue base at highest possible retention rate and protects contract revenue stream. Ensures timely contract renewal and promotes awareness of upgrade and add-on opportunities to the business customers of Dell EMC. Ensures competitiveness of company's maintenance contracts. Works towards assigned contract revenue goals.

Key Responsibilities:
Duties include driving specific renewals targets and technical refresh sales programs with existing business customers, inbound/outbound calling, and prospecting to grow Dell EMC's market share.
Responsible for handling customer sales inquiries with the goal of maintaining or upgrading existing customers' products and services.
Advises customer of expiring support or maintenance contracts, pricing, and new service offerings.
Will have sufficient knowledge to understand customer's embedded base of products as well as new product features and their benefits to customers.
Initial and on-going company provided training programs ensure the latest technology competency in this highly sought after professional development position.

Essential Requirements:
Understanding of Dell EMC's products (data storage, data security, data analytics, and/or data virtualization) and their value add to the customer.
Education/Experience Required: Bachelor’s degree or 4+ years relevant customer service/inside sales experience in a business to business work environment.
Strong Customer Service skills
Highly refined Communication skills

Desirable Requirements:
Interpersonal skills
Prior outstanding results
Problem solving skills
Business writing skills

Benefits
We offer highly competitive salaries, bonus programs, world-class benefits, and unparalleled growth and development opportunities — all to create a compelling and rewarding work environment.

If you’ve got the talent to build strong bonds with key customers, this is your opportunity to develop with Dell.

Dell is committed to the principle of equal employment opportunity for all employees and to providing employees with a work environment free of discrimination and harassment. All employment decisions at Dell are based on business needs, job requirements and individual qualifications, without regard to race, color, religion or belief, national, social or ethnic origin, sex (including pregnancy), age, physical, mental or sensory disability, HIV Status, sexual orientation, gender identity and/or expression, marital, civil union or domestic partnership status, past or present military service, family medical history or genetic information, family or parental status, or any other status protected by the laws or regulations in the locations where we operate. Dell will not tolerate discrimination or harassment based on any of these characteristics. Dell encourages applicants of all ages. Learn more about Diversity and Inclusion at Dell here.
Job Family: Sales Inside-Sales Job ID: R058557"
9|Sales Representative/Account Manager|"Electronic Systems Solutions, Inc. is seeking experienced candidates with sales and/or engineering experience in RF “In Building Communications Solutions” – Distributed Antenna Systems (DAS). ARC certification and/or Certificate of Fitness from FDNY is a huge plus! Area covered is mainly NY/NJ Metro area.
ESS is a leading service organization providing two-way radio equipment & systems, Point to Point Voice and Data solutions, Networking/Broadband/WIFI, Voice Recording, E911 communication equipment, In Building Voice and Data solutions, and Tower services providing customers with integrated solutions.
Successful candidates will be motivated, customer service oriented, and professional in appearance.
Qualifications:
Sales and/or Engineering design experience in RF “In Building Communications Solutions” – Distributed Antenna Systems (DAS).
ARC certification and/or Certificate of Fitness from FDNY is a huge plus!
3+ years experience in the telecommunications or IT Networking field
Willingness to learn new technologies
Enthusiastic, self-starter with a good personality
Strong customer facing and relationship building skills
Must be effective in working both independently and in a team setting
Strong listening and question based skills
Ability to uncover business challenges and develop a custom solution to solve those challenges
Experience with enterprise applications, security, systems management, and business continuity solutions a plus
Computer skills
Clean driver record and valid driver’s license
We offer very competitive compensation packages including company vehicle and benefits such as medical, dental, life, disability, 401(k), and financial planning. Ongoing training and certification opportunities for the right candidates."
