|Title|Description
0|Associate Information Security Administrator|"Summary
What if there was a different way of looking at money? A way that says it’s not how much we have that makes us happy—but what we do with it. For over 100 years, Thrivent has been helping members see money for what it really is—a tool, not just a goal—that can help us live more content, confident and generous lives.

The Associate Information Security Administrator works under the direction of an experience staff member to assist in the provisioning and deprovisioning of access and identity configurations associated with Thrivent’s Identity & Access technologies. Applies standard operating procedures to tackle problems and perform task. Delivers results in a timely and efficient manner.

The Associate Information Security Administrator, will support the Identity & Access needs of Thrivent Financial in order to continually support and improve the controls and security posture within our Information Technology environment.

The Information Security Administrator facilitates identity and access management execution. The Information Security Administrator is responsible for ensuring that customer requests related to security access are completed in a timely manner and within Information Security policies and guidelines. The Information Security Administrator will perform ticket management and participate in project meetings.
Job Description
Job Duties and Responsibilities
General
Work under the direction of an experienced staff member
Execute provisioning and deprovisioning configuration tasks per defined SOPs.
Solve problems and perform tasks using existing processes or solutions
Understand and apply standard operating procedures to meet the business needs and requirements
Successfully deliver the right results in a timely and effective manner
Specific
Understand and apply Thrivent Information Security Policies, standards, and processes to ensure the confidentiality, integrity, and availability to Thrivent information and information systems.
Support assigned security technologies in accordance with Thrivent security policies, standards, and SOP’s
Provide assistance with other deployed security technologies and support team members
Support regulatory examinations and internal audits as needed
Provide on-call support in support of assigned Information Security deployed technologies
Ability to understand potential cyber threats and respond appropriately across all IT services, technologies and processes
Required Job Qualifications
Bachelor’s degree or equivalent experience in computer science, information security, business, mathematics or related field preferred
0-3 years of applicable experience
Demonstrated leadership on small scale projects impacting strategic priorities
Other Critical Factors
Information security mindset
Learning Agility
Collaboration
Analytical Thinking
Critical Thinking
Strong Organizational Skills
Diagnose, troubleshoot & perform repairs on responsible technologies
You don’t need to be Christian to join our team. You do need the passion to guide our members to be wise with money, equipping them to live more content, confident and generous lives. Thrivent provides an Equal Employment Opportunity (EEO) without regard to race, religion, color, gender, gender identity, national origin, age, disability, marital status, citizenship status, military or veteran status, sexual orientation, sex, genetic information, or any status or condition protected by applicable local, state or federal laws. This policy applies to all employees and job applicants."
1|VP-Information Security|"10 years plus experience leading information security programs, preferably in a financial institution environment
Excellent conceptual and critical thinking skills and sound judgment, with strategic orientation and ability to perform tactically, as required
Working knowledge of information technology and cyber security practices
Demonstrated experience in information technology, information security, IT compliance, privacy or a data protection-related function
Proven understanding of information security risk assessment and technology risk management and compliance procedures and methodologies
Experience in providing technical expertise appropriate to knowledge of risk and cost-effective delivery of essential security services
Demonstrated ability to communicate within all levels of an organization, including executive management
Proven experience building credibility and collaborating with senior business leaders, internally and externally, and the ability to communicate technical concepts to non-technical audiences
Ability to function in deadline intensive environment, managing multiple responsibilities while effectively focusing on priority issues.
Strong knowledge of regulatory rules, standards and best practices that govern information security in the financial services industry, such as FFIEC/NCUA, BSA and state and federal privacy laws
Understanding of PCI Data Security Standard compliance requirements
Ability to drive change
Ability to lead and manage a team
Excellent analytical, organizational, business acumen, and report writing skills
Previous Financial Services experience
Certified Information Systems Security Professional (CISSP), Certified Information Security Manger (CISM), or similar credential is desired
Bachelor’s Degree in Computer Science, Information Systems Management, Business Administration, Risk Management, or a related field
Senior leadership role that provides leadership for and directs activities of an enterprise-wide information security program that directly impact the member experience and the safety and soundness of the credit union. Organizes, plans, directs, and controls all aspects of information security program, including the strategic vision for data protection across the organization, establishment of governance, and advisement of information security efforts. Accountable for executing and delivering on all information security initiatives. Supports the achievement of strategic objectives through appropriately balancing internal controls, efficiency, and convenience, in order to provide high level of personal service and high-quality products to our members across multiple delivery channels. Performs periodic evaluation of policies and procedures and modifies as needed. Ensures that established policies, procedures, legal, and regulatory requirements are followed. Ensures that services are delivered professionally and efficiently.

https://player.vimeo.com/video/311337222
Required Education :
Bachelor’s Degree in Computer Science, Information Systems Management, Business Administration, Risk Management, or a related field

Preferred Education :
10 years plus experience leading information security programs, preferably in a financial institution environment
Excellent conceptual and critical thinking skills and sound judgment, with strategic orientation and ability to perform tactically, as required
Working knowledge of information technology and cyber security practices
Demonstrated experience in information technology, information security, IT compliance, privacy or a data protection-related function
Proven understanding of information security risk assessment and technology risk management and compliance procedures and methodologies
Experience in providing technical expertise appropriate to knowledge of risk and cost-effective delivery of essential security services
Demonstrated ability to communicate within all levels of an organization, including executive management
Proven experience building credibility and collaborating with senior business leaders, internally and externally, and the ability to communicate technical concepts to non-technical audiences
Ability to function in deadline intensive environment, managing multiple responsibilities while effectively focusing on priority issues.
Strong knowledge of regulatory rules, standards and best practices that govern information security in the financial services industry, such as FFIEC/NCUA, BSA and state and federal privacy laws
Understanding of PCI Data Security Standard compliance requirements
Ability to drive change
Ability to lead and manage a team
Excellent analytical, organizational, business acumen, and report writing skills

Company Overview :
English"
2|Information Security Analyst|"Application Procedures
For more information and to apply, please click here."
3|Engineer, Information Security|"AutoNation Headquarters
Position Summary:
The Information Security Engineer’s primary responsibilities include data loss prevention, incident response, infrastructure security compliance, vulnerability identification and remediation, threat hunting, and application security. Designs and implements security technology solutions to support operational needs.

Organizational Relationships:

The incumbent works with the Information Technology team and the business to support secure information process and technology.

Job Responsibilities (indicate % of time devoted to each):
Participate as part of the Information Security Operations team. Some after hours and weekend work required.
Act as part of the Cyber-Incident response team.
Make recommendations to management on enhancements to existing and new security hardware, software or related tools. Assist in evaluating, planning, configuration, and implementation of new/existing security applications/tools.
Perform risk analysis for corporate functional and technical areas relevant to data security.
Configure, implement, monitor, and support security software/systems that will help ensure compliance with regulatory, industry, and corporate policies and procedures. This includes but is not limited to IDS/IPS (Host/Network/Wireless), secure file transfer, DLP, full disk encryption, firewall rule assessments, log management/correlation, secure password storage/retrieval, application whitelisting, vulnerability management, threat hunting, etc.
Ensure security best practices are identified and integrated into all facets of the project including network, system designs/configuration, and implementations.
Identify and recommend potential areas where existing data security policies and procedures require change, or where a supplement is required to mitigate key security risks. Partner with various business units to enhance security policies/procedures.
Create and maintain data security documentation, policies and procedures.
Assists in the identification, response, investigation, and remediation of potential breaches of and issues surrounding data security.
Responsible for executing programs for user awareness, compliance monitoring, and security compliance; maintaining information security devices and software; monitoring compliance procedures; and resolving security policy issues.
Responsible for providing support during off hours in an on-call rotation.
Provide technical guidance on security/privacy policies and standard development and Subject Matter Expert (SME) to enterprise architects and other technologists.
Responsible for supporting programs for compliance monitoring, and security compliance; maintaining information security devices and software; monitoring compliance procedures; and resolving security policy issues.
Perform other job related functions as assigned.
Demonstrate behaviors consistent with the Company’s Vision, Mission, and Values in all interactions with customers, co-workers and suppliers.
Adheres to all company policies, procedures and safety standards
Qualifications (Required):
Degree required in Computer Science, Information Technology, or related field of study; or any equivalent combination of relevant background, skills and experience.
5+ year’s relevant experience in Information Security in medium to large organizations.
Hands-on experience with two or more of the following: data loss prevention technologies, incident response and remediation, network security services, ethical hacking and vulnerability scanning, firewall and intrusion detection technologies.
Other complimentary skills include: application development background and strong working knowledge of security code review processes.
High degree of proficiency MS Office Suite, Outlook & Internet applications.
Strong analytical, prioritizing, interpersonal, problem-solving, and presentation, project management (from conception to completion) and planning skills
Strong verbal and written communication skills.
Strong negotiation/mediation skills.
Demonstrated collaborative skills and ability to work well within a team.
Ability to work with and influence senior management.
Ability to work in a fast-paced and deadline-oriented environment.
Self-motivated with critical attention to detail, deadlines and reporting.
Qualification Preferred:
One or more security certifications such as CISSP, CISA, SANS GIAC, or relevant security certification(s) required. Additional technology certifications such as MCSE, CCNA/CCNP, PMP, etc. preferred.
Next Possible Position:

Senior Engineer, Information Security

Physical Requirements:
Extended working hours may be required as dictated by management and business needs.
Ability to travel (25%) to multiple facilities as business needs dictate.
May be required to lift, push, or pull materials weighing up to twenty (20) pounds.
May be required to sit and review information on a computer screen for long periods of time.
May require repetitive motions of the hands and wrist related to writing and typing at an electronic keyboard.
The intent of this job description is to provide a representative summary of the major duties and responsibilities performed by incumbents of this job. Incumbents may be requested to perform job related tasks other than those specifically presented."
4|Information Security Engineer|"We’re looking for an Information Security (InfoSec) Engineer to join Yelp’s globally expanding Security team and help keep our corporate infrastructure, network, end-points, and applications safe. Are you someone who’s passionate about understanding the behavior of malware, threat hunting, or digital forensics? Do you want to design, build, or optimize solutions to identify suspicious activities and threats, or interested in building a custom anomaly detection system? As an InfoSec Engineer, you’ll work on improving our corporate security posture and capabilities. Together with our awesome corporate security engineers, you’ll build custom solutions with creativity and automation to effectively and efficiently perform DFIR that works at scale. You’ll also partner with our corporate infrastructure and IT teams to help architect our future authentication, identity management, and network security systems.
Where You Come In:
Improve and enhance incident detection and response capabilities.
Identify vulnerabilities through assessments, working with internal partners towards remediation of Yelp’s corporate environment.
Set policies and best security practices for IT, Infrastructure, and other internal organization and third-party integrations.
Build tools and infrastructure for automating incident detection and response, including scalable forensics.
Design, develop, and operationalize monitoring, correlation, and alerting capabilities for Yelp’s corporate network, infrastructure, and applications to identify suspicious or anomalous behavior.
Participate in incident response and forensics collection and analysis.
Help perform threat modeling across business applications and infrastructure integrations.
Be the security evangelist and drive security awareness across the organization
What it Takes to Succeed:
At least five years of professional experience working to secure consumer websites, mobile applications, or large corporate IT infrastructure
Active participation in incident response investigations and digital forensics
Experience leading threat modeling, mitigation discovery, and manual/automated verification of mitigations
Software development experience in Python, JavaScript, Objective-C, or similar
Experience working on building custom tools and solutions to help mature monitoring, detection, and response capabilities, including automating cumbersome manual processes
Network penetration testing experience
Passionate about educating others in security best practices
Threat hunting experience in a large corporate infrastructure environment
BS or MS in Computer Science, Engineering, or a related technical discipline, or equivalent experience"
5|INFORMATION SECURITY ENGINEER|"Information Security Engineers, help to safeguard organization’s computer networks and systems by planning and executing security measures to monitor and protect sensitive data and systems from infiltration and cyber-attacks. This role establishes and increases corporate data and systems by protecting system boundaries, keeping computer systems and network devices hardened against attacks and securing highly sensitive data

Minimum qualifications: Technical training in Computer Technology required. CCISP Certification preferred. Lean Six Sigma White Belt and/or ITIL certification preferred. Experience with network security and networking technologies and system, security, and network monitoring tools preferred. Hands on experience in security systems, including firewalls, intrusion detection systems, anti-virus software, authentication systems, log management, content filtering, etc. preferred. Experience in building and maintaining security systems preferred.

Location: Adena Health System · INFO TECHNOLOGY
Schedule: Full Time, Variable"
6|Head of Information Security|"JOB SUMMARY:
------------

Reporting to the Chief Technology Officer, this position is responsible for establishing and maintaining the information security program across the enterprise to ensure information assets and associated technology, applications, systems infrastructure, and processes are adequately protected. The Head of Information Security is responsible for identifying, evaluating, reporting on, and mitigating legal and regulatory, IT, and cybersecurity risk to information assets (data, networks, applications, and people), while supporting and advancing business objectives. The Head of Information Security must be knowledgeable about both internal and external business environments and will ensure proper governance and maintenance of information systems to support security objectives across the enterprise.

The Head of Information Security will create and own the security policy, setting the tone for the security program and practices. He/she will be accountable for the content of the security policy and will have a collaborative approach with internal business compliance groups. The VP will identify applicable regulations and the status of regulatory compliance on the practice of information security. Security of data is of utmost importance and centralization, tokenization, encryption, and masking, along with confidentiality, integrity, and availability will be incorporated. The Head of Information Security will reveal and quantify third-party exposure and will employ protections accordingly. A vast array of functions, processes, and procedures to measure the maturity of the cybersecurity and risk management is expected, and it is critical to provide a clear understanding of security goals and risk management objectives. A function of the position is to continually measure and manage cyber risk and establish and cultivate a risk management program.

Specific experience and proven success in leading and administering digital security and governance programs including the establishment of strategy and frameworks are required. Additionally, knowledge of hybrid ecosystem architectures, including custom, open-source, and third-party (both on-premise and SaaS/cloud) is required.

DUTIES AND RESPONSIBILITIES
---------------------------

Provide hands-on administration of user provisioning, including security profiles and permissions, for all Holding Company level systems, including the development of administrative tools and procedures to be utilized in all Portfolio companies
Define and drive an Information Security Roadmap program to improve the security posture at all levels of the organization, including key initiatives such as Data Loss Prevention, Email Encryption, Privileged Access Management, and Active Directory Remediation
Drive and provide regular reporting on the status of the information security program to senior business leaders as part of a strategic enterprise risk management program
Play a key thought leadership and operational role in driving the security design and implementation workstream within the SAP Finance Transformation program
Create and facilitate an information security governance structure in collaboration with the compliance team to define and enforce critical policies, processes, and training across the enterprise
Create and manage a targeted information security awareness training program for all employees and contractors and establish metrics to measure the effectiveness of this security training program
Provide clear risk mitigating directives for operations and projects with components in IT, including mandatory application controls
Determine the information security approach and operating model in consultation with stakeholders and aligned with the risk management approach and compliance monitoring of nondigital risk areas
Develop, implement, and monitor a strategic, comprehensive information security program to ensure appropriate levels of confidentiality, integrity, availability, safety, privacy, and recovery of information assets owned, controlled and/or processed by the organization
Develop and enhance an up-to-date information security management framework
Develop and maintain a document framework of continuously up-to-date information security policies, standards, and guidelines
Create a framework of roles and responsibilities regarding information ownership, classification, accountability, and protection of information assets
Facilitate a metrics and reporting framework to measure the efficiency and effectiveness of the security program, facilitate appropriate resource allocation, and increase information security maturity
Coordinate with the Technology Steering Committee to build alignment and ensure that information security requirements are implicit in IT architectures and security is built-in by design.
Work with the compliance team to ensure that all information owned, collected, or controlled by or on behalf of the company is processed and stored in accordance with applicable laws and other global regulatory requirements, such as financial, lending, and data privacy
Ensure that security is embedded in the project delivery process by providing appropriate information security policies, practices, and guidelines
Oversee technology dependencies outside of direct organizational control that includes renewing of contracts and the creation of alternatives for managing risk
Manage and contain information security incidents and events that protect corporate IT assets, intellectual property, regulated data, and the company's reputation
Monitor the external threat environment for emerging threats, and advise relevant stakeholders on the appropriate courses of action
Develop and oversee effective disaster recovery policies and standards to align with the enterprise business continuity management (BCM) program goals
Coordinate the development of implementation of incident response plans and procedures to ensure that business-critical services are recovered in the event of a security event; provide direction, support, and in-house consulting in these areas
SKILLS / KNOWLEDGE / ABILITIES
------------------------------

Strong knowledge of information security best practices, standards, and frameworks, such as ISO/IEC 27000, NIST 800-53, and PCI DSS
Proven track record and experience in developing information security policies and procedures, as well as successfully executing programs that meet the objectives of excellence in a dynamic business environment
Financial Services industry experience strongly preferred
Extensive experience with hybrid infrastructure with an extensive cloud ecosystem required; deep expertise with ERP systems (SAP), Microsoft Azure and Office 365, and AWS strongly preferred.
Competencies:
Strategic thinking, roadmap development, and deliver formal and informal People Leadership
Complex problem solving
Project Management, work prioritization and administration
Strong written and verbal communication and presentation skills
Exceptional soft and interpersonal skills, including teamwork, facilitation, and negotiation
Excellent planning and organizational skills
Comfortable, experienced, and accomplished at working with business executives, and able to diplomatically push back and educate leaders at all levels
EDUCATION AND EXPERIENCE
------------------------

Bachelor's degree in computer science, engineering, or related field of study
10+ years of experience in a combination of risk management, information security, and IT, with 3+ years in a leadership role
CERTIFICATIONS AND LICENSES
---------------------------

Professional security management certification such as CISSP, CCISO, CISM, and/or CISA
PHYSICAL DEMANDS AND WORK ENVIRONMENT
-------------------------------------

The physical demands described here are representative of those that must be met by an employee to successfully perform the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.

While performing the duties of this job, the employee is regularly required to sit and use hands to finger, handle, or feel objects, tools, or controls. The employee frequently is required to talk and hear. The employee is occasionally required to stand; walk; reach with hands and arms. The employee is rarely required to stoop, kneel, crouch, or crawl.

The employee must regularly lift and/or move up to 10 pounds. Specific vision abilities required by this job include close vision, and the ability to adjust focus. The noise level in the work environment is usually moderate.

------

EEOC
----

777 Partners is an Equal Opportunity Employer. All aspects of consideration for employment and employment with the Company are governed on the bases of merit, competence and qualifications without regard to race, color, religion, sex, national origin, age, disability, veteran status, sexual orientation, or any other category protected by federal, state, or local law."
7|Director of Information Security|"Description:
The Director Information Security is accountable for ensuring appropriate controls are in place for the security of information assets. The DIS safeguards information by seeing that security risks are identified, assessed and accurately reported. Additionally, the DIS is charged with ensuring local procedures and activities comply with all regulatory requirements and internal policies, procedures, guidelines and standards. The DIS is the center of competence for Information Security providing an advisory services role and acting as the focal point for security compliance related activities and responsibilities.

Role:
Diligently maintain SHR’s Information Security Framework and underlying policies, procedures, standards and guidelines
Take the lead on developing, maintaining and updating the Information Security Strategy and Information Security Program
Actively ensure appropriate administrative, physical and technical safeguards are in place to protect SHR’s information assets from internal and external threats
Meticulously identify, introduce and implement appropriate procedures, including checks and balances, are in place to test these safeguards on a regular basis
Thoroughly conduct and complete annual reviews and audits as required engaging both internal business partners across the organization and external resources
Make it a priority to see that disaster recovery and emergency operating procedures are in place and tested on a regular basis
Act as the committed owner of the security incident and vulnerability management processes from design to implementation and beyond
Passionately manage and assist in performing on-going security monitoring of information systems including assessing information security risk through qualitative risk analysis on a regular basis, conducting functional and
gap analyses to determine the extent to which key business areas and infrastructure comply with statutory and regulatory requirements, evaluating and recommending new
information security technologies and counter-measures against threats to information or privacy, and developing security reports and dashboards
Ensure effective staff training programs are in place to increase security awareness across SHR
Maintain and encourage open and honest business relationships within the team and throughout the credit union
From a distance, make a difference in the lives of our members by helping our team members make members’ financial dreams come true
Be a role model for SHR’s organizational culture by creating a positive impact at every touchpoint with people, with every word you say or put in print and everything you do Jo Job Description– Information Security Officer
Collaborate with your peers and stakeholders to add to the collective innovative thinking that can drive new business ideas for SHR
Actively participate in community events as part of SHR’s overall commitment to Corporate Social Responsibility
Exude your upbeat energy and enthusiasm each and every day
Align your values with the Mission, Vision and Values of SHR
Communicate in a fashion that is respectful and well understood
Utilize Lean methodology to streamline work processes and realize cost and resource efficiencies
Consider health & safety as a primary concern to ensure the overall well-being of your team and members
Perform other duties as we may need you to do .
Requirements:
Have worked hard for your recognized industry certification such as CISSP, CISSLP, GIAC or other security certification at a similar level
Possess over the top problem solving and negotiation skills
Demonstrate an in-depth knowledge of Information Security risk and industry best practices
Be quick to respond to requests for service from all of your clients
Be flexible and adaptable to changing priorities while keeping your eye on the prize
Openly share your knowledge with the team
Genuinely care about people
Inherently demonstrate a high level of integrity and be trustworthy
Be more than approachable with your superior interpersonal skills
Innately demonstrate superior written and verbal communication skills
Use your courage to take action in difficult and challenging situations and deal with uncertainty
Do the right things for the right reasons
Be aware of and mitigate enterprise risk factors and ensure compliance with applicable regulations, legislation and SHR policies and procedures
Be willing to work flexible hours including evenings and weekends as the job demands and travel as required"
8|Information Security Consultant|"About the Role
As an Information Security Consultant, you will deliver risk and compliance services/assessments to mitigate existing and future security risks. You will also propose security controls for long-term solutions in a Healthcare environment while working closely with clients and partnering with your internal Leadership team and colleagues.

The Ideal Candidate
Someone who can execute and conduct consulting engagements and information security risk assessments based on industry standards (HIPAA/HITRUST, NERC, PCI-DSS, GLBA, FFIEC, SOC2, NIST, ISO) onsite with clients while providing superior customer service and fostering those relationships to build trust to secure future business. Ability to respond to advisory service requests to address and answer client questions using information security management and strategic guidance to develop the client’s information security programs. Exceptional writing skills needed to deliver reports detailing findings and associated recommendations for information security programs to help meet the client’s security and compliance standards.

Minimum Qualifications
Bachelor’s a Degree in a technical discipline or equivalent work experience in IT and/or Security.
2+ years’ experience in security or risk management, performing security assessments in a client-facing/consulting role.
Professionalism, problem-solving, customer facing and handling skills, time management, written and verbal communication, presentation skills, active listening, flexibility.
Working knowledge of risk and security frameworks, standards, and best practices (e.g. HIPAA, COBIT, NIST, ISO 27001/2).
Ability to think holistically and identify areas of technical and non-technical risk.
Experience writing technical reports and presenting to non-technical audiences.
Comfortable working in ambiguous and/or undefined situations.
Must be available for regular travel.
Relevant risk and/or security certification(s) preferred (CISSP, CISA, CISM, C-Risk or equivalent).

About CynergisTek
CynergisTek is a top-ranked cybersecurity and information management consulting firm dedicated to serving the healthcare industry. CynergisTek offers specialized services and solutions to help organizations achieve privacy, security, compliance, and document output goals. Since 2004, the company has served as a partner to hundreds of healthcare organizations and is dedicated to supporting and educating the industry by contributing to relevant industry associations.

CCPA Privacy Notice
https://cynergistek.com/wp-content/uploads/2020/01/CCPA-Employee-and-Job-Applicant-PRIVACY-NOTICE.pdf"
9|Information Security Engineer|"About the Role
As an Information Security Engineer, you will perform and deliver written and verbal technical security risk assessments using various frameworks to assist clients in mitigating existing and future security risks based on industry standards (NIST, ISO, SANS, Critical Security Controls). Clients also will require your expertise and guidance on advisory questions ranging all verticals of information security program management.

The Ideal Candidate
Someone who can execute, and Conduct information security risk assessments based on industry standards (NIST, ISO, SANS Critical Security Controls) onsite with clients while providing superior customer service and fostering those relationships to build trust to secure future business. Ability to respond to advisory service requests to address and answer client questions using information security management and strategic guidance to develop the client’s information security programs. Exceptional writing skills needed to deliver reports detailing findings and associated recommendations for information security programs to help meet the client’s security and compliance standards.

Minimum Qualifications
Bachelor’s Degree and/or relevant security certifications are a plus but not required.
Healthcare experience is a plus.
Experience working in security or risk management, performing security assessments in a client-facing/consulting role.
Professionalism, problem-solving, customer facing and handling skills, time management, written and verbal communication, presentation skills, active listening, flexibility.
Working knowledge of risk and security frameworks, standards, and best practices (e.g. NIST, ISO SANS Critical Security Controls).
Ability to think holistically and identify areas of technical and non-technical risk.
Experience writing technical reports and presenting to non-technical audiences.
Must be available for regular travel 30-60% with valid driver license with a clean record and ability to rent a car.

About CynergisTek
CynergisTek is a top-ranked cybersecurity and information management consulting firm dedicated to serving the healthcare industry. CynergisTek offers specialized services and solutions to help organizations achieve privacy, security, compliance, and document output goals. Since 2004, the company has served as a partner to hundreds of healthcare organizations and is dedicated to supporting and educating the industry by contributing to relevant industry associations.

CCPA Privacy Notice
https://cynergistek.com/wp-content/uploads/2020/01/CCPA-Employee-and-Job-Applicant-PRIVACY-NOTICE.pdf"
