|Title|Description
0|System Administrator|"Overview:
GENERAL DESCRIPTION OF POSITION
This position is responsible for the upkeep, configuration, and reliable operations of computer systems, especially multi-user computers, such as servers and workstations. Works with users and vendors to troubleshoot hardware and software issues while maintaining knowledge of the ways people within the organization use various systems and applications. Seeks to ensure that the uptime, performance, resources, and security of the computers managed meet the needs of the users. Evaluates and installs patches and resolves software related problems.
Additionally, the System Administrator will install new software releases, system upgrades, system backups & recovery, provide routine automation, maintain security policies, and offer technical support for projects while maintaining the essentials such as operating systems, business applications, webservers, email, and PC's. This position will also ensure the successful integration of processes and methodologies to ensure performance of infrastructure systems.
Responsibilities:
ESSENTIAL DUTIES AND RESPONSIBILITIES
Demonstrate enthusiastic support of the corporate mission, core values and long-term objectives. Performs job duties within our bylaws, regulations, Board of Directors' policies, established internal and external service standards and our work procedures.

Administer and manage virtual server and desktop environment.

Analyze system logs and identify potential issues with computer systems; monitor, maintain, and administer Active Directory, DNS, DHCP, Group Policy, WINS and other domain related management systems.

Introduce and integrate new technologies into existing data center environments.

Monitor network infrastructure to ensure network is operating at optimal levels; take/recommend proactive action when necessary.

Provide support to users in operation of software and hardware. Complete licensing registrations for software and hardware purchases.

Perform daily backup operations, ensuring all required file systems and system data are successfully backed up to the appropriate media.

Perform routine audit of systems and software.

Apply operating system updates, patches, and configuration changes.

Install and configure new hardware and software.

Install new/rebuild existing servers and configure hardware, peripherals, services, settings, directories, etc. in accordance with standards and project/operational requirements.

Troubleshoot any reported problems.

Interact and negotiate with vendors, service providers, and contractors to obtain infrastructure services and products.

Maintain current knowledge of computer technology and suggest new ways to improve efficiency and service delivery. Back-up Desktop Support Specialist and Network Administrator as required.

Perform any other related duties as required or assigned.
Qualifications:
QUALIFICATIONS
To perform this job successfully, an individual must be able to perform each essential duty mentioned satisfactorily. The requirements listed below are representative of the knowledge, skill, and/or ability required.

EDUCATION AND EXPERIENCE
Knowledge of a specialized field (however acquired), such as basic accounting, computer, etc. Equivalent of four years in high school, plus night, trade extension, or correspondence school specialized training, equal to two years of college, plus 4 years related experience and/or training, and 12 to 18 months related management experience, or equivalent combination of education and experience.
EEO Statement:
Arkansas Federal Credit Union is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, religion, color, national origin, gender, gender identity, sexual orientation, age, status as a protected veteran, among other things, or status as a qualified individual with disability."
1|System Administrator|"Overview:
Ovation Travel Group is an independently owned, $1.4 billion travel company with experienced travel professionals in more than 30 locations throughout the United States and United Kingdom, and operating in 100+ countries globally. With over 720 employees, Ovation provides business travel services, bespoke luxury travel experiences, and meeting and special events planning for over 700 professional organizations and over 300,000 travelers. For over 35 years, Ovation has provided seamless, cost-effective travel solutions to individual travelers and professional organizations in such industries as finance, law, technology, biotech, advertising, entertainment, consulting and other professional services firms.

Ovation Travel Group is seeking a System Administrator to join our growing and evolving Travel Technology team. The ideal candidate for this position is a motivated, team-oriented individual with a passion for technology. The system administrator will play a key role in the evolution of our IT security initiative, as well as assisting with exciting current and future IT projects.
Responsibilities:
Responsible for configuration and maintenance of Windows servers and underlying Microsoft + 3rd party services
Assist support team with infrastructure related ticket escalations
Monitor infrastructure health and performance
Monitor and manage Cisco AMP, Cisco Umbrella and Webroot dashboards to identify concerns and/or areas of improvement regarding workstation/server security
Maintain and administer Windows Server patching schedule
Assist with infrastructure related projects
Work closely with development, support and travel technology teams to deliver reliable, high performance infrastructure solutions to support technology initiatives
Work closely with managed services partner to maintain network and virtual infrastructure
Qualifications:
3-5 years experience as a System Administrator (or similar) role in a corporate setting
Bachelors Degree in Information Technology or related subject preferred
Strong working knowledge of:
Virtualized Server Infrastructures
Microsoft Server Operating systems and services
Server 2008, 2012, 2016
Windows 7 and 10
Active directory
Exchange
IIS
Office 365
Sharepoint
Experience working with anti-virus, anti-malware and behavior monitoring security applications
Experience with Cisco AMP, Cisco Umbrella and Webroot a plus
Experience with Azure IaaS a plus"
2|System Administrator I|"As a member of the infrastructure team, the Systems Administrator I position provides support for data center server systems and operations. Manage, maintain and support global systems environments across multiple locations and countries. Responsible for configuring server hardware and software to meet our global business needs. Serve as a point of contact for systems support teams, network users and communicate with other business units to resolve hardware, software and other technical issues.
Essential Job Functions:
Install and configure data center hardware and software
Provide operational support for Windows Server (emphasis on Windows server 2012 R2 and 2016) including monitoring server performance and service availability within compliance to Service Level Agreements
Respond to alerts and incidents and troubleshoots issues and escalates to higher tier support
Day-to-day administration of Active Directory, including but not limited to add/move/change requests, DHCP, DNS, GPO
Monitor performance and maintain systems according to requirements
Performs data backup and recovery
Provides weekly reports for data protection results, security summaries, server update status, data center systems status (redundant power system, chiller operations, generator testing results)
Administers and maintains variety of services
Responsible for updates on servers and appliances
Schedule and monitor 3rd party maintenance services in data center
Participate in on-call rotation
Position Requirements:
3+ years experience supporting a Microsoft enterprise technologies (Active Directory, GPO, DHCP, DNS,DFS, Print services , Files share etc.)
3+ years experience managing NTFS and file share permissions
3+ years experience managing and troubleshooting Windows Servers
3+ years experience with VEEAM Backup & Replication or similar enterprise backup solution
3+ years experience managing virtual machines in VMWare VCenter
Must posses excellent communication and interpersonal skills
Must be highly motivated and must work well within a team environment
Must posses an excellent work ethic
Must be willing to be in on-call rotation and offer weekend support as needed.
Preferred:
MCSA certification
Experience with Powershell
Experience with Linux command line
ITIL
Equal Opportunity Employer/Protected Veterans/Individuals with Disabilities
The contractor will not discharge or in any other manner discriminate against employees or applicants because they have inquired about, discussed, or disclosed their own pay or the pay of another employee or applicant. However, employees who have access to the compensation information of other employees or applicants as a part of their essential job functions cannot disclose the pay of other employees or applicants to individuals who do not otherwise have access to compensation information, unless the disclosure is (a) in response to a formal complaint or charge, (b) in furtherance of an investigation, proceeding, hearing, or action, including an investigation conducted by the employer, or (c) consistent with the contractor’s legal duty to furnish information. 41 CFR 60-1.35(c)"
3|System Administrator 4-IT|"System Administrator 4-IT-200004JJ

No Visa Sponsorship is available for this position.
Preferred Qualifications

We are looking for a strong Service Reliability Engineer (SRE) to join our Service Ops team. You will leverage excellence in communication, technical/business analysis, problem solving and attention to detail to methodically resolve issues. Technically, you will understand the full stack of the services you support (Network to Application) and are able to dig deep into the service to determine how to best mitigate customer impact. Further, you will drive improvements through the development of tools and engage partner teams to drive down incident counts, reduce severity of events and minimize Time to Mitigate.
As a member of the Oracle Cloud Operations team, you will be surrounded by “willing to help” individuals representing some of the brightest and most innovative minds in the industry. You will be a part of an organization that prides itself on providing training, empowerment, and career progression.
Responsibilities:
Communicate with professionalism and precision to internal and external customers during high priority situations.
Identify and work with Development to implement opportunities for automation.
Manage the coordination, documentation and tracking of critical incidents ensuring rapid and complete issue resolution and appropriate closed loop to customers and other key stakeholders.
Work upstream with Development and Operation teams to develop and maintain standard operator procedures and troubleshooting guides that improve our operations.
Participate in the technological analysis related to the multiple Oracle applications operational and internal tools.
Identify and deploy durable solutions to the different complex challenges related to the Oracle Cloud Applications.
Leading contributor individually and as a team member, providing direction and mentoring to others.

General Knowledge, Skills, Abilities, and Background:
College diploma or university degree in the field of computer science or equivalent or 5+ years equivalent work experience in infrastructure, systems, engineering or development environment.
Excellence in verbal and written communication. Ability to communicate with all levels during critical events.
Strong Technical background with an ability to troubleshoot issues impacting large scale service architectures and application stacks.
Demonstrable experience in one or more scripting/programming languages: Powershell, Python, Perl, Bash, Java, Ruby etc.
Familiarity with TCP/IP protocols, firewall management, and database administration.
Experience installing, configuring, and maintaining Linux, Linux services, and Linux networking
Configuration and maintenance of applications such as Apache Webserver, Apache Tomcat, Weblogic, Memcached, Squid, MySQL, MS SQL, NFS, DHCP, NTP, SSH, DNS, SALT, Puppet, Git, SVN, API & CLI, Jenkins, mcollective
Hardware and Software Load Balancing, basic knowledge of firewall and networking architecture.
Knowledge of JIRA, Confluence, Oracle RAC, Oracle Database, Oracle WebLogic Server, Oracle Business Intelligence, Windows server, Oracle Linux or RedHat Linux, ZFS Appliance, SQL Developer, SQL Plus, application integration, Virtualization and Container based technologies a plus.
Good interpersonal skills with ability to present ideas in business-friendly and user-friendly language. Team oriented.
Highly self motivated and directed with keen attention to detail.
Proven analytical and problem-solving skills with strong customer service orientation.

Detailed Description and Job Requirements
Define, design, and implement network communications and solutions within a fast-paced, leading edge database/applications company.

Responsible for creating and implementing system enhancements that will improve the performance and reliablility of the system. Manage the load configurations of a central data communication processor and make recommendations for purchase or upgrade of data networks. Coordinate terminal orders and cable installation, network system planning, upgrading, monitoring, testing, and servicing. Approves action requests and specifies purchase requisitions. Negotiates and places orders with common carriers. May play a team leader role for developing System Administrators.

Leading contributor individually and as a team member, providing direction and mentoring to others. Work is non-routine and very complex, involving the application of advanced technical/business skills in area of specialization. Eight years of related experience in a medium to large network distributed and computing environment. BS in Computer Science or related field.

Oracle is an Affirmative Action-Equal Employment Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, sexual orientation, gender identity, disability, protected veterans status, age, or any other characteristic protected by law."
4|System Administrator II|"Primary Purpose
The System Administrator is responsible for monitoring, maintaining and supporting systems, servers and networks availability, integrity and security based on company policies, practices and compliance requirements. This includes Data Center services, production, engineering and maintenance operations support. The System Administrator will maintain the essentials such as operating systems, business applications, security tools, web-servers, email and PCs.
Specific Key Accountabilities
Responsible for maintenance, configuration, and reliable operations of computer systems, network servers, and virtualization.
Responsible for capacity, storage planning, and database performance
Install and upgrade computer components and software, manage virtual servers, and integrate automation processes.
Monitor, maintain and support all IT Service Offerings to ensure the availability and security of mission critical systems based on company policies and procedures
Monitor and maintain the availability of the company’s servers, application, and network to anticipate and resolve concerns before they impact production.
Monitor, maintain and support Data Center Services
Monitor, maintain and support terminal service systems/clients across all plant.
Manage/coordinate and drive onboarding of new users with Human Resources
Monitor, evaluate and modify system and network performance
Work closely with network resources to monitor, maintain and support various subnets across the campus network for both Business and Engineer networks.
Maintain minimum inventory requirements for IT equipment to ensure availability for the business
Evaluate and modify system’s performance.
Analyze, isolate and troubleshoot issues reported by users
Administer servers, laptop and desktop computers, printers, routers, switches, firewalls, phones, company mobile phones, software deployment, security updates and patches
Work with multiple teams to ensure regular backup operations and implement appropriate process(es) for data protection, disaster recovery, and failover procedures.
Lead desktop and helpdesk support efforts, making sure all desktop applications, workstations, and related equipment problems are resolved in a timely manner with limited disruptions.
Leadership Competencies, Technical Skills Requirement
Associates or Bachelor’s degree in IT Computer Science, Information Technology, System Administration, or a closely related field, or equivalent experience required.
3-5 years’ of database, network administration, and system administration in Microsoft Operating Systems, Active Directory. Linux experience a plus.
Experience working in a Cisco based Network Environment using CLI and other tools.
Working knowledge of VMWare and Hyper-V virtual Technologies. (Knowledge of Thin-Manager a plus)
Experience with scripting and automation tools.
Ability to diagnose general PC hardware and software problems
Self-motivated with a strong sense of customer service
Solid organizational skills
Ability to work under pressure and manage multiple, concurrent and conflicting priorities and deadlines.
Ability to effectively communicate, both in writing and verbally, with people of various educational and technical backgrounds
Experience using Procurement System in SAP preferred
Speaks English; some French or German a plus
Ability to occasionally work in an industrial environment with continuous sitting and standing, walking, bending, reaching, climbing, and kneeling
Equal Opportunity Employer Minorities/Women/Veterans/Disabled
An Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, or protected veteran status and will not be discriminated against on the basis of disability.
#LI-BP1"
5|IT System Administrator II|"The evolution of College of Engineering computing infrastructure, as well as the significant growth in scope and scale of computing support needs has shifted the focus of this position. Though the basic skill-sets are largely the same, the duties and responsibilities have evolved to address the changing needs of the College of Engineering. This position is to develop, implement, configure and maintain Mosaic supported computing hardware and software solutions required to support academic and research activities essential to the mission of the William States Lee College of Engineering. This will include development of specialized embedded / high performance computing solutions to support hardware/software-in-the-loop testing in the Energy Production and Infrastructure Center (EPIC) labs, as well as support for College of Engineering shared computing resources.
Minimum Qualifications:
Bachelor's degree. (Preferred Computer Science or Electrical Engineering and Computing or closely related discipline.)
Position Number:
004719
Posting Date:
12/03/2019
Closing Date:
Open Until Filled
American Recovery & Reinvestment Act Funded:"
6|System Administrator|"System Administrator
Who We Are and What We Value:
We Are Innovative, Ethical, Collaborative, and Curious. These words don’t just define us, but describe what it’s like for our clients to work with us. We create loyalty and customer experiences through our innovative technology for major brands all over the world. We get to do fun, amazing, award-winning work for some of the biggest brands in entertainment, retail, banking, restaurant and telecommunications. If you love learning about the newest industry trends in an environment where exciting things happen every day, then you will love it here, as much as we do.
Who You Are and What You'll Do:
Passionate about your field of work
Can move past obstacles during troubleshooting
Ability to effectively communicate with both technical and non-technical teammates
What You’ll Do Day to Day:
Maintain the integrity of systems and services
Monitor the performance of systems and services
Execute current projects
Identify future projects
Assist the Help Desk with escalated issues
What's It like to Work Here?
Kobie is a team. We challenge one another to design and engineer the world's best loyalty programs, supporting our clients from program design through rewards fulfillment. And we have a ton of fun along the way. We're extremely passionate about our clients, bringing fresh perspectives and diverse point of views. Together we embrace solutions and drive change. Every single one of us impacts our culture and has a real stake in the development of Kobie's rapidly growing business.
Knowledge, Skills and Experience That You Will Need to Be Successful in This Role:
Windows Server
Active Directory Domain Services
Active Directory Rights Management
File and Storage Services
Group Policy Management
IP Address Management (IPAM) Server
Print and Document Services
Remote Desktop Services
Volume Activation Services
Web Server IIS
Windows Server Update Services
Office 365
Exchange Online
OneDrive
SharePoint
Teams
VMware
ESXi
vCenter
vRealize Suite
Network
DHCP
DNS
Load Balancers
TCP/IP
Security
Common Vulnerabilities and Exposures
Network Access Control Lists
SSL Certificates
Additional Knowledge, Skills and Experience That Will Help You Stand out as a Candidate:
Prior experience working for a software company
Relevant certifications
Scripting and automation skills
Understanding of Agile methodology
Understanding of Cloud technology
Understanding of Container technology
Understanding of VoIP technology"
7|System Administrator - Office 365 - Corporate|"POSITION SUMMARY

The System Administrator is responsible for incident restoration, request fulfillment, change execution, and proactive environment health checks for a variety of technology disciplines. Additionally, the role maintains and works to improve the quality of team centric processes and technical documentation to facilitate consistent and standardized execution. A successful individual in this role exhibits high caliber attitudes and behaviors and easily works with technical and non-technical resources alike to drive toward common goals and positive outcomes for our clients. Continual improvement is a foundational requirement for everything we do.

This role is a member of the highly dynamic and engaged Infrastructure Services group reporting through the CTO and responsible for foundational technology delivery of storage, virtualization, LAN/WAN/VOIP, server OS, and digital workspace services. Role and technical skillset specialization will align with the direct reporting team within Infrastructure Services. Infrastructure Services provides the operational backbone, new build design and architecture, thought leadership, standards evolution and delivery to improve customer experience and enable business outcomes. Health First recognizes and invests in the strategic role technology delivery plays in better servicing our community and improving the quality of care for our clients.

PRIMARY ACCOUNTABILITIES

Creates and maintains documentation for responsible systems including, but not limited to hardware and software inventory, configuration, procedures and workflow as appropriate.
Constructively participates in projects as assigned by management by completing assigned milestones and deliverables on time as stipulated in the plan, anticipating and preparing for issues identified in the critical path to maintain overall project schedules and build compliance.
Adheres to Information Technology Change Management Policies and Procedures and process timelines, minimizing and mitigating the risk of changes to the production environment.
Participates in Health First approved educational programs and activities related to the HIT mission to keep abreast of current trends, best practices, and new developments in healthcare information technology as they relate to specific job responsibilities.
Abides by established Health First Information Security policies and procedures and works to improve the overall security posture of associated role technologies.
Provides customer support within the priority and case closure standards as agreed to in
the departmental Service Level Agreement documentation.
Foster teamwork and cooperation amongst the team members and others they work with to maintain a positive working environment
Maintain on-call schedule and coverage for all Health First Facilities
Identifies and recommends opportunities for operational and process efficiencies
Qualification:
MINIMUM QUALIFICATIONS

Associate’s degree or higher
A minimum of three years of relevant and verifiable IT/technical experience (five years of relevant experience can be substituted for degree requirement)
Two or more industry certifications preferred
Knowledge of ITIL best practice service management and Lean concepts preferred
Up-to-date knowledge of technology landscape and healthcare industry preferred
Highly articulate and able to convey important messages in a clear and compelling manner
Demonstrated ability to manage ambiguity, adaptable to changing situations
High integrity and compatibility with Health First I-CARE (Integrity, Compassion, Accountability, Respect and Excellence) Values

PHYSICAL REQUIREMENTS

Able to enter information using hand/wrist dexterity
Able to sit for extended periods of time
Able to operate and have access to a motor vehicle
Able to work extended hours, including nights or weekends, as necessary"
8|System Administrator **|"SimVentions, consistently voted one of Virginia's Best Places to Work, is looking for a Systems Administrator to provide system administration for RDT&E and Lab infrastructure and establishes and maintains security as it relates to users, software, and systems.
Responsibilities:
Plan and coordinate the installation, testing, operation, troubleshooting, and maintenance of hardware and software systems.
Manage accounts, access to systems and equipment; maintain systems configuration
Manage the installation and integration of systems fixes, updates and enhancements.
Required Skills and Experience: Five years of Windows and Linux systems administration
IAT Level 2 certification with an Operating Systems certification
Education: Preference will be given to candidates with a bachelor’s degree from an accredited college or university in an engineering, scientific, or technical discipline.
Location: Dahlgren- On base
Clearance: Interim Top Secret
** This position is expected to start after 3/16/ 2020

Why Work for SimVentions?
SimVentions is about more than just being a fun place to work. We are a family of like-minded individuals who care for, support and encourage each other. We are here to imagine, create, explore, discover, and do great things together.
Support Our Warfighters
SimVentions is a proud supporter of the U.S. military, and we take pride in our ability to provide relevant, game-changing solutions to our armed men and women around the world.
Drive Customer Success
We deliver solutions that go beyond the expected. This means you can expect to work with a team that will do whatever it takes to ensure our customers are successful and happy with our results.
Get Involved in Giving Back
We believe that one of the best ways to be a well-rounded company is to have well-rounded employees, and one of the ways we encourage that is by providing a wide range of service opportunities for our team members throughout the year.
Build Innovative Technology
SimVentions takes pride in it's innovative and cutting edge technology, so you can be sure that whatever project you work on, you will be having a direct impact on our customer’s success.
Work with Brilliant People
At SimVentions, we don’t just hire the smartest people. We hire experienced, creative individuals who are passionate about what they do, and who embody the culture that we have created here.
Create Meaningful Solutions
We always have a wide variety of challenging, meaningful problems to solve at SimVentions, which span the whole range of our six core disciplines.
Employees who join SimVentions will enjoy benefits like:
The impact benefit – work on projects that directly impact the safety of our country
The purpose benefit – be part of something bigger where our profits help the needy
The co-worker benefit – work with the best and brightest people in the business
The dress code benefit – business casual. We like to be comfortable while we work
The healthcare benefits – one of the best packages in the industry
The bacon benefit – if the CEO eats the last piece of bacon you get to blast him with Nerf darts
The breakfast benefit – the “C’s” fix you breakfast once a year
The food benefits – we have a lot of food around here
Other Perks:
On-site Chaplain and prayer room
Lots of employee-appreciation events throughout the year
Excellent working facilities and tools to get your job done
Regular communication (“All-Hands”, “SimV Share”, “Imagineering Day”) to stay connected to SimV culture, stay abreast of what is happening in the company, and meet new faces while eating good food
SimVentions sports teams and workout groups
Employee led interest groups for personal and professional development
What you bring to the table…
Equal Opportunity Employer/Protected Veterans/Individuals with Disabilities
The contractor will not discharge or in any other manner discriminate against employees or applicants because they have inquired about, discussed, or disclosed their own pay or the pay of another employee or applicant. However, employees who have access to the compensation information of other employees or applicants as a part of their essential job functions cannot disclose the pay of other employees or applicants to individuals who do not otherwise have access to compensation information, unless the disclosure is (a) in response to a formal complaint or charge, (b) in furtherance of an investigation, proceeding, hearing, or action, including an investigation conducted by the employer, or (c) consistent with the contractor’s legal duty to furnish information. 41 CFR 60-1.35(c)"
9|System Administrator II|"Ste. Michelle Wine Estates is a premium wine company that is proud to call Washington State our home. We are a collection of distinctive wine estates and maker of some of the finest wines in the world because we value our vineyards and the art of wine-making. This focus has resulted in our ability to offer our consumers extraordinary and distinctive wines from some of the best regions in the world.
We are currently seeking highly qualified candidates for a Systems Administrator II to join our team in Woodinville, WA.
What you will do:
Windows Management – Standard configurations, security hardening, authentication, file, print, AD, AAD, DHCP, DNS, Group policy and lifecycle management.
Unified messaging (Office 365, email filtering and authentication) – Manage and maintain to ensure enterprise mail delivery.
Mobile device management (VMWare Workspace One). Manage, configure and secure mobile devices.
Datacenter – Maintain datacenter, MDF, IDF and site hardware - including power, HVAC, cabling, physical servers, switches, firewalls, routers and access control.
VMWare – Provision, maintain and expand the VMWare infrastructure.
Endpoint protection and security – Ensure that all workstation and servers are patched and have antivirus installed with latest definitions.
Server and data backup - Backup and integrity validation. Recover systems from failure, corruption, standard configuration deviance, and security breach.
Infrastructure delivery – Build or move IT network and server infrastructure (acquisitions and office relocations).
Networking – Strong understanding of network fundamentals including firewall, switch, DMZ, WAN, LAN, VPN, MPLS.
Enterprise Web proxy– Manage, configure and secure - SSL decryption and web policy and exceptions.
Cloud and SaaS applications and services – Administration, security and support.
Enterprise Converged Storage– Manage and optimize SAN to support vSphere, server and network share infrastructure.
Projects: Support and lead projects from multiple sources. Corporate, IT, Business requests and initiatives.
Audit compliance: including comprehensive documentation, change control, reporting, artifacts, articulate company processes and policies to audit team.
General computing controls – Implement GCC processes including standard configurations, IT asset management, password complexity, data protection.
Managed file transfer - SFTP / SSH / HTTPS. Automated data transfers for data warehouse, payroll, shipping and HR processes to/from external business partners
Support wireless infrastructure – 802.11 abgn(ac)(ax), microwave, backhaul, etc.
Vendor management – Create processes and define expectations and deliverables.
Participate in an on-call rotation (24 x 7) for critical business system support.
What you will bring:
Preferred certifications include MCTS, MCITP, MSCA, MSCE, CCNA, Network+, Server+, VCP, Azure Administrator.
Proficient at problem solving, strong technical prowess, engage team involvement and provide customer support.
Knowledge of Windows Server 2012, 2016 and 2019 Standard and Enterprise operating systems
Knowledge of Cloud and SaaS based applications.
Enterprise level administration of common network services including TCP/IP, SMTP, DNS, DHCP, HTTPS, SNMP, TLS, VLAN, SSH, LDAP, SFTP.
Strong technical skills with Microsoft products including (not limited to): Windows Server, Azure, AD FS, and IIS.
Knowledge of Microsoft Clustered Services.
Excellent organizational skills and attention to detail.
Knowledge of VMWare ESX 6.0+ and Virtual Center 6.0+
Understanding of Storage Area Network concepts (iSCSI, SAN, NAS).
Knowledge of Windows Active Directory roles including GPO, DFS, ADSS, AD DS, AD CS.
Knowledge security PKI and Certificate Authority technologies (3rd party / on premise).
Who you are:
You are curious and continuously learn and grow your capabilities.
You respect and value the power of conversation to bring people together, learn and solve problems.
You value inclusion and work to create an environment where everyone feels welcomed and every voice is heard.
You are innovative and have the courage to pursue new ideas.
You make an impact by being bold and taking action.
We believe in developing the leadership potential of our employees by providing opportunities for training, development and advancement.
In addition to the opportunity to apply and develop your skills toward key business objectives, we offer an excellent compensation package including a competitive base salary, comprehensive health insurance, participation in our pension 401k programs and incentive compensation programs as well as a relocation assistance package.
Ste. Michelle Wine Estates is an equal opportunity employer. We consider qualified applicants without regard to race, color, religion, sex, national origin, sexual orientation, disability, gender identity, protected veteran status, or other protected class. Should you have a disability that requires assistance and/or reasonable accommodation with the job application process, please contact the Human Resources department at 425-488-1133.
Qualifications
Skills
Behaviors
:
Motivations
:
Education
Required
Bachelors or better.
High School or better.
Experience
Licenses & Certifications
Equal Opportunity Employer/Protected Veterans/Individuals with Disabilities
The contractor will not discharge or in any other manner discriminate against employees or applicants because they have inquired about, discussed, or disclosed their own pay or the pay of another employee or applicant. However, employees who have access to the compensation information of other employees or applicants as a part of their essential job functions cannot disclose the pay of other employees or applicants to individuals who do not otherwise have access to compensation information, unless the disclosure is (a) in response to a formal complaint or charge, (b) in furtherance of an investigation, proceeding, hearing, or action, including an investigation conducted by the employer, or (c) consistent with the contractor’s legal duty to furnish information. 41 CFR 60-1.35(c)"
