|Title|Description
0|VP of Technology & IT (CTO)|"Experience Needed:
2 Years Experience
We're looking for someone here that loves software and technology and can head up all web development and internal IT efforts. Whether it's launching a new website or an internal system for employees to make our efforts easier, we need a hungry mind that wants to change the game when it comes to technology in the dental sector."
1|Information Technology Manager - Chief Information Technolog...|"Description


Waukesha County is seeking a talented leader to serve as head of the Information Technology Division within the Department of Administration, and Chief Information Officer for Waukesha County. This position oversees personnel and processes to plan, coordinate and direct information technology services on a Countywide basis. Ideal candidate will possess excellent interpersonal and talent development skills with experience leading a team of information technology professionals, proven project management experience, and demonstrated skill collaborating with multiple stakeholders to solve problems. The position serves in a leadership role developing strategies and leveraging opportunities to advance technical initiatives and supporting excellent customer service to promote business success.

About Us
Waukesha County prides itself on operating in a business-like manner and is recognized as a leader delivering high quality services with competence and skill. With our vision of ""Leading the Way"", we value teamwork and collaboration, ethics and diversity, communication, efficiency and cost savings, innovation, and the well-being of our staff and the citizens we serve. Employees are provided professional development opportunities and encouragement to learn and practice continuous improvement and LEAN principles as we regularly ask ourselves ""Is there a better way?""

Rewards & Recognition
In addition to a comprehensive compensation and benefits package including health-dental-vision-life insurance, generous paid time off, participation in the Wisconsin Retirement System, among many other benefits, employees are recognized and valued through a pay-for-performance system. Employee well-being is promoted through a balanced work-life culture and through an exceptional employee wellness program that offers a variety of programs and tools to help promote an employee's wellness and health, including an on-site health & wellness clinic.

Anticipated starting salary placement between $118,165 and $150,000 dependent upon qualifications and experience directly related to the work. Full salary range is $118,165 to $170,102. Successful candidate will be eligible for performance based merit increases and non-base performance awards.

Location
Located in the City of Waukesha, our office provides an on-site café and fitness center, free parking, and easy access to interstate highway systems. Waukesha County offers a perfect blend of urban and rural living where one can enjoy the benefits of quiet rural lake communities or opt for nearby attractions that the greater Milwaukee area offers including vast beach and park systems, public markets, performing arts, music festivals, and sports including the Milwaukee Brewers and Milwaukee Bucks.
Example of Duties

Directs and administers a Countywide system of computerized information processing, telecommunications, and data communications.
Evaluates Countywide information processing needs and recommends and implements appropriate strategies and technologies to meet those needs.
Plans, develops, recommends, and implements information technology environments, programs, and projects.
Directs the development, maintenance, enhancement, acquisition, operation, installation, and problem resolution for all County computer hardware, Internet systems, software solutions, telecommunications, and data communications.
Selects, assigns, supervises, and evaluates staff, and handles any personnel problems of the staff.
Develops, recommends, implements, and administers comprehensive policies, procedures, goals, objectives, and standards regarding Countywide information technologies.
Participates in the development of the Department of Administration budget and manages the division's operating and capital budgets.
Prepares detailed and comprehensive written and oral reports and recommendations, and makes presentations to committees, boards, other departments, and staff.
Directs the computerized services provided by Waukesha County to municipalities, villages, and towns.
Establishes and maintains effective working relationships with employees, County department heads and staff, public officials, and vendors.
Performs other duties as required.
QUALIFICATIONS
Essential Knowledge and Abilities
Thorough knowledge of the principles and practices for the management of information technologies, Internet functionality, project management, business analysis, systems design, and computer operation.
Thorough knowledge of telecommunications principles and practices.
Thorough knowledge of project management principles and techniques.
Considerable knowledge of the uses, requirements, and operation of computer systems, networks, and associated digital environments.
Considerable knowledge of the concept of return on investment (ROI) and its application.
Considerable knowledge of administrative, managerial, and supervisory principles and practices.
Ability to research and analyze detailed information and make appropriate recommendations.
Ability to plan, develop, implement, and evaluate projects and programs.
Ability to coordinate, supervise, and evaluate the activities of staff.
Ability to develop and administer policies, procedures, budgets, and strategic plans.
Ability to plan, organize, and effectively present ideas, concepts, and recommendations, both orally and in writing.
Ability to establish and maintain effective working relationships.
Minimum Qualifications

You must meet these minimum Training and Experience requirements:
Graduation from a recognized college or university with a Bachelor's Degree in management of information technology, business administration, public administration, or a closely related field.
Five (5) years of progressively responsible professional work experience in information technologies management, project management, business analysis, or a closely related field, two (2) years of which must include project management or business analysis responsibilities.
A Master's Degree in an area listed above may be substituted for one (1) year of the general work experience requirement.
Supplemental Information


Please include a cover letter and resume, but not in lieu of your fully completed application.

Position will remain open until filled.

Waukesha County's pay plans, group insurance programs, and other benefit policies comprise a package that is highly competitive and satisfies the needs of its employees. This is intended to give only a brief summary of the employee benefit package. Additional information will be provided at the time of hire. Benefits for part-time positions are pro-rated.

Vacation
2-weeks 1 – 2 years of service
3-weeks 3 – 9 years of service
4-weeks 10 – 16 years of service
5-weeks 17 or more years of service
Holidays
9 paid holidays
New Year's Day
Memorial Day
Independence Day
Labor Day
Thanksgiving day
The Day after Thanksgiving
Christmas Eve
Christmas Day
New Year's Eve Day

Floating Holidays
2 paid floating holidays earned on February 1 and June 1

Sick Leave
12-days (96-hours) of sick leave granted immediately upon hire. Thereafter, 1-day earned per month, up to a maximum of 120-days

Funeral Leave
Up to 24-hours of leave with pay to attend the funeral of an immediate family member

Health Insurance
County pays 85% of premium and employee contributes 15% of the premium

Health Savings Account
Pre-tax savings account that can be used for qualifying medical expenses (e.g. office visit fees, co-pays, prescriptions, vision and dental). County contributes to health savings account based on HRA completion- $2,250 for family plan and $1,125 for single plan

Onsite Health and Wellness Clinic
Available to individuals who are enrolled in the County's health insurance plan including employees, spouses, and children ages 2+. Preventive care services are free. All dispensed prescriptions are $2. Dispensed available ACA preventative medications are $0 cost. Non-preventative care visits are $30. Physical therapy is $25 per visit. Clinic staffed with MD and Physician Assistant, Physical Therapists, and Health Coaches

Dental Insurance
Choice of two dental plans. Coverage begins on the first day of the month following 6-months of employment

Vision Insurance
Coverage begins on the first day of the month following 60-days of employment

Employee Wellness Activities & Program/Fitness Center
24/7 access to a wealth of health tools and information on the wellness portal. On-going education programs, fitness challenges and classes. On-site fitness center

Retirement Pension
As a full-time employee, you will automatically be enrolled in the Wisconsin Retirement System. This pension is administered by the State of Wisconsin Department of Employee Trust Funds. You are required to pay the employee's share of contributions to the fund, while Waukesha County contributes the employer's share. Employees are vested in their portion of contributions immediately and after five years of creditable service for the employer contribution. To view employee/employer contribution rates, visit Wisconsin Department of Employee Trust Funds' website and type in WRS Contribution Rates in the search box.

Part time employees are enrolled and required to pay the employee's share of contributions after working 1,200 hours of work in any 12-month period

457 Deferred Compensation
Optional program used to supplement retirement income. Pre-tax and Roth options available

Roth IRA
Optional post-tax program used to supplement retirement income

Life Insurance
Automatic coverage in life insurance at no cost to employee. Additional coverage for spouse and dependents available at the employee's expense

Dependent Care Reimbursement
Optional pre-tax account used for child and elder/care expenses

Retirement Health Savings Plan
Automatic enrollment in a retirement health savings plan. County makes contributions on behalf of employee

Long-term Disability Insurance
Automatic coverage in long-term disability. County pays 100% of monthly premiums

Employee Assistance Program
Voluntary program that offers free and confidential assessments, short-term counseling, referrals, and follow-up services to employees and their family members who have personal and/or work-related problems. Unlimited access to a highly informative website with articles and tools to support you in a wide variety of your work/life needs

Tuition Reimbursement
Financial assistance for attending Job-related classes

Employee Discount Programs
Dell products
Cell service through US Cellular, AT&T Wireless, Sprint Wireless, Verizon
Special licensing for a copy of Microsoft Office for home use
Pay for Performance
Employees are eligible for performance based merit awards with exceptional and commendable performance ratings"
2|Chief Technology Officer (CTO)|"Engineering
About ESO
ESO is a rapidly growing technology company passionate about improving community health and safety through the power of data. We provide software applications, interoperability and data management solutions to emergency medical services, fire departments and hospitals.
We’re small enough to be nimble and fun, but big enough to be a great, stable place to work. We serve more than 10,000 customers out of our US offices (Austin, Dallas, and Des Moines) and our Belfast, Northern Ireland office.
About the role
We are seeking a creative, mission-driven Chief Technology Officer (CTO) to help scale our suite of cloud-based SaaS products. This role requires a seasoned architect who can devise and communicate technical strategies that support our product, data and interoperability initiatives. As the executive owner of our technical vision and roadmap, you will be expected to set a high bar for execution and pace-setting across our geographically distributed engineering teams. You will directly manage an interdisciplinary team of high performing engineers who will conduct technology POCs and translate that work into platform recipes that influence microservice architectures utilized broadly across ESO’s systems. Data is the lifeblood of our business and we expect the CTO to play a hands-on role in the productization of our healthcare and public safety datasets that are consumed both internally and externally. This will require a strong background in contemporary analytics, machine learning and data science practices.
ESO is fortunate to be experiencing an inflection point in its history, transitioning firmly into a scale-up business with established products that are adding customers rapidly. Strategic acquisitions have influenced growth as well. To scale our cloud infrastructure responsibly, you will be expected to manage and forecast technology budgets that calibrate for organic and inorganic growth, with critical technology investments presented to executive leadership when identified. Evaluating M&A targets for technical fitness will be a responsibility of this position as well, with integration planning conducted for newly acquired customers and products. You will develop data governance policies and procedures nationally and internationally, and work closely with various departments to collect, secure, prepare, organize, protect, audit and analyze our infrastructure and data assets.
Most importantly, the right candidate for this role will attract, mentor and inspire dedicated engineers that make ESO’s software a compelling experience for our customers. The CTO is equal parts evangelist and architect, publicly representing the synergy between ESO’s values, mission and technology. This role will require time dedicated to speaking engagements and internal presentations that challenge, educate and cultivate a culture of continuous improvement, pride and ownership.
More about you
You are a strong team player who can deftly navigate between big picture thinking and low-level technical details. Additionally, you have a track record of building high performance teams that can operate autonomously, supported by an architecture that mirrors this agility. You are a quick learner who can synthesize the needs of our market and industry with tactical and strategic bets on technologies that accelerate and improve our product delivery.
In this position you will be reporting to the CEO and collaborating regularly with our COO and extended leadership teams.
Responsibilities will include:
Engineering Leadership
Setting and leading the technological vision and architecture for the company
Making executive decisions on behalf of the company’s technical requirements
Designing and implementing cross-product APIs that simplify solution delivery
Developing a high performing and accountable engineering culture to meet and exceed ambitious performance targets
Assessing and auditing current technology investments for potential improvement and operational efficiencies
Developing a strong relationship between product and data engineering teams to power research that unlocks insights resident in disparate datasets
Setting and maintaining sector leading SLAs, reliability metrics and governance strategies
Keeping ESO ahead of emerging technology trends and developments that foster thought leadership and evangelism within our industry
Operational stewardship
Selecting and implementing technological resources to meet the company’s short and long-term needs
Directing infrastructure needs for scalability and aggressive growth
Managing technology budgets and timeframes
Ensuring all technology practices adhere to regulatory standards
Overseeing the collection, storage, management, quality and protection of data
Eminence and Influence
Attracting and retaining A+ talent
Effectively communicating the status, value, and importance of data assets across the company
Leading, motivating, and managing large technical teams
Acting as a mentor and coach to team members
Your Qualifications
Some of the things required to be successful in the role:
Master’s degree in Computer Science, Information Technology or related field
8+ years working in a technological leadership role
6+ years progressive managerial experience
Demonstrated proficiency in architecting domain-specific microservices in high availability systems
Experience with applied big data technologies, machine learning and AI in a cloud environment
Exceptional team-building skills, with proven success leading groups of engineers and data scientists
Excellent communication skills, written and verbal
Ability to delegate and manage competing deadlines efficiently
Examples of developing and refining processes, tools and teams to support software systems at scale
THINK YOU’RE A FIT?
SEND RESUME"
3|Technology Director|Responsible for Managing the security, day-to-day operations, and improvement of the computer and network services that students, teachers, staff and administrators require for the District to operate efficiently and effectively. This is a highly technical, hands-on role in which the Director of Technology is solely responsible for all server and network architecture. The school does not employ any additional staff for these responsibilities and outside services are rarely sought.The Technology Director supervises a Data Coordinator and Technology Support Specialist.
4|Chief Technology Officer|"Salary
$142,952.00 - $223,496.00 Annually
Location
Main Office, 900 Wilshire Blvd., Suite 1500, Los Angeles, CA 90017, CA
CA 90017, CA
Job Type
At Will Full Time
Department
Office of the CTO
Job Number
00000000
Description
Benefits
SUMMARY
Reporting to the Chief Executive Officer, the Chief Technology Officer will play an integral role in moving the organization to its next phase of growth. The CTO will be responsible for the vision, leadership, and planning required to technologically transform the agency. The CTO will regularly evaluate existing technology and information systems, research new software and hardware solutions, recommend changes, and ensure that the technology and network infrastructure support the agency's current and future customer driven needs. Building the talent pipeline and inspiring the technology teams to excellence are also critical components of this role. This position will lead, through collaboration with the executive leadership team, all technology within the agency.

The CTO will take a proactive, service-oriented and strategic approach to agency partnerships. This position will define and clearly communicate a vision and strategy across the technology organization to address top priorities with transparency. The CTO should employ a results-driven mindset to drive impact through innovation, synergy, standards, and governance. In addition, this position should facilitate a coordinated shift towards process excellence through strong leadership skills, learning agility, experience, and cultural awareness. The role requires a balanced portfolio of creative, strategic and tactical capabilities to drive outcomes while addressing the most critical requirements.

TO APPLY: Please visit: https://www.perspectivetalent.com/ml-cto

CONTACT INFORMATION:
Perspective Talent
Executive Recruiter: Henry Wengier
Phone: (469) 706-0304
Email: info@perspectivetalent.com
Agency
Southern California Regional Rail Authority
Website
http://www.metrolinktrains.com
Address
One Gateway Plaza, Floor 12
P. O. Box 531776
Los Angeles, California, 90012"
5|Chief Technology Officer (CTO)/Architect|"To apply for any of our open positions please send a cover letter and resume to careers@globalteensworld.com .

Chief Technology Officer (CTO)/Architect
The Chief Technology Officer/Web Architect, reporting to the CEO, will be responsible for a lead role in the design, building, and delivering a best in class platform that is simple beautiful design, high performance, high quality, and user-centric. Also, the incumbent will supervise all phases of the software development lifecycle including mapping new features to meet requirements, and use many new technologies throughout the development process.
Additionally, he/she is responsible for overseeing development of new technologies as well as driving the company’s overall technical directions, including mid-term and long-term technology strategy, technology policy and forward looking research and formulating intellectual property strategies.
Key Responsibilities:
To design, maintain and support new web based features and enhancements for our domain name portfolio and GTW related products.
Design to performance requirements in an effort to ensure that all applications are highly scalable and can support high volumes of traffic.
Perform code reviews to ensure that code is compliant with design and coding standards.
Model system behaviors using best practice methods for communicating architecture and design.
Interpret business requirements and accurately reflect these requirements in the design.
Create and/or assist with the design of front-end web pages utilizing the latest ease of use features.
Recommend tools and utilities for design, development, testing and management of web-based applications.
Ensure designs are consistent with the existing architecture.
Present design solutions to the business and development teams.
Follow high level of standards across all levels of design work.
Contribute to the specification and transition to development of unit, system, integration, stress and user acceptance testing.
Show enthusiasm and a sense of ownership for the system and its components that are vital to the success of the business.
Develop new capabilities to enhance site and/or new web-based applications, including opportunities for mobile device apps.
Participate in design discussions for new features, applications and/or enhancements and assist in determining future product roadmap for online products.
Ensure timely and accurate delivery of assignments.
Work closely with other areas of the company including business teams and other design/development teams.
Recommend and promote new technologies and best practices to enable us to better support our customers.
Researching and implementing new techniques to improve development and Web Sites.
Requirements:
5+ years proficiency in Java and Java-based architectures using J2EE on Linux including: Struts/Tiles (MVC framework), Java Persistence Architecture (JPA), Relational database experience such as MySQL, SQL Server or Oracle, LDAP or other identity management, Web services (SOAP).
5+ years of practical work experience with web development with the following related technologies: JavaScript, CSS, DOM, DHTML, PHP, Mysql Administration & Unix Shell, Flash, Flex, Perl, Linux.
Strong J2EE/OO Design patterns experience.
5+ years Java/2EE, JSP development experience.
5+ years MVC Framework experience: Struts2, Spring MVC or similar.
Strong Web 2.0 experience essential, including use of OO JavaScript, AJAX, DHTML and JS libraries (eg JQuery/DOJO/ExtJs etc), HTML, CSS, strong understanding of browser compatibility issues.
XML, XSL, processing/parsing.
Candidate must have strong structured methodology experience.
Webservice design experience: SOAP Request/Response handling, authentication, Axis2.
Use of Unified Modeling Language (UML) to conceive a design.
Knowledge of web security standards and how to apply them.
Experience with the following is recommended:
Web 2.0 development with Javascript/AJAX, JSON and JQuery or Mootools.
Lucene search engine with Tika for content extraction and Solr for searching.
Application servers such as Glassfish.
REST services using JAX-RS.
HTML/XHTML and CSS based layouts.
SQL and common database knowledge (Oracle 10g).
Basic UNIX experience.
Source code control systems: eg CVS.
Build processes and Ant/Maven.
Experience with large scale, high volume web-based applications.
Experience with internationalization.
Skills/Qualifications:
Bachelor’s or Master’s Degree in Computer Science or a related technical field (Computer Engineering, Computer Information Systems, Software Engineering, Systems Engineering) from a top school.
Product-focused, entrepreneurial, passionate about creativity.
Proven experience with both server and client side web technologies.
Problem solver with proven debugging and diagnostic skills.
Ability to guide, develop and train software engineers.
Commitment to creativity, innovation, excellence, and great ideas.
Excellent time management skills, with the ability to prioritize and multi-task, and work under shifting deadlines in a fast paced environment.
Ability to work independently and in a team environment.
Strong organizational skills and attention to details."
6|Chief Technology Officer (CTO)|"The Chief Technology Officer (CTO) will establish company technology vision, strategies, and plans for growth. They will supervise system and quality assurance processes. At Lykuid, we’re on a mission to build the best next generation monitoring platform in the world. We operate at high scale—trillions of data points per day—and high availability, providing always-on alerting, visualization, and tracing for our customers’ infrastructure and applications around the globe. Our engineering culture values pragmatism, honesty, and simplicity to solve hard problems the right way. We need you to design and build machine learning-powered products that help our customers learn from their data and make better decisions in real-time.
You will have a fantastic team of data scientists and engineers to support you, a collaborative environment to encourage your work, and the best technologies for performing data science at high scale in your toolkit. Join us to build powerful, artificial intelligence-based data systems.
Chief Technology Officer Duties and Responsibilities:
Setting company technical vision and leading company’s technological development
Developing strategic plans and setting timelines for evaluation, development, and deployment of all technical, web, and mobile services
Identifying opportunities for web and mobile services
Collaborating with department heads, marketing, production, and operations as advisor of all technologies involved with company
Ensuring technology standards and best practices are met
Monitoring web analytics and making recommendations that align to business goals
Supervising quality assurance processes, integration, and system tests
Establishing software development process and set objectives for process
Mentoring team members
Identifying company web user needs
Monitoring performance profiling tools and procedures
Maintaining network security with IT team
Reviewing timeframes and budgets
Developing and implementing disaster and emergency recovery plans
Supervising workflow of IT department
Defining company standards for systems, equipment, and software
Sharing technological visions, opportunities, and risks company-wide
Studying current and new industry trends, technologies, and software development
Studying information processing systems to evaluate effectiveness and make recommendations for improvement
Representing company at conferences and networking events
Ensuring company’s technological processes and service comply with all requirements, laws, and regulations
Chief Technology Officer Requirements and Qualifications
Able to multitask, prioritize, and manage time efficiently
Able to build strong interpersonal relationships with peers, brand leaders, and other senior management throughout the company
Able to be a “big picture” thinker
Excellent leadership, team building, and management skills
Encouraging to team and staff; able to mentor and lead
Excellent verbal and written communication skills
Able to align multiple strategies and ideas
Confident in producing and presenting work
In-depth understanding of the industry
Bachelor’s degree in information technology, computer science, or related field; Master’s degree in information technology or a technology-related discipline preferred
Eight to ten years’ experience in software development role, information technology role, or related field; five years in management or leadership role
Experience with technology relative to industry; Python, Elastic, Angular, AWS, git, grunt/gulp, Node.js, Apache Spark and Hadoop
Experience designing data persistence and caching concepts using both SQL and NoSQL DBMS, SQL Server, PostgreSQL, MySQL, MongoDB, Cassandra. Redis
Experience with machine learning with the ability to architect machine learning systems which are embedded in the product.
Experience with building state of the art systems in contextual search and relevance scoring.
Strict adherence to company philosophy/mission statement/sales goals
Proficient computer skills, Microsoft Office Suite (Word, PowerPoint, Outlook, and Excel)
Excellent analytical and time-management skills"
7|Chief Technology Officer (CTO)|"FanDragon Technologies is an emerging, well-funded start-up based in West Hollywood, CA, revolutionizing the global ticketing distribution business with a proprietary, Blockchain-based mobile ticket-wallet software solution that allows ticket rightsholders to gain transparency over data throughout the ticket supply-chain. We are seeking a Chief Technology Officer (CTO).
Reporting to the company’s Chief Executive Officer, the CTO will be responsible for oversight of FanDragon’s short and long-term technical and engineering strategy, and providing high-level, forward-thinking vision. This person will perpetually refine, redefine (as necessary), and lend support to all aspects of the company's technological development. The ideal candidate is a technical leader with demonstrable expertise in leading and managing the creation of first-in-class digital products, including a full SaaS development cycle. This person must have robust experience working, and familiarity with blockchain products.
The CTO will work across all key departments to attain the company's strategic goals, including setting business requirements, assessing and improving application architecture, and ensuring the implementation of market-leading design. They will communicate with staff, executives, and customers to ensure the company’s technologies are used appropriately and optimally.
Proven experience packaging open source technology for use within enterprise and/or consumer applications is essential, as is the ability to effectively translate technical terminology to all stakeholders. This person should be visionary, understand industry-wide best practices and current innovations, and display credibility and excitement - particularly in lending expertise to a high-performing and expanding team.
To learn more about the company, applicants are encouraged to visit FanDragon.com
Responsibilities
Provide strategic guidance of all technology and engineering-related decisions, including product roadmap, to maximize the company's future growth and profitability
Evaluate and evolve current application architecture, handle verification and validation of mission critical software, and aid in decision-making aimed at developing a more seamless, scalable product. (This could include a product rebuild if deemed necessary.)
Oversee the hiring and management of all technology-related staff, consultants, and 3rd party vendors (engineers, data scientists, IT personnel, QA testing resource, etc.)
Implement technology solutions and development tools that may improve efficiency and effectiveness of all Departments, and in a fashion that supports the company's KPIs, mission and values.
Implement information security standards/policies, including running audits and document security procedures
Lead writing and management of software related documentation
Devise an application deployment strategy, including guidance of DevOps and hosting server infrastructure
Make recommendations for product improvements, and any other innovations that could be beneficial within any/all company departments and projects, based on technological research – especially those within the ticketing and blockchain industries, explore new tools/technologies to improve development efficiency and product quality
Analyze and report on opportunities and risks for delivering the company’s services, including identification of competitive services, product and enhancement requirements, opportunities for innovation, and assessment of marketplace obstacles and technical hurdles to the business success
Identify technology trends and evolving social behavior that may support or impede the success of the business. Evaluate and identify appropriate technology platforms (including web application frameworks and the deployment stack) for delivering the company’s services.
Requirements:
Recent demonstrated experience building and managing world-class technology platforms using open source software solutions; providing cloud-based SaaS solutions and professional services to enterprise clients (B2B)
Proficiency in Node.JS and JAVAScript
Expertise in front-end development for web, iOS, and Android,
Proficiencyin at least one mobile application development framework, including ReactNative, SWIFT, or JAVA
Familiaritywith cryptographic key management and blockchain protocols
(Ethereum is a plus)
Commercial Software Development experience in JavaScript, HTML5 & CSS3
Experience building hybrid and native mobile applications, and launching/taking commercial mobile apps to market
First-hand knowledge and experience working in a significant aspect of the event ticketing space
Superb communication skills and experience working with remote team members
Ability to actively communicate, inspire and motivate all levels of staff.
Ability to think and act strategically and proactively
Strong writing and presentation skills
BS in related field and at least 10 years experience in the Information Technology arena, at least 5 years management and strategic experience in this field or MBA/MS in related field with 10 years experience, 5 of which must be managerial and strategic
FanDragon is an Equal Opportunity Employer that does not discriminate on the basis of race, color, religion, gender, national origin, age, military service eligibility, veteran status, sexual orientation, marital status, disability, or any other protected class."
8|Chief Technology Officer|"Reporting to the Chief Executive Officer, the Chief Technology Officer will play an integral role in moving the organization to its next phase of growth. The CTO will be responsible for the vision, leadership, and planning required to technologically transform the agency. The CTO will regularly evaluate existing technology and information systems, research new software and hardware solutions, recommend changes, and ensure that the technology and network infrastructure support the agency's current and future customer driven needs. Building the talent pipeline and inspiring the technology teams to excellence are also critical components of this role. This position will lead, through collaboration with the executive leadership team, all technology within the agency.

The CTO will take a proactive, service-oriented and strategic approach to agency partnerships. This position will define and clearly communicate a vision and strategy across the technology organization to address top priorities with transparency. The CTO should employ a results-driven mindset to drive impact through innovation, synergy, standards, and governance. In addition, this position should facilitate a coordinated shift towards process excellence through strong leadership skills, learning agility, experience, and cultural awareness. The role requires a balanced portfolio of creative, strategic and tactical capabilities to drive outcomes while addressing the most critical requirements.

TO APPLY: Please visit: https://www.perspectivetalent.com/ml-cto

CONTACT INFORMATION:
Perspective Talent
Executive Recruiter: Henry Wengier
Phone: (469) 706-0304
Email: info@perspectivetalent.com"
9|IT DIRECTOR|"December 09, 2019
IT DIRECTOR [1 POSITION]
Candidate required:

We are looking for a Senior Director, Enterprise Applications who will be responsible for supporting, planning and managing multiple IT projects for the enterprise. He/she understands the processes performed by functional business areas and is proficient at leading (in collaboration with the SVP & CIO) these functional business areas with business process reengineering and large-scale EHR and other IT deployment initiatives. The Senior Director performs work of considerable difficulty in planning; assigning and directing computer applications program design, development and implementations."
